"Year"	"LAName"	"LACode"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2001	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2001	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2001	"East Ayrshire"	"S12000008"	0	0	0	0	0	0	0	0	0	0	13.2	13.2
2001	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"East Lothian"	"S12000010"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2001	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Fife"	"S12000047"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2001	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2001	"Highland"	"S12000017"	0	0	0	0	0	268.7	0	17.4	0	0	26	312.1
2001	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Midlothian"	"S12000019"	0	0	0	0	2.2	0	0	0	0	0	17.2	19.4
2001	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"North Lanarkshire"	"S12000050"	0	0	0	0	7.8	0	0	0	0	0	0	7.8
2001	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	3.8	3.8
2001	"Perth and Kinross"	"S12000048"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2001	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2001	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"South Lanarkshire"	"S12000029"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2001	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	0	0	0	0	0	0	0
2001	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2002	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Angus"	"S12000041"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	4.4	0	0	81.4	99.8
2002	"City of Edinburgh"	"S12000036"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Dumfries and Galloway"	"S12000006"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2002	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2002	"East Ayrshire"	"S12000008"	0	0	0	0	0	0	0	0	0	0	13.2	13.2
2002	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"East Lothian"	"S12000010"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2002	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Fife"	"S12000047"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2002	"Glasgow City"	"S12000049"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2002	"Highland"	"S12000017"	0	0	0	0	0	268.7	0	20.7	0	0	26	315.4
2002	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Midlothian"	"S12000019"	0	0	0	0	2.2	0	0	0	0	0	48.4	50.6
2002	"Moray"	"S12000020"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Na h-Eileanan Siar"	"S12000013"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"North Ayrshire"	"S12000021"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"North Lanarkshire"	"S12000050"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2002	"Offshore"	NA	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Orkney Islands"	"S12000023"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2002	"Perth and Kinross"	"S12000048"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2002	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	30	30
2002	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2002	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"South Lanarkshire"	"S12000029"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2002	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"West Dunbartonshire"	"S12000039"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2002	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2003	"Aberdeenshire"	"S12000034"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Angus"	"S12000041"	0	0	0	0	0	0	0	0	0	0	0	0
