"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2018"	"S12000040"	"West Lothian"	105.097	0	0	8.076	0	1.04	114.214
"2014"	" "	"Unallocated"	26.0351950457398	0	8.82544000000007	8.386522860154	0	0.383369528873175	43.6315274347699
"2015"	" "	"Unallocated"	8.28636831316999	0	5.86013000000003	23.955272148266	0	-4.23156594038113	33.8742045210502
"2016"	" "	"Unallocated"	11.2339065928109	-7.34999999999999	8.60700999999995	34.716489491192	0	-9.07374249703378	38.1386635869694
"2017"	" "	"Unallocated"	21.9614256389696	0.650000000001	-1.49333999999999	22.655872245231	0	4.5204	48.3013578842001
"2018"	" "	"Unallocated"	12.9407929891804	4.64999999999998	-3.11547999999993	13.650897810381	0	3.9982	32.1304107996002
"2014"	"S92000003"	"Scotland"	5079.47319504574	197.35	1527.72644	174.958522860154	7.388	352.940369528873	7339.83652743477
"2015"	"S92000003"	"Scotland"	5397.99336831317	187.35	1571.43913	264.060272148266	7.638	359.751434059619	7788.23220452105
"2016"	"S92000003"	"Scotland"	6297.98190659281	180	1626.78701	325.770489491192	13.007	382.541257502966	8826.08766358697
"2017"	"S92000003"	"Scotland"	7331.04742563897	247.000000000001	1648.67666	342.972872245231	17.918	424.3524	10011.9673578842
"2018"	"S92000003"	"Scotland"	7933.95279298918	627.8	1648.86452	343.863897810381	19.918	463.2402	11037.6394107996

