"Year"	"LAName"	"LACode"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
2007	"Orkney Islands"	"S12000023"	14.2	0	0	0	0	0	14.2
2007	"Perth and Kinross"	"S12000048"	0	0	47.5	0	0	1.9	49.4
2007	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2007	"Scottish Borders"	"S12000026"	121.1	0	0	0	0	0	121.1
2007	"Shetland Islands"	"S12000027"	3.7	0	0	0	0	0	3.7
2007	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2007	"South Lanarkshire"	"S12000029"	15.6	0	0	0	0	7.4	23
2007	"Stirling"	"S12000030"	109.5	0	0	0	0	0	109.5
2007	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	4.1	4.1
2007	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2008	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2008	"Aberdeenshire"	"S12000034"	61.1	0	0	0	0	7.7	68.8
2008	"Angus"	"S12000041"	0	0	0	0	0	2	2
2008	"Argyll and Bute"	"S12000035"	129.7	0	23.6	0	0	0	153.3
2008	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2008	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2008	"Dumfries and Galloway"	"S12000006"	136.1	0	0	0	0	50.4	186.5
2008	"Dundee City"	"S12000042"	4	0	0	0	0	8.3	12.3
2008	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.7	19.9
2008	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2008	"East Lothian"	"S12000010"	48	0	0	0	0	16.2	64.2
2008	"East Renfrewshire"	"S12000011"	6.5	0	0	0	0	0	6.5
2008	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2008	"Fife"	"S12000047"	0	0	0	0	0	15.5	15.5
2008	"Glasgow City"	"S12000049"	0	0	0	0	0	6.7	6.7
2008	"Highland"	"S12000017"	346.2	0	405.4	0	0	0	751.6
2008	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2008	"Midlothian"	"S12000019"	48.4	0	0	0	0	6.2	54.6
2008	"Moray"	"S12000020"	0	0	0	0	0	0	0
2008	"Na h-Eileanan Siar"	"S12000013"	3.9	0	0	0	0	0	3.9
2008	"North Ayrshire"	"S12000021"	48	0	0	0	0	1.2	49.2
2008	"North Lanarkshire"	"S12000050"	4	0	0	0	0	18.5	22.5
2008	"Offshore"	NA	681.6	10	0	0	0	0	691.6
2008	"Orkney Islands"	"S12000023"	14.2	0	0	0	1	0	15.2
2008	"Perth and Kinross"	"S12000048"	63.8	0	47.5	0	0	1.9	113.2
2008	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2008	"Scottish Borders"	"S12000026"	121.1	0	0	0	0	0	121.1
2008	"Shetland Islands"	"S12000027"	3.7	0	0	0	0	0	3.7
2008	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2008	"South Lanarkshire"	"S12000029"	41.6	0	0	0	0	7.4	49
2008	"Stirling"	"S12000030"	109.5	0	0	0	0	15	124.5
2008	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	4.1	4.1
2008	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2009	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2009	"Aberdeenshire"	"S12000034"	75.9	0	0	0	0	7.7	83.6
2009	"Angus"	"S12000041"	0	0	0	0	0	2	2
2009	"Argyll and Bute"	"S12000035"	129.7	0	23.6	0	0	0	153.3
2009	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2009	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0
2009	"Dumfries and Galloway"	"S12000006"	136.1	0	0	0	0	50.4	186.5
2009	"Dundee City"	"S12000042"	4	0	0	0	0	8.3	12.3
2009	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.7	19.9
2009	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2009	"East Lothian"	"S12000010"	48	0	0	0	0	16.2	64.2
2009	"East Renfrewshire"	"S12000011"	6.5	0	0	0	0	0	6.5
2009	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2009	"Fife"	"S12000047"	0	0	0	0	0	15.5	15.5
2009	"Glasgow City"	"S12000049"	0	0	0	0	0	6.7	6.7
2009	"Highland"	"S12000017"	357	0	409.3	0	0	5	771.3
2009	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2009	"Midlothian"	"S12000019"	48.4	0	0	0	0	6.2	54.6
2009	"Moray"	"S12000020"	0	0	0	0	0	0	0
2009	"Na h-Eileanan Siar"	"S12000013"	3.9	0	0	0	0	0	3.9
2009	"North Ayrshire"	"S12000021"	48	0	0	0	0	27.2	75.2
2009	"North Lanarkshire"	"S12000050"	4	0	0	0	0	18.5	22.5
2009	"Offshore"	NA	681.6	94	0	0	0	0	775.6
2009	"Orkney Islands"	"S12000023"	16.5	0	0	0	1	0	17.5
2009	"Perth and Kinross"	"S12000048"	63.8	0	47.5	0	0	1.9	113.2
2009	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2009	"Scottish Borders"	"S12000026"	188.9	0	0	0	0	0	188.9
2009	"Shetland Islands"	"S12000027"	3.7	0	0	0	0	0	3.7
2009	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2009	"South Lanarkshire"	"S12000029"	47.6	0	0	0	0	7.4	55
2009	"Stirling"	"S12000030"	109.5	0	0	0	0	15	124.5
2009	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	4.1	4.1
2009	"West Lothian"	"S12000040"	0	0	0	0	0	0	0
2010	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2010	"Aberdeenshire"	"S12000034"	116.6	0	0	0	0	7.7	124.3
2010	"Angus"	"S12000041"	0	0	0	0	0	2	2
2010	"Argyll and Bute"	"S12000035"	149	0	23.6	0	0	0	172.6
2010	"City of Edinburgh"	"S12000036"	0	0	0	0	0	2.4	2.4
2010	"Clackmannanshire"	"S12000005"	26	0	0	0	0	0	26
2010	"Dumfries and Galloway"	"S12000006"	158.1	0	0	0	0	50.4	208.5
2010	"Dundee City"	"S12000042"	4	0	0	0	0	8.3	12.3
2010	"East Ayrshire"	"S12000008"	13.2	0	0	0	0	6.7	19.9
2010	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0
2010	"East Lothian"	"S12000010"	48	0	0	0	0	16.2	64.2
2010	"East Renfrewshire"	"S12000011"	6.5	0	0	0	0	0	6.5
2010	"Falkirk"	"S12000014"	0	0	0	0	0	0	0
2010	"Fife"	"S12000047"	0	0	0	0	0	15.5	15.5
2010	"Glasgow City"	"S12000049"	0	0	0	0	0	6.7	6.7
2010	"Highland"	"S12000017"	479.4	0	409.3	0	0	5	893.7
2010	"Inverclyde"	"S12000018"	0	0	0	0	0	0	0
2010	"Midlothian"	"S12000019"	48.4	0	0	0	0	6.2	54.6
2010	"Moray"	"S12000020"	0	0	0	0	0	0	0
2010	"Na h-Eileanan Siar"	"S12000013"	3.9	0	0	0	0	0	3.9
2010	"North Ayrshire"	"S12000021"	48	0	0	0	0	27.2	75.2
2010	"North Lanarkshire"	"S12000050"	4	0	0	0	0	19.5	23.5
2010	"Offshore"	NA	681.6	184	0	0	0	0	865.6
2010	"Orkney Islands"	"S12000023"	24.6	0	0	0	1	0	25.6
2010	"Perth and Kinross"	"S12000048"	63.8	0	50.5	0	0	1.9	116.2
2010	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0
2010	"Scottish Borders"	"S12000026"	381.2	0	0	0	0	0	381.2
2010	"Shetland Islands"	"S12000027"	3.7	0	0	0	0	0	3.7
2010	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0
2010	"South Lanarkshire"	"S12000029"	47.6	0	0	0	0	7.4	55
2010	"Stirling"	"S12000030"	129.5	0	0	0	0	15	144.5
2010	"West Dunbartonshire"	"S12000039"	0	0	0	0	0	4.1	4.1
2010	"West Lothian"	"S12000040"	14	0	0	0	0	0	14
2011	"Aberdeen City"	"S12000033"	0	0	0	0	0	2.2	2.2
2011	"Aberdeenshire"	"S12000034"	142.5	0	0	0	0	7.7	150.2
