"Year"	"LA"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2002	"North Lanarkshire"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2002	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2002	"Perth and Kinross"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2002	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	30	30
2002	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2002	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2002	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
2002	"West Dunbartonshire"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2002	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2003	"Aberdeenshire"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Angus"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Argyll and Bute"	0	0	0	0	0	14	0	4.4	0	0	81.4	99.8
2003	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2003	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2003	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2003	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2003	"East Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2003	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Fife"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2003	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2003	"Highland"	0	0	0	0	0	268.7	0	20.7	0	0	33.5	322.9
2003	"Midlothian"	0	0	0	0	2.2	0	0	0	0	0	48.4	50.6
2003	"Moray"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"North Ayrshire"	0	0	0	0	0	0	0	0	0	0	24	24
2003	"North Lanarkshire"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2003	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2003	"Perth and Kinross"	0	0	0	0	0	21.4	0	15.1	0	0	0	36.5
2003	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	30	30
2003	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2003	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	15.6	15.6
2003	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
2003	"West Dunbartonshire"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2003	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2004	"Aberdeenshire"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2004	"Argyll and Bute"	0	0	0	0	0	14	0	4.4	0	0	114.7	133.1
2004	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2004	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	21.6	21.6
2004	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
2004	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2004	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	0	16.2
2004	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2004	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Fife"	0	0	12.5	0	0	0	0	0	0	0	0	12.5
2004	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2004	"Highland"	0	0	0	0	0	268.7	0	20.7	0	0	81.8	371.2
2004	"Midlothian"	0	0	0	0	2.2	0	0	0	0	0	48.4	50.6
2004	"Moray"	0	0	0	0	0	0	0	0	0	0	50.6	50.6
2004	"North Ayrshire"	0	0	0	0	1.2	0	0	0	0	0	24	25.2
2004	"North Lanarkshire"	0	0	0	0	14.5	0	0	0	0	0	0	14.5
2004	"Offshore"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"Orkney Islands"	0	0	0	0	0	0	0	0	0	0	9.2	9.2
2004	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	0	49.4
2004	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	92.5	92.5
2004	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2004	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"South Lanarkshire"	0	0	0	0	0	0	0	0	0	0	139.6	139.6
2004	"Stirling"	0	0	0	0	0	0	0	0	0	0	0	0
2004	"West Dunbartonshire"	0	0	0	0	2.1	0	0	0	0	0	0	2.1
2004	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2005	"Aberdeenshire"	0	0	0	0	6.5	0	0	0	0	0	28.5	35
2005	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2005	"Argyll and Bute"	0	0	0	0	0	14	0	6.6	0	0	114.7	135.3
2005	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2005	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	0	0
2005	"Dumfries and Galloway"	0	0	0	0	0	0	0	0	0	0	41.1	41.1
2005	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	0	8.3
