"EmissionYear"	"Electricity"	"Heat"	"Other"	"Transport"
"1990"	14.7496879812379	10.8953183144853	35.6759538938591	14.8792026044128
"1995"	16.7288520414485	10.9957137380039	33.2954539306925	15.8128573360383
"1998"	17.8033949389262	11.0795676772846	30.2542031882509	16.5083797858216
"1999"	16.7134446535939	11.0628735396924	28.4266145716779	16.4402837087901
"2000"	19.6550940385885	10.8037136800695	27.7442691964867	15.7390721025426
"2001"	18.8740724019161	11.3217809928027	27.2031276410244	15.5630190133599
"2002"	17.2171971813233	10.1411129574363	25.5556442171203	15.9171835726316
"2003"	17.618278740726	10.1943517812671	25.4174620723461	15.6851844236703
"2004"	15.7960533779192	10.4289280406649	24.3771060177566	15.769561429985
"2005"	13.9989661815963	10.2998286880727	24.1170008739798	15.9624642089245
"2006"	18.787665234862	9.82954837898864	22.0085221580847	15.9319163620174
"2007"	15.5623144163495	9.47139787022252	21.1179380826075	16.2494400678057
"2008"	14.2920584132794	10.0388605996134	20.3384861245062	15.6367141988174
"2009"	13.3995033319394	9.3218657821151	18.6173229706286	14.939697898711
"2010"	15.8336139137246	10.3454132636089	18.25424190425	14.4224382354878
"2011"	12.115007632045	8.45135099185941	17.5566117653392	13.9913043941893
"2012"	12.8194269027804	9.29360887878498	16.6815675109587	13.7277125214006
"2013"	11.4319010186523	9.39098785987666	16.2932562104757	13.6344453606329
"2014"	9.8035489572896	7.8782514056509	15.7940512729716	13.8242837480744
"2015"	7.7424415535781	8.24859577206633	16.0645025297277	14.1368692641793
"2016"	2.50272842622445	8.41898628459479	16.546658241619	14.5682015276973
"2017"	1.14922141511627	8.15519497728917	16.7158331162815	14.9689165952837
"2018"	2.13913800924504	8.46197929435334	16.204991336929	14.8070124963185
"BaseYear"	14.7496879812379	10.8953183144853	35.768351875984	14.8792026044128
