"EmissionYear","Miscellaneous industrial/commercial combustion","Power stations"
"1990",0.0029743193648036,14.7496341501083
"1995",0.00643591423381603,16.7260784160705
"1998",0.00155711110314288,17.8029604564596
"1999",0.00419240582047009,16.7121671284575
"2000",0.0159661335117478,19.6500114946992
"2001",0.0168825470617963,18.8682953796281
"2002",0.0185035970802549,17.2102939988075
"2003",0.0220198223847383,17.6086770065101
"2004",0.0203050307419378,15.7873425932064
"2005",0.0209697585798577,13.990402231256
"2006",0.0161030516661032,18.7792958410948
"2007",0.0197461581940929,15.5522875367869
"2008",0.0168956385993851,14.2777207251143
"2009",0.0156854491800495,13.3759429240806
"2010",0.0151007035605519,15.8060789688772
"2011",0.0139350883250281,12.0890206056672
"2012",0.00721248897728416,12.7714452826533
"2013",0.00747479764804129,11.3864592362584
"2014",0.0107358175560921,9.7602468272215
"2015",0.00726270811993351,7.6928960350243
"2016",0.00638771208202729,2.45376575124256
"2017",0.00677779055622305,1.11311894849521
"2018",0.00696801890457358,2.08463467300445
"2019",0.0384595293829928,2.00700277784426
"BaseYear",0.0029743193648036,14.7496341501083
