SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2012-09-25,23,41288
2012-09-25,22,41177
2012-09-25,21,41075
2012-09-25,20,41013
2012-09-25,19,40586
2012-09-25,18,39662
2012-09-25,17,39782
2012-09-25,16,38817
2012-09-25,15,36739
2012-09-25,14,32994
2012-09-25,13,29643
2012-09-25,12,26675
2012-09-25,11,25577
2012-09-25,10,24920
2012-09-25,9,24771
2012-09-25,8,24980
2012-09-25,7,25159
2012-09-25,6,25330
2012-09-25,5,25707
2012-09-25,4,25831
2012-09-25,3,25458
2012-09-25,2,25353
2012-09-25,1,26118
2012-09-26,48,28075
2012-09-26,47,29989
2012-09-26,46,32569
2012-09-26,45,35094
2012-09-26,44,37270
2012-09-26,43,39051
2012-09-26,42,40760
2012-09-26,41,42629
2012-09-26,40,43918
2012-09-26,39,44170
2012-09-26,38,43069
2012-09-26,37,42556
2012-09-26,36,42349
2012-09-26,35,42459
2012-09-26,34,42179
2012-09-26,33,41665
2012-09-26,32,40876
2012-09-26,31,40348
2012-09-26,30,40716
2012-09-26,29,40960
2012-09-26,28,41069
2012-09-26,27,41477
2012-09-26,26,41662
2012-09-26,25,41815
2012-09-26,24,41590
2012-09-26,23,41564
2012-09-26,22,41378
2012-09-26,21,41179
2012-09-26,20,41182
2012-09-26,19,40959
2012-09-26,18,40268
2012-09-26,17,40313
2012-09-26,16,39450
2012-09-26,15,37410
2012-09-26,14,33485
2012-09-26,13,30115
2012-09-26,12,27119
2012-09-26,11,25902
2012-09-26,10,25129
2012-09-26,9,25188
2012-09-26,8,25364
2012-09-26,7,25795
2012-09-26,6,25892
2012-09-26,5,26148
2012-09-26,4,26352
2012-09-26,3,26050
2012-09-26,2,25821
2012-09-26,1,26517
2012-09-27,48,28231
2012-09-27,47,30128
2012-09-27,46,32478
2012-09-27,45,34766
2012-09-27,44,36931
2012-09-27,43,39060
2012-09-27,42,40457
2012-09-27,41,41993
2012-09-27,40,43252
2012-09-27,39,43292
2012-09-27,38,42170
2012-09-27,37,41624
2012-09-27,36,41439
2012-09-27,35,41554
2012-09-27,34,41208
2012-09-27,33,40536
2012-09-27,32,39826
2012-09-27,31,39377
2012-09-27,30,39334
2012-09-27,29,39848
2012-09-27,28,39941
2012-09-27,27,40208
2012-09-27,26,40561
2012-09-27,25,40743
2012-09-27,24,40728
2012-09-27,23,40701
2012-09-27,22,40614
2012-09-27,21,40554
2012-09-27,20,40555
2012-09-27,19,40437
2012-09-27,18,39807
2012-09-27,17,40129
2012-09-27,16,39007
2012-09-27,15,36903
2012-09-27,14,33537
2012-09-27,13,30034
2012-09-27,12,26720
2012-09-27,11,25549
2012-09-27,10,24848
2012-09-27,9,24873
2012-09-27,8,25003
2012-09-27,7,25361
2012-09-27,6,25640
2012-09-27,5,25893
2012-09-27,4,26214
2012-09-27,3,26035
2012-09-27,2,25876
2012-09-27,1,26786
2012-09-28,48,28113
2012-09-28,47,29784
2012-09-28,46,31717
2012-09-28,45,33575
2012-09-28,44,35163
2012-09-28,43,36965
2012-09-28,42,38330
2012-09-28,41,39697
2012-09-28,40,41033
2012-09-28,39,41387
2012-09-28,38,39967
2012-09-28,37,39786
2012-09-28,36,39686
2012-09-28,35,39791
2012-09-28,34,39431
2012-09-28,33,39162
2012-09-28,32,38475
2012-09-28,31,38324
2012-09-28,30,38743
2012-09-28,29,39146
2012-09-28,28,39474
2012-09-28,27,39817
2012-09-28,26,40157
2012-09-28,25,40400
2012-09-28,24,40336
2012-09-28,23,40401
2012-09-28,22,40721
2012-09-28,21,40853
2012-09-28,20,40879
2012-09-28,19,40743
2012-09-28,18,40203
2012-09-28,17,40288
2012-09-28,16,39022
2012-09-28,15,36721
2012-09-28,14,33102
2012-09-28,13,29829
2012-09-28,12,26844
2012-09-28,11,25620
2012-09-28,10,25010
2012-09-28,9,24813
2012-09-28,8,25321
2012-09-28,7,25589
2012-09-28,6,25742
2012-09-28,5,26023
2012-09-28,4,26349
2012-09-28,3,25883
2012-09-28,2,25983
2012-09-28,1,26639
2012-09-29,48,27134
2012-09-29,47,28423
2012-09-29,46,29984
2012-09-29,45,31478
2012-09-29,44,32796
2012-09-29,43,34045
2012-09-29,42,35436
2012-09-29,41,36526
2012-09-29,40,37754
2012-09-29,39,38180
2012-09-29,38,36375
2012-09-29,37,35531
2012-09-29,36,35099
2012-09-29,35,34420
2012-09-29,34,33538
2012-09-29,33,33001
2012-09-29,32,32593
2012-09-29,31,32638
2012-09-29,30,32705
2012-09-29,29,33167
2012-09-29,28,33639
2012-09-29,27,34202
2012-09-29,26,34732
2012-09-29,25,35064
2012-09-29,24,35150
2012-09-29,23,35198
2012-09-29,22,35290
2012-09-29,21,35256
2012-09-29,20,35151
2012-09-29,19,34536
2012-09-29,18,33400
2012-09-29,17,31728
2012-09-29,16,29458
2012-09-29,15,27744
2012-09-29,14,26240
2012-09-29,13,25056
2012-09-29,12,23657
2012-09-29,11,23270
2012-09-29,10,23216
2012-09-29,9,23486
2012-09-29,8,23733
2012-09-29,7,23950
2012-09-29,6,24415
2012-09-29,5,24822
2012-09-29,4,25316
2012-09-29,3,25371
2012-09-29,2,25515
2012-09-29,1,26640
2012-09-30,48,26021
2012-09-30,47,27662
2012-09-30,46,29591
2012-09-30,45,31692
2012-09-30,44,33090
2012-09-30,43,34649
2012-09-30,42,35784
2012-09-30,41,37037
2012-09-30,40,38142
2012-09-30,39,39107
2012-09-30,38,38056
2012-09-30,37,37418
2012-09-30,36,36727
2012-09-30,35,36512
2012-09-30,34,35766
2012-09-30,33,35260
2012-09-30,32,34668
2012-09-30,31,34083
2012-09-30,30,33972
2012-09-30,29,34132
2012-09-30,28,34438
2012-09-30,27,34922
2012-09-30,26,35358
2012-09-30,25,35232
2012-09-30,24,34919
2012-09-30,23,34427
2012-09-30,22,33968
2012-09-30,21,33282
2012-09-30,20,32117
2012-09-30,19,30711
2012-09-30,18,28974
2012-09-30,17,27825
2012-09-30,16,25961
2012-09-30,15,24850
2012-09-30,14,24182
2012-09-30,13,23457
2012-09-30,12,22737
2012-09-30,11,22527
2012-09-30,10,22445
2012-09-30,9,22632
2012-09-30,8,23181
2012-09-30,7,23561
2012-09-30,6,23906
2012-09-30,5,24472
2012-09-30,4,25009
2012-09-30,3,25077
2012-09-30,2,24838
2012-09-30,1,25797
2012-10-01,35,41511
2012-10-01,36,41342
2012-10-01,46,32045
2012-10-01,4,24333
2012-10-01,27,40700
2012-10-01,6,23867
2012-10-01,31,39524
2012-10-01,1,24685
2012-10-01,38,42240
2012-10-01,10,23261
2012-10-01,3,24110
2012-10-01,15,36092
2012-10-01,28,40391
2012-10-01,14,32289
2012-10-01,18,39364
2012-10-01,7,23480
2012-10-01,11,24058
2012-10-01,16,38241
2012-10-01,9,23183
2012-10-01,17,39318
2012-10-01,24,41274
2012-10-01,5,24185
2012-10-01,34,41175
2012-10-01,21,40597
2012-10-01,39,43450
2012-10-01,48,27459
2012-10-01,12,25355
2012-10-01,22,40746
2012-10-01,44,36585
2012-10-01,25,41503
2012-10-01,2,23924
2012-10-01,32,39811
2012-10-01,8,23341
2012-10-01,33,40550
2012-10-01,37,41544
2012-10-01,43,38365
2012-10-01,40,42744
2012-10-01,19,40210
2012-10-01,26,40992
2012-10-01,45,34473
2012-10-01,30,39783
2012-10-01,20,40565
2012-10-01,42,39842
2012-10-01,29,40146
2012-10-01,47,29584
2012-10-01,41,41454
2012-10-01,23,41031
2012-10-01,13,28585
2012-10-02,48,27510
2012-10-02,47,29302
2012-10-02,46,31892
2012-10-02,45,34337
2012-10-02,44,36575
2012-10-02,43,38753
2012-10-02,42,40359
2012-10-02,41,41799
2012-10-02,40,43308
2012-10-02,39,44307
2012-10-02,38,44143
2012-10-02,37,43400
2012-10-02,36,42928
2012-10-02,35,42880
2012-10-02,34,42273
2012-10-02,33,41257
2012-10-02,32,40277
2012-10-02,31,39708
2012-10-02,30,39764
2012-10-02,29,40086
2012-10-02,28,40130
2012-10-02,27,40358
2012-10-02,26,40642
2012-10-02,25,40713
2012-10-02,24,40693
2012-10-02,23,40458
2012-10-02,22,40426
2012-10-02,21,40525
2012-10-02,20,40671
2012-10-02,19,40533
2012-10-02,18,39757
2012-10-02,17,39740
2012-10-02,16,38747
2012-10-02,15,36970
2012-10-02,14,32906
2012-10-02,13,29369
2012-10-02,12,26195
2012-10-02,11,25093
2012-10-02,10,24464
2012-10-02,9,24404
2012-10-02,8,24367
2012-10-02,7,24645
2012-10-02,6,25155
2012-10-02,5,25441
2012-10-02,4,25558
2012-10-02,3,25271
2012-10-02,2,25273
2012-10-02,1,26114
2012-10-03,48,28025
2012-10-03,47,29930
2012-10-03,46,32385
2012-10-03,45,34698
2012-10-03,44,36707
2012-10-03,43,38970
2012-10-03,42,40665
2012-10-03,41,42362
2012-10-03,40,43813
2012-10-03,39,44521
2012-10-03,38,43353
2012-10-03,37,42240
2012-10-03,36,41826
2012-10-03,35,42009
2012-10-03,34,41381
2012-10-03,33,40669
2012-10-03,32,39924
2012-10-03,31,39408
2012-10-03,30,39566
2012-10-03,29,39984
2012-10-03,28,40286
2012-10-03,27,40283
2012-10-03,26,40538
2012-10-03,25,40777
2012-10-03,24,40781
2012-10-03,23,40724
2012-10-03,22,40583
2012-10-03,21,40419
2012-10-03,20,40577
2012-10-03,19,40377
2012-10-03,18,39864
2012-10-03,17,40007
2012-10-03,16,38943
2012-10-03,15,36994
2012-10-03,14,33326
2012-10-03,13,29868
2012-10-03,12,26449
2012-10-03,11,25290
2012-10-03,10,24585
2012-10-03,9,24627
2012-10-03,8,24601
2012-10-03,7,24902
2012-10-03,6,25261
2012-10-03,5,25709
2012-10-03,4,25811
2012-10-03,3,25604
2012-10-03,2,25376
2012-10-03,1,25875
2012-10-04,48,27950
2012-10-04,47,29880
2012-10-04,46,32164
2012-10-04,45,34588
2012-10-04,44,36548
2012-10-04,43,38757
2012-10-04,42,40585
2012-10-04,41,42104
2012-10-04,40,43573
2012-10-04,39,44651
2012-10-04,38,44256
2012-10-04,37,42481
2012-10-04,36,41555
2012-10-04,35,41448
2012-10-04,34,41065
2012-10-04,33,40308
2012-10-04,32,39643
2012-10-04,31,39214
2012-10-04,30,39442
2012-10-04,29,39613
2012-10-04,28,39871
2012-10-04,27,40147
2012-10-04,26,40938
2012-10-04,25,41157
2012-10-04,24,41007
2012-10-04,23,40637
2012-10-04,22,40546
2012-10-04,21,40559
2012-10-04,20,40588
2012-10-04,19,40519
2012-10-04,18,40059
2012-10-04,17,40278
2012-10-04,16,39524
2012-10-04,15,37546
2012-10-04,14,33680
2012-10-04,13,29967
2012-10-04,12,26703
2012-10-04,11,25530
2012-10-04,10,24900
2012-10-04,9,24847
2012-10-04,8,24998
2012-10-04,7,25284
2012-10-04,6,25544
2012-10-04,5,25852
2012-10-04,4,26167
2012-10-04,3,25757
2012-10-04,2,25644
2012-10-04,1,26349
2012-10-05,48,28335
2012-10-05,47,30080
2012-10-05,46,32026
2012-10-05,45,33916
2012-10-05,44,35612
2012-10-05,43,37450
2012-10-05,42,38828
2012-10-05,41,40290
2012-10-05,40,41857
2012-10-05,39,43132
2012-10-05,38,43328
2012-10-05,37,42345
2012-10-05,36,41703
2012-10-05,35,41618
2012-10-05,34,41043
2012-10-05,33,40213
2012-10-05,32,39377
2012-10-05,31,39133
2012-10-05,30,39341
2012-10-05,29,39801
2012-10-05,28,39699
2012-10-05,27,39937
2012-10-05,26,40234
2012-10-05,25,40502
2012-10-05,24,40616
2012-10-05,23,40645
2012-10-05,22,40737
2012-10-05,21,40787
2012-10-05,20,40774
2012-10-05,19,40603
2012-10-05,18,39694
2012-10-05,17,40018
2012-10-05,16,39313
2012-10-05,15,37388
2012-10-05,14,33511
2012-10-05,13,29882
2012-10-05,12,26813
2012-10-05,11,25766
2012-10-05,10,25257
2012-10-05,9,25144
2012-10-05,8,25319
2012-10-05,7,25594
2012-10-05,6,25907
2012-10-05,5,25978
2012-10-05,4,26263
2012-10-05,3,26117
2012-10-05,2,25787
2012-10-05,1,26699
2012-10-06,48,27186
2012-10-06,47,28579
2012-10-06,46,30240
2012-10-06,45,31361
2012-10-06,44,32494
2012-10-06,43,33860
2012-10-06,42,35117
2012-10-06,41,36941
2012-10-06,40,37928
2012-10-06,39,38885
2012-10-06,38,38133
2012-10-06,37,36450
2012-10-06,36,35708
2012-10-06,35,34961
2012-10-06,34,33918
2012-10-06,33,33083
2012-10-06,32,32708
2012-10-06,31,32757
2012-10-06,30,32900
2012-10-06,29,33364
2012-10-06,28,33788
2012-10-06,27,34187
2012-10-06,26,34760
2012-10-06,25,35183
2012-10-06,24,35396
2012-10-06,23,35644
2012-10-06,22,35823
2012-10-06,21,35851
2012-10-06,20,35470
2012-10-06,19,34832
2012-10-06,18,33746
2012-10-06,17,32427
2012-10-06,16,30356
2012-10-06,15,28653
2012-10-06,14,26999
2012-10-06,13,25827
2012-10-06,12,24435
2012-10-06,11,24041
2012-10-06,10,23720
2012-10-06,9,24007
2012-10-06,8,24270
2012-10-06,7,24824
2012-10-06,6,25318
2012-10-06,5,25756
2012-10-06,4,26121
2012-10-06,3,25944
2012-10-06,2,25902
2012-10-06,1,26728
2012-10-07,48,26244
2012-10-07,47,27904
2012-10-07,46,30088
2012-10-07,45,32205
2012-10-07,44,33744
2012-10-07,43,35534
2012-10-07,42,36702
2012-10-07,41,38006
2012-10-07,40,39223
2012-10-07,39,40014
2012-10-07,38,39526
2012-10-07,37,37727
2012-10-07,36,36796
2012-10-07,35,36232
2012-10-07,34,35376
2012-10-07,33,34680
2012-10-07,32,33986
2012-10-07,31,33726
2012-10-07,30,33673
2012-10-07,29,33958
2012-10-07,28,34225
2012-10-07,27,34770
2012-10-07,26,35216
2012-10-07,25,35316
2012-10-07,24,35108
2012-10-07,23,34771
2012-10-07,22,34467
2012-10-07,21,33799
2012-10-07,20,33002
2012-10-07,19,31716
2012-10-07,18,29962
2012-10-07,17,28488
2012-10-07,16,26675
2012-10-07,15,25490
2012-10-07,14,24837
2012-10-07,13,23919
2012-10-07,12,23193
2012-10-07,11,23033
2012-10-07,10,22913
2012-10-07,9,23138
2012-10-07,8,23461
2012-10-07,7,23738
2012-10-07,6,24282
2012-10-07,5,24765
2012-10-07,4,25160
2012-10-07,3,24988
2012-10-07,2,24986
2012-10-07,1,25821
2012-10-08,48,28005
2012-10-08,47,29863
2012-10-08,46,32241
2012-10-08,45,34826
2012-10-08,44,37004
2012-10-08,43,39357
2012-10-08,42,41061
2012-10-08,41,42578
2012-10-08,40,44315
2012-10-08,39,45479
2012-10-08,38,45533
2012-10-08,37,44280
2012-10-08,36,43675
2012-10-08,35,43522
2012-10-08,34,42865
2012-10-08,33,42149
2012-10-08,32,41348
2012-10-08,31,40924
2012-10-08,30,41033
2012-10-08,29,41517
2012-10-08,28,41526
2012-10-08,27,41659
2012-10-08,26,41980
2012-10-08,25,42257
2012-10-08,24,42314
2012-10-08,23,42262
2012-10-08,22,42034
2012-10-08,21,41836
2012-10-08,20,41747
2012-10-08,19,41301
2012-10-08,18,40558
2012-10-08,17,40712
2012-10-08,16,39977
2012-10-08,15,37696
2012-10-08,14,33473
2012-10-08,13,29737
2012-10-08,12,26498
2012-10-08,11,25104
2012-10-08,10,24269
2012-10-08,9,24173
2012-10-08,8,24240
2012-10-08,7,24180
2012-10-08,6,24514
2012-10-08,5,24874
2012-10-08,4,25034
2012-10-08,3,24545
2012-10-08,2,24192
2012-10-08,1,24880
2012-10-09,48,28672
2012-10-09,47,30596
2012-10-09,46,32959
2012-10-09,45,35446
2012-10-09,44,37607
2012-10-09,43,39974
2012-10-09,42,41396
2012-10-09,41,43174
2012-10-09,40,44458
2012-10-09,39,45759
2012-10-09,38,45866
2012-10-09,37,44110
2012-10-09,36,43383
2012-10-09,35,43227
2012-10-09,34,42573
2012-10-09,33,41699
2012-10-09,32,40968
2012-10-09,31,40439
2012-10-09,30,40599
2012-10-09,29,40932
2012-10-09,28,40954
2012-10-09,27,41148
2012-10-09,26,41537
2012-10-09,25,41785
2012-10-09,24,41775
2012-10-09,23,41630
2012-10-09,22,41719
2012-10-09,21,41720
2012-10-09,20,41774
2012-10-09,19,41575
2012-10-09,18,41090
2012-10-09,17,41257
2012-10-09,16,40302
2012-10-09,15,38481
2012-10-09,14,34286
2012-10-09,13,30551
2012-10-09,12,27363
2012-10-09,11,26102
2012-10-09,10,25340
2012-10-09,9,25319
2012-10-09,8,25550
2012-10-09,7,25683
2012-10-09,6,26112
2012-10-09,5,26330
2012-10-09,4,26621
2012-10-09,3,26150
2012-10-09,2,25750
2012-10-09,1,26502
2012-10-10,48,28489
2012-10-10,47,30508
2012-10-10,46,32990
2012-10-10,45,35422
2012-10-10,44,37524
2012-10-10,43,39745
2012-10-10,42,41399
2012-10-10,41,43133
2012-10-10,40,44398
2012-10-10,39,45667
2012-10-10,38,46266
2012-10-10,37,44406
2012-10-10,36,43646
2012-10-10,35,43284
2012-10-10,34,42756
2012-10-10,33,41865
2012-10-10,32,40953
2012-10-10,31,40415
2012-10-10,30,40574
2012-10-10,29,40901
2012-10-10,28,40857
2012-10-10,27,41046
2012-10-10,26,41624
2012-10-10,25,41875
2012-10-10,24,41768
2012-10-10,23,41756
2012-10-10,22,41793
2012-10-10,21,41797
2012-10-10,20,42022
2012-10-10,19,41826
2012-10-10,18,41216
2012-10-10,17,41550
2012-10-10,16,40778
2012-10-10,15,38838
2012-10-10,14,34647
2012-10-10,13,30869
2012-10-10,12,27713
2012-10-10,11,26522
2012-10-10,10,25716
2012-10-10,9,25723
2012-10-10,8,25956
2012-10-10,7,26201
2012-10-10,6,26582
2012-10-10,5,26901
2012-10-10,4,27062
2012-10-10,3,26587
2012-10-10,2,26156
2012-10-10,1,27084
2012-10-11,38,46566
2012-10-11,11,26270
2012-10-11,48,28578
2012-10-11,47,30724
2012-10-11,46,32887
2012-10-11,45,35162
2012-10-11,44,37227
2012-10-11,43,39464
2012-10-11,42,41230
2012-10-11,41,42847
2012-10-11,40,44447
2012-10-11,39,45575
2012-10-11,37,45933
2012-10-11,36,45103
2012-10-11,35,44935
2012-10-11,34,44171
2012-10-11,33,43197
2012-10-11,32,42105
2012-10-11,31,41669
2012-10-11,30,41610
2012-10-11,29,41964
2012-10-11,28,41842
2012-10-11,27,42178
2012-10-11,26,42350
2012-10-11,25,42574
2012-10-11,24,42630
2012-10-11,23,42581
2012-10-11,22,42255
2012-10-11,21,42106
2012-10-11,20,42021
2012-10-11,19,41705
2012-10-11,18,40962
2012-10-11,17,41275
2012-10-11,16,40713
2012-10-11,15,38767
2012-10-11,14,34588
2012-10-11,13,30833
2012-10-11,12,27494
2012-10-11,10,25664
2012-10-11,9,25777
2012-10-11,8,26051
2012-10-11,7,26388
2012-10-11,6,26719
2012-10-11,5,26886
2012-10-11,4,27077
2012-10-11,3,26617
2012-10-11,2,26326
2012-10-11,1,26875
2012-10-12,48,28907
2012-10-12,47,30452
2012-10-12,46,32492
2012-10-12,45,34386
2012-10-12,44,35868
2012-10-12,43,37597
2012-10-12,42,39091
2012-10-12,41,40661
2012-10-12,40,42404
2012-10-12,39,43668
2012-10-12,38,44073
2012-10-12,37,42012
2012-10-12,36,40916
2012-10-12,35,40821
2012-10-12,34,40192
2012-10-12,33,39817
2012-10-12,32,39221
2012-10-12,31,38881
2012-10-12,30,39219
2012-10-12,29,39618
2012-10-12,28,39932
2012-10-12,27,40408
2012-10-12,26,40801
2012-10-12,25,41009
2012-10-12,24,41160
2012-10-12,23,41199
2012-10-12,22,41195
2012-10-12,21,41208
2012-10-12,20,41350
2012-10-12,19,41261
2012-10-12,18,40953
2012-10-12,17,41269
2012-10-12,16,40430
2012-10-12,15,38403
2012-10-12,14,34166
2012-10-12,13,30459
2012-10-12,12,27433
2012-10-12,11,26298
2012-10-12,10,25770
2012-10-12,9,25852
2012-10-12,8,25991
2012-10-12,7,26191
2012-10-12,6,26497
2012-10-12,5,26787
2012-10-12,4,27123
2012-10-12,3,26804
2012-10-12,2,26657
2012-10-12,1,27329
2012-10-13,48,27780
2012-10-13,47,29309
2012-10-13,46,31152
2012-10-13,45,32506
2012-10-13,44,33836
2012-10-13,43,35084
2012-10-13,42,36360
2012-10-13,41,37665
2012-10-13,40,39025
2012-10-13,39,40213
2012-10-13,38,40717
2012-10-13,37,39274
2012-10-13,36,37990
2012-10-13,35,36906
2012-10-13,34,35838
2012-10-13,33,34906
2012-10-13,32,34562
2012-10-13,31,34397
2012-10-13,30,34367
2012-10-13,29,34792
2012-10-13,28,35141
2012-10-13,27,35567
2012-10-13,26,36054
2012-10-13,25,36652
2012-10-13,24,36631
2012-10-13,23,36663
2012-10-13,22,36740
2012-10-13,21,36760
2012-10-13,20,36397
2012-10-13,19,35766
2012-10-13,18,34369
2012-10-13,17,32989
2012-10-13,16,30916
2012-10-13,15,29531
2012-10-13,14,27969
2012-10-13,13,26582
2012-10-13,12,24959
2012-10-13,11,24451
2012-10-13,10,24405
2012-10-13,9,24673
2012-10-13,8,24945
2012-10-13,7,25332
2012-10-13,6,25870
2012-10-13,5,26320
2012-10-13,4,26691
2012-10-13,3,26290
2012-10-13,2,25623
2012-10-13,1,26513
2012-10-14,48,26678
2012-10-14,47,28347
2012-10-14,46,30573
2012-10-14,45,32503
2012-10-14,44,34117
2012-10-14,43,35900
2012-10-14,42,37061
2012-10-14,41,38368
2012-10-14,40,39429
2012-10-14,39,40269
2012-10-14,38,40739
2012-10-14,37,39278
2012-10-14,36,37761
2012-10-14,35,37029
2012-10-14,34,36016
2012-10-14,33,35250
2012-10-14,32,34692
2012-10-14,31,34465
2012-10-14,30,34376
2012-10-14,29,34555
2012-10-14,28,34921
2012-10-14,27,35290
2012-10-14,26,35803
2012-10-14,25,35842
2012-10-14,24,35738
2012-10-14,23,35448
2012-10-14,22,35234
2012-10-14,21,34560
2012-10-14,20,33879
2012-10-14,19,32581
2012-10-14,18,30845
2012-10-14,17,29276
2012-10-14,16,27671
2012-10-14,15,26756
2012-10-14,14,25859
2012-10-14,13,24855
2012-10-14,12,24193
2012-10-14,11,24015
2012-10-14,10,23937
2012-10-14,9,24166
2012-10-14,8,24603
2012-10-14,7,24915
2012-10-14,6,25443
2012-10-14,5,25801
2012-10-14,4,26162
2012-10-14,3,25884
2012-10-14,2,25675
2012-10-14,1,26905
2012-10-15,48,28479
2012-10-15,47,30194
2012-10-15,46,32698
2012-10-15,45,35333
2012-10-15,44,37452
2012-10-15,43,39827
2012-10-15,42,41581
2012-10-15,41,43174
2012-10-15,40,44606
2012-10-15,39,45566
2012-10-15,38,46372
2012-10-15,37,45124
2012-10-15,36,44089
2012-10-15,35,43863
2012-10-15,34,43266
2012-10-15,33,42434
2012-10-15,32,41566
2012-10-15,31,40983
2012-10-15,30,41195
2012-10-15,29,41432
2012-10-15,28,41566
2012-10-15,27,41866
2012-10-15,26,42185
2012-10-15,25,42378
2012-10-15,24,42397
2012-10-15,23,42417
2012-10-15,22,42236
2012-10-15,21,42089
2012-10-15,20,42160
2012-10-15,19,41746
2012-10-15,18,41011
2012-10-15,17,41185
2012-10-15,16,40423
2012-10-15,15,38457
2012-10-15,14,34034
2012-10-15,13,30034
2012-10-15,12,26802
2012-10-15,11,25524
2012-10-15,10,24858
2012-10-15,9,24811
2012-10-15,8,24997
2012-10-15,7,25268
2012-10-15,6,25598
2012-10-15,5,25879
2012-10-15,4,25932
2012-10-15,3,25297
2012-10-15,2,24846
2012-10-15,1,25532
2012-10-16,48,28967
2012-10-16,47,30771
2012-10-16,46,33139
2012-10-16,45,35563
2012-10-16,44,37852
2012-10-16,43,40229
2012-10-16,42,41559
2012-10-16,41,43438
2012-10-16,40,45026
2012-10-16,39,46262
2012-10-16,38,46948
2012-10-16,37,44863
2012-10-16,36,43116
2012-10-16,35,42735
2012-10-16,34,41903
2012-10-16,33,41347
2012-10-16,32,40601
2012-10-16,31,40399
2012-10-16,30,40835
2012-10-16,29,41204
2012-10-16,28,41332
2012-10-16,27,41656
2012-10-16,26,42025
2012-10-16,25,42372
2012-10-16,24,42412
2012-10-16,23,42325
2012-10-16,22,42217
2012-10-16,21,41978
2012-10-16,20,41977
2012-10-16,19,41850
2012-10-16,18,41419
2012-10-16,17,41564
2012-10-16,16,41051
2012-10-16,15,39254
2012-10-16,14,34608
2012-10-16,13,30900
2012-10-16,12,27985
2012-10-16,11,26540
2012-10-16,10,25799
2012-10-16,9,25816
2012-10-16,8,26054
2012-10-16,7,26335
2012-10-16,6,26853
2012-10-16,5,27110
2012-10-16,4,27397
2012-10-16,3,26895
2012-10-16,2,26440
2012-10-16,1,26830
2012-10-17,48,28846
2012-10-17,47,30694
2012-10-17,46,32946
2012-10-17,45,35365
2012-10-17,44,37523
2012-10-17,43,39791
2012-10-17,42,41379
2012-10-17,41,43041
2012-10-17,40,44167
2012-10-17,39,45650
2012-10-17,38,46653
2012-10-17,37,46059
2012-10-17,36,44147
2012-10-17,35,43358
2012-10-17,34,43108
2012-10-17,33,42029
2012-10-17,32,41083
2012-10-17,31,40708
2012-10-17,30,40747
2012-10-17,29,40824
2012-10-17,28,41003
2012-10-17,27,41293
2012-10-17,26,41733
2012-10-17,25,42010
2012-10-17,24,42015
2012-10-17,23,42062
2012-10-17,22,42e3
2012-10-17,21,41933
2012-10-17,20,41940
2012-10-17,19,41851
2012-10-17,18,41395
2012-10-17,17,41865
2012-10-17,16,41237
2012-10-17,15,39225
2012-10-17,14,34778
2012-10-17,13,31119
2012-10-17,12,28064
2012-10-17,11,26767
2012-10-17,10,26283
2012-10-17,9,26222
2012-10-17,8,26521
2012-10-17,7,26837
2012-10-17,6,27302
2012-10-17,5,27622
2012-10-17,4,27706
2012-10-17,3,27089
2012-10-17,2,26765
2012-10-17,1,27374
2012-10-18,48,28605
2012-10-18,47,30462
2012-10-18,46,32769
2012-10-18,45,35090
2012-10-18,44,37194
2012-10-18,43,39307
2012-10-18,42,41051
2012-10-18,41,42511
2012-10-18,40,44058
2012-10-18,39,45014
2012-10-18,38,45807
2012-10-18,37,45079
2012-10-18,36,43382
2012-10-18,35,42965
2012-10-18,34,42289
2012-10-18,33,41656
2012-10-18,32,40872
2012-10-18,31,40403
2012-10-18,30,40640
2012-10-18,29,41056
2012-10-18,28,41030
2012-10-18,27,41344
2012-10-18,26,41571
2012-10-18,25,41784
2012-10-18,24,41727
2012-10-18,23,41761
2012-10-18,22,41820
2012-10-18,21,41765
2012-10-18,20,41719
2012-10-18,19,41523
2012-10-18,18,40852
2012-10-18,17,41254
2012-10-18,16,40788
2012-10-18,15,38994
2012-10-18,14,34343
2012-10-18,13,30700
2012-10-18,12,27628
2012-10-18,11,26506
2012-10-18,10,25858
2012-10-18,9,25798
2012-10-18,8,26216
2012-10-18,7,26587
2012-10-18,6,27103
2012-10-18,5,27380
2012-10-18,4,27573
2012-10-18,3,27194
2012-10-18,2,26745
2012-10-18,1,27404
2012-10-19,48,28683
2012-10-19,47,30306
2012-10-19,46,32261
2012-10-19,45,34071
2012-10-19,44,35814
2012-10-19,43,37743
2012-10-19,42,39091
2012-10-19,41,40649
2012-10-19,40,42330
2012-10-19,39,43732
2012-10-19,38,45052
2012-10-19,37,44710
2012-10-19,36,43574
2012-10-19,35,42981
2012-10-19,34,42105
2012-10-19,33,41129
2012-10-19,32,40355
2012-10-19,31,40092
2012-10-19,30,40404
2012-10-19,29,40844
2012-10-19,28,40975
2012-10-19,27,41267
2012-10-19,26,41809
2012-10-19,25,42085
2012-10-19,24,42091
2012-10-19,23,42017
2012-10-19,22,41792
2012-10-19,21,41798
2012-10-19,20,41881
2012-10-19,19,41658
2012-10-19,18,41148
2012-10-19,17,41369
2012-10-19,16,40440
2012-10-19,15,38475
2012-10-19,14,33999
2012-10-19,13,30583
2012-10-19,12,27571
