"Date"	"Gas"	"Transport"	"Electricity"
2009-01-01	0	111.366570893944	89.995
2009-02-01	0	141.474603333712	91.556
2009-03-01	0	120.827736238364	83.5595
2009-04-01	0	136.261253662413	90.5045
2009-05-01	0	120.391865958345	80.013
2009-06-01	0	131.150888638722	74.4085
2009-07-01	0	124.782299283841	75.616
2009-08-01	0	127.002238865	61.3065
2009-09-01	0	131.784466736491	73.442
2009-10-01	0	122.085250740564	81.383
2009-11-01	0	122.522679987421	74.8005
2009-12-01	0	122.221582792531	101.1225
2010-01-01	0	107.297439086898	91.1365
2010-02-01	0	133.646860307781	103.945
2010-03-01	0	116.159931713537	101.594
2010-04-01	0	134.600218913483	92.5695
2010-05-01	0	120.441416096243	73.3205
2010-06-01	0	126.385775623938	75.7565
2010-07-01	0	123.700966002856	70.417
2010-08-01	0	124.880609473621	62.62
2010-09-01	0	128.985298534966	78.224
2010-10-01	0	126.314776923936	78.7245
2010-11-01	0	131.542018632148	87.0245
2010-12-01	0	120.186246899562	116.5825
2011-01-01	0	113.492296979603	90.9805809320247
2011-02-01	0	131.614922111046	107.610579486396
2011-03-01	0	113.990564873044	98.5000488936145
2011-04-01	0	131.662745884465	95.5440306193529
2011-05-01	0	116.180163256539	76.5459438724371
2011-06-01	0	127.20527537062	84.2893162343132
2011-07-01	0	122.102745185074	73.4055323760151
2011-08-01	0	118.091407121471	74.1079341043424
2011-09-01	0	127.618519841531	81.8300682316572
2011-10-01	0	123.067264033547	72.3267691153461
2011-11-01	0	127.678975752457	87.3034946551996
2011-12-01	0	121.423188162302	96.0249290080349
2012-01-01	0	112.14400178421	84.4902319522883
2012-02-01	0	125.842793597539	108.076176264642
2012-03-01	0	128.602972802464	88.0157799142463
2012-04-01	0	114.432878810645	72.9712523432528
2012-05-01	0	114.659161347395	84.4517707225666
2012-06-01	0	125.854945711571	71.389113617633
2012-07-01	0	119.351969432826	67.6221256443218
2012-08-01	0	120.973249434584	75.1116875121734
2012-09-01	0	125.969713460499	64.1402521747343
2012-10-01	0	119.825217616889	79.8520755082773
2012-11-01	0	129.563178974737	94.2897061862369
2012-12-01	0	126.03806108281	93.0645197819037
2013-01-01	220.187865	107.690500476999	80.9898249852333
2013-01-02	206.5032	107.690500476999	81.9904895485608
2013-01-03	199.869327	107.690500476999	88.0219698049788
2013-01-04	193.421846	107.690500476999	85.6258656983419
2013-01-05	186.814916	107.690500476999	79.7845434065692
2013-01-06	198.25247	107.690500476999	79.401797327918
2013-01-07	199.706934	107.690500476999	91.2654407221485
2013-01-08	202.451129	107.690500476999	88.5068597768615
2013-01-09	237.035803	107.690500476999	89.4456605245875
2013-01-10	289.925809	107.690500476999	95.6934150505829
2013-01-11	285.527663	107.690500476999	95.6886464931371
2013-01-12	286.856846	107.690500476999	93.0426340976299
2013-01-13	301.77202	107.690500476999	91.4219301662098
2013-01-14	311.297181	107.690500476999	100.815162946726
2013-01-15	332.868037	107.690500476999	104.783107518251
2013-01-16	334.114795	107.690500476999	104.744882284324
2013-01-17	313.487047	107.690500476999	104.307668246284
2013-01-18	287.251126	107.690500476999	104.143533216185
2013-01-19	270.862339	107.690500476999	95.9473677204119
2013-01-20	272.285353	107.690500476999	94.7465751547281
2013-01-21	298.156041	107.690500476999	100.76873153253
2013-01-22	336.555307	107.690500476999	106.812426041937
2013-01-23	336.682893	107.690500476999	106.287494382084
2013-01-24	326.834738	107.690500476999	103.950842354914
2013-01-25	306.783056	107.690500476999	106.535079852165
2013-01-26	240.721455	107.690500476999	94.1348032052977
2013-01-27	244.318302	107.690500476999	92.9419090472877
2013-01-28	257.499584	107.690500476999	102.46489562841
2013-01-29	236.99989	107.690500476999	100.640850960431
2013-01-30	244.041402	107.690500476999	100.488780467975
2013-01-31	250.217033	107.690500476999	104.101931050313
2013-02-01	247.174668	128.302387255072	97.9915685715914
2013-02-02	249.415275	128.302387255072	90.8825232675053
2013-02-03	234.23156	128.302387255072	86.4888995665626
2013-02-04	270.250171	128.302387255072	102.302420455879
2013-02-05	275.936804	128.302387255072	105.172099794602
2013-02-06	273.461691	128.302387255072	103.61083665775
2013-02-07	313.460385	128.302387255072	102.960009364459
2013-02-08	303.977871	128.302387255072	97.1768552926304
2013-02-09	286.438054	128.302387255072	88.7425450556239
2013-02-10	286.016415	128.302387255072	88.7042001410169
2013-02-11	317.280605	128.302387255072	95.6904757106152
2013-02-12	321.733477	128.302387255072	99.9590386966737
2013-02-13	317.530087	128.302387255072	103.945556950788
2013-02-14	276.557824	128.302387255072	96.2443310851603
2013-02-15	258.099742	128.302387255072	90.6160010304841
2013-02-16	219.477096	128.302387255072	83.5389308215835
2013-02-17	213.916717	128.302387255072	83.4819836627208
2013-02-18	273.286893	128.302387255072	95.5129275244561
2013-02-19	273.770427	128.302387255072	94.8501711901505
2013-02-20	287.251794	128.302387255072	97.8775076664775
2013-02-21	305.736308	128.302387255072	100.884927147507
2013-02-22	295.657655	128.302387255072	101.283486131763
2013-02-23	254.819682	128.302387255072	91.289353825901
2013-02-24	261.747807	128.302387255072	91.6826699427686
2013-02-25	256.342136	128.302387255072	98.4387144753095
2013-02-26	244.65813	128.302387255072	92.0928030582799
2013-02-27	246.112239	128.302387255072	95.7353984591215
2013-02-28	237.804918	128.302387255072	95.2017985084609
2013-03-01	211.439163	111.041834956375	92.4524143914693
2013-03-02	196.073066	111.041834956375	81.4891420365932
2013-03-03	201.754539	111.041834956375	84.4348791562213
2013-03-04	219.188836	111.041834956375	93.1507049120969
2013-03-05	219.957957	111.041834956375	92.7342198043806
