Month,Application Submitted,Awaiting Construction,Under Construction,Operational
Mar-16,108,100,48,230
Jun-16,100,104,40,239
Sep-16,90,99,43,245
Dec-16,77,104,35,255
Mar-17,77,99,30,271
Jun-17,71,96,32,280
Sep-17,65,90,37,285
Dec-17,54,98,29,293
Mar-18,52,101,21,300
Jun-18,52,100,21,304
Sep-18,52,100,17,308
Dec-18,55,103,15,312
Mar-19,59,107,14,313
Jun-19,62,112,14,316
Sep-19,54,117,11,318
Dec-19,56,114,13,318
