"Quarter"	"LAName"	"LACode"	"variable"	"value"
2015 Q4	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	50
2015 Q4	"Moray"	"S12000020"	"Battery Electric Vehicles"	14
2015 Q4	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	5
2015 Q4	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	41
2015 Q4	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	87
2015 Q4	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	67
2015 Q4	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	52
2015 Q4	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	87
2015 Q4	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	51
2015 Q4	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	5
2015 Q4	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	39
2015 Q4	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	122
2015 Q4	"Stirling"	"S12000030"	"Battery Electric Vehicles"	35
2015 Q4	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	11
2015 Q4	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	57
2015 Q3	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	67
2015 Q3	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	69
2015 Q3	"Angus"	"S12000041"	"Battery Electric Vehicles"	45
2015 Q3	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	23
2015 Q3	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	126
2015 Q3	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	12
2015 Q3	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	18
2015 Q3	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	138
2015 Q3	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	19
2015 Q3	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	26
2015 Q3	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	33
2015 Q3	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	28
2015 Q3	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	35
2015 Q3	"Fife"	"S12000047"	"Battery Electric Vehicles"	112
2015 Q3	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	204
2015 Q3	"Highland"	"S12000017"	"Battery Electric Vehicles"	43
2015 Q3	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	14
2015 Q3	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	38
2015 Q3	"Moray"	"S12000020"	"Battery Electric Vehicles"	13
2015 Q3	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	5
2015 Q3	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	38
2015 Q3	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	75
2015 Q3	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	62
2015 Q3	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	41
2015 Q3	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	76
2015 Q3	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	49
2015 Q3	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	5
2015 Q3	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	36
2015 Q3	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	111
2015 Q3	"Stirling"	"S12000030"	"Battery Electric Vehicles"	32
2015 Q3	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	12
2015 Q3	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	53
2015 Q2	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	59
2015 Q2	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	61
2015 Q2	"Angus"	"S12000041"	"Battery Electric Vehicles"	42
2015 Q2	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	19
2015 Q2	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	123
2015 Q2	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	11
2015 Q2	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	17
2015 Q2	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	141
2015 Q2	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	17
2015 Q2	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	24
2015 Q2	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	28
2015 Q2	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	19
2015 Q2	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	32
2015 Q2	"Fife"	"S12000047"	"Battery Electric Vehicles"	100
2015 Q2	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	217
2015 Q2	"Highland"	"S12000017"	"Battery Electric Vehicles"	39
2015 Q2	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	13
2015 Q2	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	39
2015 Q2	"Moray"	"S12000020"	"Battery Electric Vehicles"	15
2015 Q2	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	0
2015 Q2	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	36
2015 Q2	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	76
2015 Q2	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	58
2015 Q2	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	37
2015 Q2	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	66
2015 Q2	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	47
2015 Q2	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	5
2015 Q2	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	33
2015 Q2	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	96
2015 Q2	"Stirling"	"S12000030"	"Battery Electric Vehicles"	32
2015 Q2	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	11
2015 Q2	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	49
2015 Q1	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	53
2015 Q1	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	53
2015 Q1	"Angus"	"S12000041"	"Battery Electric Vehicles"	34
2015 Q1	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	14
2015 Q1	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	113
2015 Q1	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	10
2015 Q1	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	16
2015 Q1	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	136
2015 Q1	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	14
2015 Q1	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	23
2015 Q1	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	22
2015 Q1	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	17
2015 Q1	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	30
2015 Q1	"Fife"	"S12000047"	"Battery Electric Vehicles"	88
2015 Q1	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	218
2015 Q1	"Highland"	"S12000017"	"Battery Electric Vehicles"	42
2015 Q1	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	14
2015 Q1	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	32
2015 Q1	"Moray"	"S12000020"	"Battery Electric Vehicles"	17
2015 Q1	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	0
2015 Q1	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	30
2015 Q1	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	67
2015 Q1	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	50
2015 Q1	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	34
2015 Q1	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	53
2015 Q1	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	47
2015 Q1	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	5
2015 Q1	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	33
2015 Q1	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	87
2015 Q1	"Stirling"	"S12000030"	"Battery Electric Vehicles"	33
2015 Q1	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	10
2015 Q1	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	43
2021 Q2	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	367
2021 Q2	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	555
2021 Q2	"Angus"	"S12000041"	"Plug-in Hybrids"	189
2021 Q2	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	147
2021 Q2	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	991
2021 Q2	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	62
2021 Q2	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	196
2021 Q2	"Dundee City"	"S12000042"	"Plug-in Hybrids"	151
2021 Q2	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	113
2021 Q2	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	215
2021 Q2	"East Lothian"	"S12000010"	"Plug-in Hybrids"	206
2021 Q2	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	267
2021 Q2	"Falkirk"	"S12000014"	"Plug-in Hybrids"	204
2021 Q2	"Fife"	"S12000047"	"Plug-in Hybrids"	492
2021 Q2	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	588
2021 Q2	"Highland"	"S12000017"	"Plug-in Hybrids"	364
2021 Q2	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	73
2021 Q2	"Midlothian"	"S12000019"	"Plug-in Hybrids"	147
2021 Q2	"Moray"	"S12000020"	"Plug-in Hybrids"	146
2021 Q2	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	30
2021 Q2	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	129
2021 Q2	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	350
2021 Q2	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	53
2021 Q2	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	337
2021 Q2	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	4152
2021 Q2	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	219
2021 Q2	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	42
2021 Q2	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	157
2021 Q2	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	477
2021 Q2	"Stirling"	"S12000030"	"Plug-in Hybrids"	1945
2021 Q2	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	124
2021 Q2	"West Lothian"	"S12000040"	"Plug-in Hybrids"	314
2021 Q1	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	291
2021 Q1	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	487
2021 Q1	"Angus"	"S12000041"	"Plug-in Hybrids"	145
2021 Q1	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	130
2021 Q1	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	852
2021 Q1	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	50
2021 Q1	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	174
2021 Q1	"Dundee City"	"S12000042"	"Plug-in Hybrids"	125
2021 Q1	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	98
2021 Q1	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	188
2021 Q1	"East Lothian"	"S12000010"	"Plug-in Hybrids"	185
2021 Q1	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	244
2021 Q1	"Falkirk"	"S12000014"	"Plug-in Hybrids"	181
2021 Q1	"Fife"	"S12000047"	"Plug-in Hybrids"	420
2021 Q1	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	483
2021 Q1	"Highland"	"S12000017"	"Plug-in Hybrids"	292
2021 Q1	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	53
2021 Q1	"Midlothian"	"S12000019"	"Plug-in Hybrids"	133
2021 Q1	"Moray"	"S12000020"	"Plug-in Hybrids"	120
2021 Q1	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	26
2021 Q1	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	110
2021 Q1	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	304
2021 Q1	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	46
2021 Q1	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	289
2021 Q1	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	3836
2021 Q1	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	202
2021 Q1	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	38
2021 Q1	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	138
2021 Q1	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	392
2021 Q1	"Stirling"	"S12000030"	"Plug-in Hybrids"	1718
2021 Q1	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	106
2021 Q1	"West Lothian"	"S12000040"	"Plug-in Hybrids"	251
2020 Q4	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	267
2020 Q4	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	446
2020 Q4	"Angus"	"S12000041"	"Plug-in Hybrids"	125
2020 Q4	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	122
2020 Q4	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	758
2020 Q4	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	47
2020 Q4	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	156
2020 Q4	"Dundee City"	"S12000042"	"Plug-in Hybrids"	116
2020 Q4	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	88
2020 Q4	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	164
2020 Q4	"East Lothian"	"S12000010"	"Plug-in Hybrids"	161
2020 Q4	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	211
2020 Q4	"Falkirk"	"S12000014"	"Plug-in Hybrids"	166
2020 Q4	"Fife"	"S12000047"	"Plug-in Hybrids"	369
2020 Q4	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	438
2020 Q4	"Highland"	"S12000017"	"Plug-in Hybrids"	253
2020 Q4	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	49
2020 Q4	"Midlothian"	"S12000019"	"Plug-in Hybrids"	116
2020 Q4	"Moray"	"S12000020"	"Plug-in Hybrids"	106
2020 Q4	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	25
2020 Q4	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	95
2020 Q4	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	256
2020 Q4	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	42
2020 Q4	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	270
2020 Q4	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	3322
2020 Q4	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	179
2020 Q4	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	34
2020 Q4	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	131
2020 Q4	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	346
2020 Q4	"Stirling"	"S12000030"	"Plug-in Hybrids"	1455
2020 Q4	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	107
2020 Q4	"West Lothian"	"S12000040"	"Plug-in Hybrids"	220
2020 Q3	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	249
2020 Q3	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	433
2020 Q3	"Angus"	"S12000041"	"Plug-in Hybrids"	122
2020 Q3	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	110
2020 Q3	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	683
2020 Q3	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	47
2020 Q3	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	145
2020 Q3	"Dundee City"	"S12000042"	"Plug-in Hybrids"	108
2020 Q3	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	88
2020 Q3	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	154
2020 Q3	"East Lothian"	"S12000010"	"Plug-in Hybrids"	147
2020 Q3	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	179
2020 Q3	"Falkirk"	"S12000014"	"Plug-in Hybrids"	141
2020 Q3	"Fife"	"S12000047"	"Plug-in Hybrids"	353
2020 Q3	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	406
2020 Q3	"Highland"	"S12000017"	"Plug-in Hybrids"	238
2020 Q3	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	50
2020 Q3	"Midlothian"	"S12000019"	"Plug-in Hybrids"	105
2020 Q3	"Moray"	"S12000020"	"Plug-in Hybrids"	95
2020 Q3	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	24
2020 Q3	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	94
2020 Q3	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	231
2020 Q3	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	44
2020 Q3	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	249
2020 Q3	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	2872
2020 Q3	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	180
2020 Q3	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	31
2020 Q3	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	111
2020 Q3	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	330
2020 Q3	"Stirling"	"S12000030"	"Plug-in Hybrids"	1251
2020 Q3	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	96
2020 Q3	"West Lothian"	"S12000040"	"Plug-in Hybrids"	205
2020 Q2	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	230
2020 Q2	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	389
2020 Q2	"Angus"	"S12000041"	"Plug-in Hybrids"	100
2020 Q2	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	94
2020 Q2	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	602
2020 Q2	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	45
2020 Q2	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	125
2020 Q2	"Dundee City"	"S12000042"	"Plug-in Hybrids"	85
2020 Q2	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	82
2020 Q2	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	134
2020 Q2	"East Lothian"	"S12000010"	"Plug-in Hybrids"	125
2020 Q2	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	154
2020 Q2	"Falkirk"	"S12000014"	"Plug-in Hybrids"	119
2020 Q2	"Fife"	"S12000047"	"Plug-in Hybrids"	306
2020 Q2	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	348
2020 Q2	"Highland"	"S12000017"	"Plug-in Hybrids"	216
2020 Q2	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	39
2020 Q2	"Midlothian"	"S12000019"	"Plug-in Hybrids"	94
2020 Q2	"Moray"	"S12000020"	"Plug-in Hybrids"	71
2020 Q2	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	15
2020 Q2	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	89
2020 Q2	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	191
2020 Q2	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	39
2020 Q2	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	223
2020 Q2	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	2574
2020 Q2	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	145
2020 Q2	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	29
2020 Q2	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	93
2020 Q2	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	286
2020 Q2	"Stirling"	"S12000030"	"Plug-in Hybrids"	1098
2020 Q2	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	83
2020 Q2	"West Lothian"	"S12000040"	"Plug-in Hybrids"	184
2020 Q1	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	233
2020 Q1	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	380
2020 Q1	"Angus"	"S12000041"	"Plug-in Hybrids"	99
2020 Q1	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	90
2020 Q1	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	597
2020 Q1	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	45
2020 Q1	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	122
2020 Q1	"Dundee City"	"S12000042"	"Plug-in Hybrids"	85
2020 Q1	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	81
2020 Q1	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	133
2020 Q1	"East Lothian"	"S12000010"	"Plug-in Hybrids"	123
2020 Q1	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	155
2020 Q1	"Falkirk"	"S12000014"	"Plug-in Hybrids"	114
2020 Q1	"Fife"	"S12000047"	"Plug-in Hybrids"	306
2020 Q1	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	349
2020 Q1	"Highland"	"S12000017"	"Plug-in Hybrids"	206
2020 Q1	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	38
2020 Q1	"Midlothian"	"S12000019"	"Plug-in Hybrids"	90
2020 Q1	"Moray"	"S12000020"	"Plug-in Hybrids"	71
2020 Q1	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	15
2020 Q1	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	89
2020 Q1	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	183
2020 Q1	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	39
2020 Q1	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	222
2020 Q1	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	2610
2020 Q1	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	143
2020 Q1	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	29
2020 Q1	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	92
2020 Q1	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	280
2020 Q1	"Stirling"	"S12000030"	"Plug-in Hybrids"	1116
2020 Q1	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	79
2020 Q1	"West Lothian"	"S12000040"	"Plug-in Hybrids"	184
2019 Q4	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	218
2019 Q4	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	351
2019 Q4	"Angus"	"S12000041"	"Plug-in Hybrids"	92
2019 Q4	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	89
2019 Q4	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	525
2019 Q4	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	41
2019 Q4	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	119
2019 Q4	"Dundee City"	"S12000042"	"Plug-in Hybrids"	82
2019 Q4	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	74
2019 Q4	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	125
2019 Q4	"East Lothian"	"S12000010"	"Plug-in Hybrids"	112
2019 Q4	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	141
2019 Q4	"Falkirk"	"S12000014"	"Plug-in Hybrids"	104
2019 Q4	"Fife"	"S12000047"	"Plug-in Hybrids"	278
2019 Q4	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	322
2019 Q4	"Highland"	"S12000017"	"Plug-in Hybrids"	187
2019 Q4	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	34
2019 Q4	"Midlothian"	"S12000019"	"Plug-in Hybrids"	86
2019 Q4	"Moray"	"S12000020"	"Plug-in Hybrids"	70
2019 Q4	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	13
2019 Q4	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	78
2019 Q4	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	178
2019 Q4	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	38
2019 Q4	"Perth and Kinross"	"S12000048"	"Plug-in Hybrids"	209
2019 Q4	"Renfrewshire"	"S12000038"	"Plug-in Hybrids"	2520
2019 Q4	"Scottish Borders"	"S12000026"	"Plug-in Hybrids"	134
2019 Q4	"Shetland Islands"	"S12000027"	"Plug-in Hybrids"	29
2019 Q4	"South Ayrshire"	"S12000028"	"Plug-in Hybrids"	78
2019 Q4	"South Lanarkshire"	"S12000029"	"Plug-in Hybrids"	251
2019 Q4	"Stirling"	"S12000030"	"Plug-in Hybrids"	1041
2019 Q4	"West Dunbartonshire"	"S12000039"	"Plug-in Hybrids"	66
2019 Q4	"West Lothian"	"S12000040"	"Plug-in Hybrids"	165
2019 Q3	"Aberdeen City"	"S12000033"	"Plug-in Hybrids"	204
2019 Q3	"Aberdeenshire"	"S12000034"	"Plug-in Hybrids"	317
2019 Q3	"Angus"	"S12000041"	"Plug-in Hybrids"	90
2019 Q3	"Argyll and Bute"	"S12000035"	"Plug-in Hybrids"	85
2019 Q3	"City of Edinburgh"	"S12000036"	"Plug-in Hybrids"	478
2019 Q3	"Clackmannanshire"	"S12000005"	"Plug-in Hybrids"	34
2019 Q3	"Dumfries and Galloway"	"S12000006"	"Plug-in Hybrids"	116
2019 Q3	"Dundee City"	"S12000042"	"Plug-in Hybrids"	72
2019 Q3	"East Ayrshire"	"S12000008"	"Plug-in Hybrids"	72
2019 Q3	"East Dunbartonshire"	"S12000045"	"Plug-in Hybrids"	110
2019 Q3	"East Lothian"	"S12000010"	"Plug-in Hybrids"	103
2019 Q3	"East Renfrewshire"	"S12000011"	"Plug-in Hybrids"	144
2019 Q3	"Falkirk"	"S12000014"	"Plug-in Hybrids"	98
2019 Q3	"Fife"	"S12000047"	"Plug-in Hybrids"	256
2019 Q3	"Glasgow City"	"S12000049"	"Plug-in Hybrids"	309
2019 Q3	"Highland"	"S12000017"	"Plug-in Hybrids"	172
2019 Q3	"Inverclyde"	"S12000018"	"Plug-in Hybrids"	33
2019 Q3	"Midlothian"	"S12000019"	"Plug-in Hybrids"	83
2019 Q3	"Moray"	"S12000020"	"Plug-in Hybrids"	66
2019 Q3	"Na h-Eileanan Siar"	"S12000013"	"Plug-in Hybrids"	13
2019 Q3	"North Ayrshire"	"S12000021"	"Plug-in Hybrids"	74
2019 Q3	"North Lanarkshire"	"S12000050"	"Plug-in Hybrids"	178
2019 Q3	"Orkney Islands"	"S12000023"	"Plug-in Hybrids"	36
