Year,Domestic,Non-domestic,Total
2005,35329.22149,25613.53925,60942.76074
2006,34342.37171,24468.20717,58810.57888
2007,34469.14623,25120.63009,59589.77632
2008,33341.54691,24083.25281,57424.79972
2009,30730.20096,20377.94324,51108.1442
2010,30329.84783,22859.95453,53189.80236
2011,28958.50564,22178.95454,51137.46018
2012,28801.62425,21729.26357,50530.88782
