"LACode"	"Local Authority Name"	"Photovoltaics"	"Onshore Wind"	"Hydro"	"Anaerobic Digestion"	"Offshore Wind"	"Wave/Tidal"	"Sewage Gas"	"Landfill Gas"	"Municipal Solid Waste"	"Animal Biomass"	"Plant Biomass"	"Cofiring"	"Total"	"Year"
"S12000034"	"Aberdeenshire"	5107	571	16	5	0	0	0	2	0	0	4	0	5705	2016
"S12000041"	"Angus"	1888	88	15	2	0	0	1	3	0	0	1	0	1998	2016
"S12000035"	"Argyll & Bute"	1415	116	106	0	0	1	0	0	0	0	0	0	1638	2016
"S12000005"	"Clackmannanshire"	597	3	1	0	0	0	0	0	0	0	0	0	601	2016
"S12000006"	"Dumfries & Galloway"	2794	289	83	13	2	0	0	1	1	0	10	0	3193	2016
"S12000042"	"Dundee City"	622	4	1	0	0	0	0	0	1	0	0	0	628	2016
"S12000008"	"East Ayrshire"	1183	67	5	0	0	0	1	2	0	0	0	0	1258	2016
"S12000045"	"East Dunbartonshire"	694	1	0	1	0	0	0	0	0	0	0	0	696	2016
"S12000010"	"East Lothian"	1393	45	1	0	0	0	0	1	0	0	0	0	1440	2016
"S12000011"	"East Renfrewshire"	458	24	0	0	0	0	0	0	0	0	0	0	482	2016
"S12000036"	"Edinburgh City of"	1808	4	3	1	0	0	3	1	0	0	0	0	1820	2016
"S12000013"	"Eilean Siar"	282	181	7	1	0	0	0	0	0	0	0	0	471	2016
"S12000014"	"Falkirk"	1097	19	4	0	0	0	0	2	0	0	0	0	1122	2016
"S12000015"	"Fife"	4120	119	2	3	1	0	0	4	0	1	3	0	4253	2016
"S12000046"	"Glasgow City"	2580	4	0	0	0	0	0	4	0	0	0	0	2588	2016
"S12000017"	"Highland"	4197	257	257	2	0	1	1	0	0	0	6	0	4721	2016
"S12000018"	"Inverclyde"	354	16	2	0	0	0	0	0	0	0	0	0	372	2016
"S12000019"	"Midlothian"	822	14	2	1	0	0	0	3	0	0	0	0	842	2016
"S12000020"	"Moray"	1687	69	4	5	0	0	0	1	0	0	2	0	1768	2016
"S12000021"	"North Ayrshire"	1227	34	11	2	0	0	0	2	0	0	1	0	1277	2016
"S12000044"	"North Lanarkshire"	2236	31	0	2	0	0	0	9	0	0	0	0	2278	2016
"S12000023"	"Orkney Islands"	367	775	1	0	0	9	0	0	0	0	0	0	1152	2016
"S12000024"	"Perth & Kinross"	2482	86	86	2	0	0	0	1	0	0	0	0	2657	2016
"S12000038"	"Renfrewshire"	1165	3	0	0	0	0	0	0	0	0	1	0	1169	2016
"S12000026"	"Scottish Borders"	3192	118	11	3	0	0	1	1	0	0	1	0	3327	2016
"S12000027"	"Shetland Islands"	50	214	2	0	0	0	0	0	0	0	0	0	266	2016
"S12000028"	"South Ayrshire"	1142	51	6	3	0	0	0	1	0	0	3	0	1206	2016
"S12000029"	"South Lanarkshire"	2866	178	12	0	0	0	0	2	0	0	1	0	3059	2016
"S12000030"	"Stirling"	2650	26	44	2	0	0	0	1	0	0	1	0	2724	2016
"S12000039"	"West Dunbartonshire"	817	0	1	0	0	0	0	2	0	0	0	0	820	2016
"S12000040"	"West Lothian"	1742	32	0	0	0	0	0	1	0	0	0	0	1775	2016
"S12000033"	"Aberdeen City"	1209	8	2	0	0	0	1	2	0	0	0	0	1222	2017
"S12000034"	"Aberdeenshire"	5260	577	17	5	2	0	0	3	0	0	6	0	5870	2017
"S12000041"	"Angus"	1974	88	15	4	0	0	1	3	0	0	6	0	2091	2017
"S12000035"	"Argyll & Bute"	1436	117	116	0	0	1	0	1	0	0	0	0	1671	2017
"S12000005"	"Clackmannanshire"	612	3	1	0	0	0	0	0	0	0	0	0	616	2017
"S12000006"	"Dumfries & Galloway"	2883	295	85	14	2	0	0	1	1	0	15	0	3296	2017
"S12000042"	"Dundee City"	641	4	1	0	0	0	0	0	1	0	0	0	647	2017
"S12000008"	"East Ayrshire"	1213	67	6	0	0	0	1	2	0	0	0	0	1289	2017
"S12000045"	"East Dunbartonshire"	700	1	0	1	0	0	0	0	0	0	0	0	702	2017
"S12000010"	"East Lothian"	1419	46	2	0	0	0	0	1	0	0	0	0	1468	2017
"S12000011"	"East Renfrewshire"	466	25	0	0	0	0	0	0	0	0	0	0	491	2017
"S12000036"	"Edinburgh City of"	1869	4	3	1	0	0	3	1	0	0	0	0	1881	2017
"S12000013"	"Eilean Siar"	285	181	7	1	0	0	0	0	0	0	0	0	474	2017
"S12000014"	"Falkirk"	1148	20	4	0	0	0	0	2	0	0	0	0	1174	2017
"S12000015"	"Fife"	4249	120	2	4	1	0	0	4	0	1	4	0	4385	2017
"S12000046"	"Glasgow City"	2665	4	0	1	0	0	0	4	0	0	0	0	2674	2017
"S12000017"	"Highland"	4305	262	291	3	0	1	1	2	0	0	9	0	4874	2017
"S12000018"	"Inverclyde"	360	17	2	0	0	0	0	0	0	0	0	0	379	2017
"S12000019"	"Midlothian"	855	16	2	1	0	0	0	3	0	0	0	0	877	2017
"S12000020"	"Moray"	1736	69	4	6	0	0	0	1	0	0	2	0	1818	2017
"S12000021"	"North Ayrshire"	1255	34	13	2	0	0	0	2	0	0	1	0	1307	2017
"S12000044"	"North Lanarkshire"	2270	31	1	2	0	0	0	8	0	0	0	0	2312	2017
"S12000023"	"Orkney Islands"	373	781	1	0	0	12	0	0	0	0	0	0	1167	2017
"S12000024"	"Perth & Kinross"	2720	88	89	2	0	0	0	1	0	0	2	0	2902	2017
"S12000038"	"Renfrewshire"	1182	3	0	0	0	0	0	0	0	0	1	0	1186	2017
"S12000026"	"Scottish Borders"	3256	121	11	4	0	0	1	1	0	0	4	0	3398	2017
"S12000027"	"Shetland Islands"	54	218	2	0	0	1	0	0	0	0	0	0	275	2017
"S12000028"	"South Ayrshire"	1153	52	6	3	0	0	0	1	0	0	5	0	1220	2017
"S12000029"	"South Lanarkshire"	2918	183	12	0	0	0	0	2	0	0	2	0	3117	2017
"S12000030"	"Stirling"	3057	28	48	2	0	0	0	1	0	0	2	0	3138	2017
"S12000039"	"West Dunbartonshire"	828	0	2	0	0	0	0	2	0	0	0	0	832	2017
"S12000040"	"West Lothian"	1779	33	0	0	0	0	0	1	0	0	0	0	1813	2017
"S12000033"	"Aberdeen City"	1276	8	2	0	0	0	1	2	0	0	0	0	1289	2018
"S12000034"	"Aberdeenshire"	5669	572	15	5	2	0	0	3	0	0	8	0	6274	2018
"S12000041"	"Angus"	2102	89	17	4	0	0	1	3	0	0	7	0	2223	2018
"S12000035"	"Argyll & Bute"	1476	112	121	0	0	1	0	1	0	0	0	0	1711	2018
"S12000005"	"Clackmannanshire"	620	3	1	0	0	0	0	0	0	0	0	0	624	2018
"S12000006"	"Dumfries & Galloway"	2968	297	83	14	2	0	0	1	1	0	17	0	3383	2018
"S12000042"	"Dundee City"	684	3	1	0	0	0	0	0	1	0	1	0	690	2018
"S12000008"	"East Ayrshire"	1280	66	6	0	0	0	1	2	0	0	0	0	1355	2018
"S12000045"	"East Dunbartonshire"	721	1	0	1	0	0	0	0	0	0	0	0	723	2018
"S12000010"	"East Lothian"	1550	46	2	0	0	0	0	1	0	0	1	0	1600	2018
"S12000011"	"East Renfrewshire"	468	25	0	0	0	0	0	0	0	0	0	0	493	2018
"S12000036"	"Edinburgh City of"	1937	4	3	1	0	0	3	1	0	0	0	0	1949	2018
"S12000013"	"Eilean Siar"	292	183	7	1	0	0	0	0	0	0	0	0	483	2018
"S12000014"	"Falkirk"	1200	20	5	0	0	0	0	2	0	0	0	0	1227	2018
"S12000015"	"Fife"	4477	121	2	4	1	0	0	4	0	1	4	0	4614	2018
"S12000046"	"Glasgow City"	2728	4	0	1	0	0	0	4	0	0	0	0	2737	2018
"S12000017"	"Highland"	4472	250	296	3	0	1	1	2	0	0	9	0	5034	2018
"S12000018"	"Inverclyde"	383	17	2	0	0	0	0	0	0	0	0	0	402	2018
"S12000019"	"Midlothian"	949	15	2	1	0	0	0	3	0	0	0	0	970	2018
"S12000020"	"Moray"	1807	68	4	6	1	0	0	1	0	0	2	0	1889	2018
"S12000021"	"North Ayrshire"	1329	35	13	2	0	0	0	2	0	0	1	0	1382	2018
