Sector,Petroleum products,Gas,Other fuel,Year
Overall,63571.89621091305,47359.04500612868,34188.10097433503,2019
Domestic,3219.823505523685,28895.84688415912,12055.172276953212,2019
Non-domestic,24066.006646703274,18463.19812196597,20438.557682799146,2019
Heat,25087.736581243378,45667.819173175274,7970.68873690052,2019
