LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000014,2015,Falkirk,1.9109466876,0.0674202381,10.392899502,0.3729505376,0.1203147923,0,12.864531757,665.40439449,5.7930799621,671.19747445,12356.859648,2.5653157551,23.516491846,1344.5829093,46.74511249,0.9985985526,22.909860998,13798.177937,382.30378639741014,327.4663113025898,893.0245346,1602.794632,363.477889,292.3053761,655.7832651,0.05082891954905987,0.06165952245094013,32.272790464,32.385278906,16773.20312,14124.196975,1257.3051725,1391.7009723
S12000013,2015,Na h-Eileanan Siar,19.18031765,0.2488367012,23.64782468,0,0.503731667,0,43.580710698,0,10.838383325,10.838383325,100.81295022,2.2074979525,129.87449506,168.34912425,5.3514168375,1.0305775869,35.255864867,442.88192677,0,0,0,0,63.09108997,91.11738372,154.2084737,1.146666542638664,1.3909977244613358,17.070843269,19.608507536,671.11800203,224.86853088,272.54893006,173.70054109
S12000011,2015,East Renfrewshire,0.503648687,0.0033611049,1.7391375,0,0,0,2.2461472919,0.0765362275,1.5273563049,1.6038925324,14.056640926,0.2887363585,9.4501939381,611.96631097,15.975034291,0.1388422778,15.085409653,666.96116842,55.52426097392267,47.55988712607732,634.2907252,737.3748733,71.5800611,165.4564443,237.0365054,0.029536437148840987,0.03583004765115901,18.821711252,18.887077737,1664.1096647,204.88275092,831.28556849,627.94134526
S12000010,2015,East Lothian,477.95985345,0.1880614147,12.957614567,0,0.1869572044,0,491.29248664,1.1600733687,6.7298151952,7.8898885639,80.143088683,2.4301166679,50.72594869,693.829757,2.1981651334,0.6348191073,37.693291095,867.65518637,108.19267556788019,92.67356913211982,523.3072302,724.1734748,257.9426432,195.3984106,453.3410538,71.52464943546744,86.76508898453255,28.381476165,186.67121454,2731.0233047,1217.4948873,817.50049542,696.02792213
S12000008,2015,East Ayrshire,7.5601654221,0.1555483309,7.3557333984,0,0.3190543846,0,15.390501536,0.1159293286,4.2742516803,4.390181009,98.376786658,1.2574497188,38.418805012,837.26352787,25.145118307,0.8652393662,95.204302342,1096.5312293,162.76573402096818,139.4186937790318,727.047424,1029.231852,240.5338296,202.2006632,442.7344928,98.06170454955132,118.95664765044869,27.029726022,244.04807819,2832.3263348,963.59108515,1006.3266033,862.40864618
S12000006,2015,Dumfries and Galloway,46.69184024,0.7276175639,36.466563823,0,0.9487528378,0,84.834774465,0.8035853752,18.342938844,19.146524219,215.86989994,6.7354214019,260.63877549,1990.4732498,48.849189528,1.5623111421,492.40935134,3016.5381986,284.21138038386965,243.4442338161303,589.8016669,1117.457281,527.154563,351.2651178,878.4196808,2.7795771545660144,3.3718481818339856,65.519209172,71.670634509,5188.0670936,1826.7103824,1322.034272,2039.3224393
S12000005,2015,Clackmannanshire,0.1104865003,0.0187402331,2.9364017828,0,0.0914324084,0,3.1570609245,0,1.7802852658,1.7802852658,19.714731664,0.3945834308,9.2864463525,225.98018423,49.364954383,0.052608305,9.8214486589,314.61495702,401.4808185803599,343.89259901964016,295.7301422,1041.10356,119.2382043,90.54494624,209.7831505,1.5765361947734142e-4,1.912463805226586e-4,12.570474685,12.570823678,1583.0098374,894.816002,412.84869653,275.34513861
K03000001,2015,GREAT BRITAIN (inc Unallocated),13804.551802,84.931292021,4370.7806187,108.84627829,209.50182168,0,18578.611813,29007.77325,2762.9516267,31770.724877,107723.64167,1243.3907712,21961.358438,423295.69928,7658.2177137,565.49765731,14058.217163,576506.0227,98101.11363726368,84029.53609273632,308851.34554,490981.99526,179007.49604,108443.12338,287450.61938,8051.269458784118,9766.830268215883,20759.770377,38577.870104,1443865.8441,545653.75092,467149.32998,431062.76327
K02000001,2015,UNITED KINGDOM (inc Unallocated),16366.88751,93.173331158,4859.1133097,108.90537974,232.53433283,0,21660.613863,29059.182072,3036.575191,32095.757263,113646.2147,1344.1958873,29456.07878,436933.40258,7803.7337053,640.31505806,15849.645167,605673.58587,100054.62160366247,85702.83379633754,311148.88221,496906.3376,183738.29644,111373.20599,295111.5024,8182.172286039871,9925.625809960127,22310.412814,40418.210911,1491866.0079,564835.69799,482184.26829,444846.04166
S92000003,2016,SCOTLAND,1161.7590083,10.280895205,535.71263953,4.2617319737,14.930011604,0,1726.9442866,755.86859919,284.55976212,1040.4283613,22426.2961,105.07529201,3169.9649422,37269.456714,655.91308543,134.00596697,3008.5258651,66769.237965,10230.264983438188,8771.894086561811,27458.97393,46461.13299,13921.90587,10148.81426,24070.72013,1892.940605709331,1615.0821049906692,1454.0566098,4962.0793193,145030.54305,64048.829389,43052.082144,37929.631531
S92000003,2016,Scotland,1161.7590083,10.280895205,535.71263953,4.2617319737,14.930011604,0,1726.9442866,755.86859919,284.55976212,1040.4283613,22426.2961,105.07529201,3169.9649422,37269.456714,655.91308543,134.00596697,3008.5258651,66769.237965,10230.264983438188,8771.894086561811,27458.97393,46461.13299,13921.90587,10148.81426,24070.72013,1892.940605709331,1615.0821049906692,1454.0566098,4962.0793193,145030.54305,64048.829389,43052.082144,37929.631531
S12000050,2016,North Lanarkshire,3.3098980233,0.0430808811,10.346538251,0,0.0147604006,0,13.714277556,27.194526029,6.8552898813,34.04981591,211.92594271,2.0197314165,32.629109334,2770.2465081,31.312169292,1.5132937159,27.831575549,3077.4783301,464.7600787644941,398.50641143550587,1940.688632,2803.955123,767.9392667,546.7900303,1314.729297,0.2037989118466413,0.17388394255335868,65.885185734,66.262868588,7310.1897122,1905.4362485,2603.1947855,2801.5586774
S12000049,2016,Glasgow City,0,5.51262e-4,5.8233989534,0,0,0,5.8239502154,0.7746548779,4.9014079319,5.6760628098,246.62221924,3.8613916115,13.757904570000001,3101.3976279,21.137607771,3.2820961245,4.1030129094,3394.1618601,1164.6985318613836,998.6654481386164,2814.35605,4977.720029,1678.587234,985.4578607,2664.045095,0,0,66.086049813,66.086049813,11113.513047,4100.59514,3890.382672,3122.5352356
