LA Code,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial & Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & wastes - Industrial & Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport,Year
S12000033,Aberdeen City,7.0764821887,0.63948705210000001,5.3598061031000004,0,11.7886352,0,24.864410543999998,31.709143305000001,3.5013126926,35.210455996999997,331.37696782,1.2980897653000001,22.673169354999999,1040.3129348,6.8667705521000002,17.108704361000001,10.851352799000001,1430.4879894999999,988.88741393999999,1348.9673925,2337.8548065,815.66289844999994,444.89522110000001,1260.5581199999999,10.505605448000001,37.546429478,48.052034925999997,5137.0278173999995,2226.9047802999999,1862.9433313,1047.1797054000001,2013
S12000034,Aberdeenshire,105.54047740999999,0.95565093970000003,57.755664021000001,0,10.769741949,0,175.02153432,32.446136985999999,30.785036414,63.231173400000003,330.75214060000002,7.8897819632999999,638.85113018000004,2040.3683943999999,21.121549578,0.68878029539999996,336.49741979999999,3376.1691968,366.68393483,1029.0616732999999,1395.7456082000001,665.09742434999998,596.24919338999996,1261.3466177,12.353131885,103.66739489,116.02052677,6387.5346571999999,1869.6746209999999,2456.3700921999998,2061.4899439999999,2013
S12000041,Angus,41.04545976,0.24928303730000001,15.251557007000001,1.8627142999999999E-2,1.6612467032,0,58.226173651000003,0,8.3620789498000008,8.3620789498000008,117.53861569999999,1.9296337716,138.09380253,861.69260082000005,12.45853033,8.3616280799999998E-2,79.330922461,1211.1277219000001,375.44984850999998,558.97736787999997,934.42721637,280.28164733,263.70528112,543.98692844000004,4.5163271996000001,37.458021172000002,41.974348372000001,2798.1044677,902.08660075,1021.8481087,874.16975830000001,2013
S12000035,Argyll and Bute,22.594978736000002,0.98249766660000004,38.323161753000001,0,6.9141301682999998,0,68.814768323999999,0.35675307610000001,19.869736013000001,20.226489090000001,175.50448047,3.6662201497,151.26885605000001,647.97751821999998,5.8299385489000004,51.311897432999999,110.76893612000001,1146.327847,145.53973343999999,325.42510677000001,470.96484019000002,237.76496379,280.14827886,517.91324265000003,2.6970171896999999,44.634565821999999,47.331583012000003,2271.5787703000001,758.10160824000002,859.66970527000001,653.80745677000004,2013
S12000036,City of Edinburgh,1.0280736479000001,0.55536197040000002,9.0517646755999994,0,1.1221673956,0,11.757367690000001,0.57558792439999995,6.0514102903999998,6.6269982148000004,189.3198155,2.8537441978000002,20.710918701000001,2641.6362671000002,34.930795922999998,2.0814116099,9.8284955201000006,2901.3614486000001,1930.6252354000001,2758.0970010999999,4688.7222364999998,1591.0707404,892.11639189000005,2483.187132,0.1189158545,69.403061768000001,69.521977621999994,10161.177161,3729.1795493999998,3755.4305485,2676.567063,2013
S12000005,Clackmannanshire,3.6011713999999999E-3,1.9780501700000001E-2,3.4138831092999999,0,0.68660742760000004,0,4.1238722099,0,1.9485941024,1.9485941024,16.948429621999999,0.30434595850000001,10.36838438,221.76888493999999,48.330485166000003,2.1392663900000001E-2,9.3436887125000005,307.08561143999998,810.83779513000002,308.85525115000002,1119.6930463000001,130.34540425,90.437875534,220.78327978999999,4.3030999999999999E-4,11.714424159,11.714854318,1665.3492581,968.51147575000005,426.73841242999998,270.09937009999999,2013
S12000006,Dumfries and Galloway,59.715252589999999,0.76928812140000002,42.407694558000003,0,7.0889340807999996,0,109.98116935,1.1631333263000001,22.256672828999999,23.419806155,172.14629819999999,3.9427564987000001,296.56165078999999,1895.8600736000001,49.301900001,0.5896683305,468.51114496999998,2886.9134924,568.14914044,610.91258210000001,1179.0617225999999,537.92861574999995,344.46162801999998,882.39024375999998,7.1232441391999997,61.057344716000003,68.180588866999997,5149.9470230999996,1827.1274764,1377.657573,1945.1619736,2013
S12000042,Dundee City,3.40095043E-2,3.3378100000000001E-4,3.5510880692,0,4.1114259999999996E-3,0,3.5895427805,0.39721138049999999,2.4696735194000001,2.8668848999000001,153.53438273,0.4114826117,5.7990883108000002,705.47822893,4.4208622748000002,0.1040579829,1.0296957886,870.77779862,626.88440187000003,755.64326974999994,1382.5276716000001,413.91107891000001,313.84400763000002,727.75508654999999,1.1467179999999999E-3,31.372499184999999,31.373646274999999,3018.8906307000002,1196.3119127,1112.6796265,709.89909120000004,2013
S12000008,East Ayrshire,9.6637356826000005,0.16636695230000001,8.5523924093999995,0,2.2949290593999998,0,20.677424104,0.17837654389999999,4.7856353989000002,4.9640119427,79.567150882000007,0.94094964280000004,42.104608581999997,820.13873992000003,25.349701055000001,0.40728234410000003,90.577688351999996,1059.0861207999999,346.17491225999999,758.04283211999996,1104.2177443999999,242.37270036999999,201.38140892999999,443.75410930999999,166.86610805000001,25.188999076000002,192.05510706999999,2824.7545175999999,939.21020013999998,1040.0558765000001,845.48844097000006,2013
S12000045,East Dunbartonshire,4.8780569599999997E-2,1.3504848999999999E-2,2.8453972886000001,0,6.5782745700000006E-2,0,2.9734654530000002,0.1094174242,1.9024642191000001,2.0118816433000002,31.117623257000002,0.45978336240000001,9.2886934314000005,449.71543270000001,52.293902568999997,3.5581194199999999E-2,8.4708426401000008,551.38185914999997,146.23658424000001,765.60625111000002,911.84283535999998,158.42229552000001,187.85738042,346.27967594,4.8550364999999998E-3,21.826197916000002,21.831052952,1836.3207705,344.98505083999999,989.32638439000004,502.00933527000001,2013
