Sector,Petroleum products,Gas,Other fuel,Year
Overall,601644.3278776231,512573.2379867779,404742.3814756315,2019
Domestic,29670.589035452074,328189.4513242115,140721.66726757944,2019
Non-domestic,129935.72948162458,184383.7866725671,243494.59558956334,2019
Heat,147827.4045667359,495683.71424591995,98240.26109209767,2019
