"","Year","Renewable","Gross Electricity Consumption"
"1","2015",21742.8342242493,36492.5563933093
"2","2016",19475.591496644,36042.1923726296
"3","2017",25301.3826978173,36146.5504651203
"4","2018",26596.98,35820.0603442093
"5","2019",30174.84,34527.1164659713
"6","2020",32063.23,33418.9136843859
