GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2007,Count,GWh,Manufactured Fuels,Industrial,1.683
S12000005,2007,Count,GWh,Manufactured Fuels,All,4.166
S12000005,2007,Count,GWh,Petroleum Products,Agriculture,9.045
S12000005,2007,Count,GWh,Petroleum Products,Commercial,0.406
S12000005,2007,Count,GWh,Petroleum Products,Domestic,10.994
S12000005,2007,Count,GWh,Petroleum Products,Industrial,51.035
S12000005,2007,Count,GWh,Petroleum Products,Public Sector,0.121
S12000005,2007,Count,GWh,Petroleum Products,Rail,48.057
S12000005,2007,Count,GWh,Petroleum Products,Road Transport,234.913
S12000005,2007,Count,GWh,Petroleum Products,All,354.571
S12000005,2008,Count,GWh,All,All,1928.337
S12000005,2008,Count,GWh,Bioenergy & Wastes,Domestic,6.412
S12000005,2008,Count,GWh,Bioenergy & Wastes,Road Transport,4.972
S12000005,2008,Count,GWh,Bioenergy & Wastes,All,11.384
S12000005,2008,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2008,Count,GWh,Bioenergy & Wastes,Industrial,0
S12000005,2008,Count,GWh,Coal,Agriculture,0.007
S12000005,2008,Count,GWh,Coal,Commercial,0.026
S12000005,2008,Count,GWh,Coal,Domestic,3.617
S12000005,2008,Count,GWh,Coal,Industrial,0.001
S12000005,2008,Count,GWh,Coal,Public Sector,0.255
S12000005,2008,Count,GWh,Coal,Rail,0
S12000005,2008,Count,GWh,Coal,All,3.906
S12000005,2008,Count,GWh,All,Domestic,491.902
S12000005,2008,Count,GWh,All,Industrial & Commercial,1147.971
S12000005,2008,Count,GWh,All,Transport,288.465
S12000005,2008,Count,GWh,Electricity,Domestic,99.157
S12000005,2008,Count,GWh,Electricity,Industrial & Commercial,246.102
S12000005,2008,Count,GWh,Electricity,All,345.26
S12000005,2008,Count,GWh,Gas,Commercial,407.526
S12000005,2008,Count,GWh,Gas,Domestic,368.148
S12000005,2008,Count,GWh,Gas,Industrial,431.916
S12000005,2008,Count,GWh,Gas,All,1207.578
S12000005,2008,Count,GWh,Manufactured Fuels,Domestic,2.878
S12000005,2008,Count,GWh,Manufactured Fuels,Industrial,4.272
S12000005,2008,Count,GWh,Manufactured Fuels,All,7.15
S12000005,2008,Count,GWh,Petroleum Products,Agriculture,8.839
S12000005,2008,Count,GWh,Petroleum Products,Commercial,0.378
S12000005,2008,Count,GWh,Petroleum Products,Domestic,11.69
S12000005,2008,Count,GWh,Petroleum Products,Industrial,48.582
S12000005,2008,Count,GWh,Petroleum Products,Public Sector,0.078
S12000005,2008,Count,GWh,Petroleum Products,Rail,48.866
S12000005,2008,Count,GWh,Petroleum Products,Road Transport,234.626
S12000005,2008,Count,GWh,Petroleum Products,All,353.059
S12000005,2009,Count,GWh,All,All,1547.907
S12000005,2009,Count,GWh,Bioenergy & Wastes,Domestic,6.985
S12000005,2009,Count,GWh,Bioenergy & Wastes,Road Transport,6.175
S12000005,2009,Count,GWh,Bioenergy & Wastes,All,13.16
S12000005,2009,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2009,Count,GWh,Bioenergy & Wastes,Industrial,0
S12000005,2009,Count,GWh,Coal,Agriculture,0
S12000005,2009,Count,GWh,Coal,Commercial,0.09
S12000005,2009,Count,GWh,Coal,Domestic,3.619
S12000005,2009,Count,GWh,Coal,Industrial,0.238
S12000005,2009,Count,GWh,Coal,Public Sector,0.265
S12000005,2009,Count,GWh,Coal,Rail,0
S12000005,2009,Count,GWh,Coal,All,4.211
S12000005,2009,Count,GWh,All,Domestic,465.726
S12000005,2009,Count,GWh,All,Industrial & Commercial,794.542
S12000005,2009,Count,GWh,All,Transport,287.639
S12000005,2009,Count,GWh,Electricity,Domestic,96.913
S12000005,2009,Count,GWh,Electricity,Industrial & Commercial,228.624
S12000005,2009,Count,GWh,Electricity,All,325.526
S12000005,2009,Count,GWh,Gas,Commercial,252.865
S12000005,2009,Count,GWh,Gas,Domestic,344.762
S12000005,2009,Count,GWh,Gas,Industrial,267.999
S12000005,2009,Count,GWh,Gas,All,865.626
S12000005,2009,Count,GWh,Manufactured Fuels,Domestic,2.05
S12000005,2009,Count,GWh,Manufactured Fuels,Industrial,3.43
S12000005,2009,Count,GWh,Manufactured Fuels,All,5.48
S12000005,2009,Count,GWh,Petroleum Products,Agriculture,8.969
S12000005,2009,Count,GWh,Petroleum Products,Commercial,0.262
S12000005,2009,Count,GWh,Petroleum Products,Domestic,11.397
S12000005,2009,Count,GWh,Petroleum Products,Industrial,31.775
S12000005,2009,Count,GWh,Petroleum Products,Public Sector,0.038
S12000005,2009,Count,GWh,Petroleum Products,Rail,49.158
S12000005,2009,Count,GWh,Petroleum Products,Road Transport,232.305
S12000005,2009,Count,GWh,Petroleum Products,All,333.904
S12000005,2010,Count,GWh,All,All,1870.087
S12000005,2010,Count,GWh,Bioenergy & Wastes,Domestic,9.006
S12000005,2010,Count,GWh,Bioenergy & Wastes,Road Transport,7.225
S12000005,2010,Count,GWh,Bioenergy & Wastes,All,16.232
S12000005,2010,Count,GWh,Bioenergy & Wastes,Commercial,0
S12000005,2010,Count,GWh,Bioenergy & Wastes,Industrial,0
S12000005,2010,Count,GWh,Coal,Agriculture,0.002
S12000005,2010,Count,GWh,Coal,Commercial,0.017
S12000005,2010,Count,GWh,Coal,Domestic,3.778
S12000005,2010,Count,GWh,Coal,Industrial,0.206
S12000005,2010,Count,GWh,Coal,Public Sector,0.271
S12000005,2010,Count,GWh,Coal,Rail,0
S12000005,2010,Count,GWh,Coal,All,4.274
S12000005,2010,Count,GWh,All,Domestic,463.054
S12000005,2010,Count,GWh,All,Industrial & Commercial,1121.272
S12000005,2010,Count,GWh,All,Transport,285.762
S12000005,2010,Count,GWh,Electricity,Domestic,96.11
S12000005,2010,Count,GWh,Electricity,Industrial & Commercial,236.9
S12000005,2010,Count,GWh,Electricity,All,333.01
S12000005,2010,Count,GWh,Gas,Commercial,405.155
S12000005,2010,Count,GWh,Gas,Domestic,339.081
S12000005,2010,Count,GWh,Gas,Industrial,429.404
S12000005,2010,Count,GWh,Gas,All,1173.64
S12000005,2010,Count,GWh,Manufactured Fuels,Domestic,2.263
S12000005,2010,Count,GWh,Manufactured Fuels,Industrial,3.168
S12000005,2010,Count,GWh,Manufactured Fuels,All,5.43
