LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Public Sector,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Public Sector,Petroleum products - Agriculture,Gas - Industrial,Gas - Commercial,Gas - Domestic,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Total
S12000033,2005,Aberdeen City,2.284956304312522,0.3010262158285745,5.175742223959851,11.139621897745494,6.406231189450155,6.628512853746183,461.45972139631687,2.374382207541052,26.125999415366586,26.755210550810354,11.615556141321253,661.8729764347896,696.7539039357362,1682.73307,0.538181649292805,0.135269602506081,16.353994310049895,3618.6543563287732
S12000034,2005,Aberdeenshire,15.406713761130886,0.5133766758939693,55.94451390888861,9.14234524571404,4.34368281343953,37.19028108021991,618.7265633940035,16.692941532498867,757.7779439635476,14.553758860019602,360.32460394737467,313.30004460178753,329.8110618677643,1140.0656400000003,3.3050003150448037,0.830697366746057,45.15412010120349,3723.0832894352775
S92000003,2005,All local authorities,1266.9591014908888,6.6720583453416635,606.6485791300994,112.97869944376879,801.3596838732489,418.8887212242381,28384.68262271945,168.73756887372542,4203.922197119195,352.27883010343,2900.1210931759683,11586.025560071948,12196.612986925142,35329.41629,967.3176228444604,243.131051590552,549.2520017108958,100095.00466864236
S12000041,2005,Angus,25.28600267654223,0.11425088325312176,14.767514105068146,1.6308083267386044,0,10.967964413806579,212.83988359428056,3.8255817717761267,162.79084388810367,1.8076152692825669,84.69116295732003,159.36190498063888,167.76033073898387,698.7420300000001,6.186109094169701,1.5548514508571063,16.315486549543916,1568.6423407003651
S12000035,2005,Argyll and Bute,9.023403117946664,0.598766286601817,37.135218852319674,7.092386540031649,0.31862195403300914,21.929291698307885,288.8626205894582,7.518890473637773,173.79290508757506,72.48319590611945,118.63617077849324,76.06423213663413,80.07284264202845,408.38745000000006,2.104317599911209,0.5289110203972633,19.441354225856468,1323.990578909352
S12000036,2005,City of Edinburgh,0.6075968977245453,0.08432018841658605,8.73748209585312,0.7020935825753359,0.05025546823556313,11.876313098712732,215.8380009951135,5.461628595520532,22.660820031224166,16.806905712056658,10.76334246329173,1060.7590914861867,1116.6614508261964,3435.58341,0.1507149980438404,0.0378815552404745,30.229699412504537,5937.011007406896
S12000005,2005,Clackmannanshire,0.0010616117860779094,0.012987870018833253,3.3036295097490154,0.25518652079610543,2.017977606357505,2.8338997320489185,44.081400557014334,0.5559012687374715,11.88976024494228,0.1838439095480845,9.998792642842703,216.81383659168952,228.23999838498932,397.12961,2.6333383014504535e-4,6.618780587731264e-5,5.102419288063568,922.4206352602198
S12000006,2005,Dumfries and Galloway,14.174585572394445,0.4221795298409306,41.08646101166104,10.44347151968046,16.02623338460142,25.593764266615896,303.8383548212032,9.046927872033228,348.5836360072239,14.271968430562739,501.60182085419007,266.2905710301047,280.32417329668976,765.5098600000001,67.20291855433136,16.891159503558477,26.594578551957753,2707.9026642066497
S12000042,2005,Dundee City,0.17387609866780182,5.891360995932646e-4,3.4254193081837334,0.005866682563837609,0.11155737241329212,5.130776967851004,196.81158322721907,0.8064815570388327,6.180971869931222,1.0894418000011756,1.0530544216627427,373.66113454823886,393.3532014676422,926.30624,0.48054885501919326,0.12078385186231518,13.664832587379367,1922.3763597517743
S12000008,2005,East Ayrshire,4.362735969099483,0.08546715224019416,8.27856743675079,2.394656064842588,0,6.626392884697859,96.3216948259438,2.681640806824313,49.74254067305242,5.8213271673213285,96.89471836672597,219.27583677427097,230.83174680164814,990.14331,125.93153134101584,31.652339335363198,10.971502572599523,1882.0160081723964
S12000045,2005,East Dunbartonshire,0.058616601685283154,0.005178786856424605,2.7465979681498918,0.029191705510882755,0.025127734117781617,3.734371312550869,57.56111337108962,0.8264299547421201,10.435085190107655,1.2748363565988496,9.061706167977482,90.22599387062812,94.98093396178366,997.2143500000001,0.014539904731934833,0.003654541428808627,9.506776581100121,1277.7045040090595
S12000010,2005,East Lothian,257.4338810232817,0.15706261809576522,14.595853453153001,1.3238013327260447,202.73811785575737,9.6347067022603,91.45324897360264,3.8063969774270596,67.6680298966518,1.457559338537008,38.361834055695404,98.72199877419435,103.92468116884334,662.10753,269.6605364778924,67.77799582886803,11.520184794020494,1902.3434192710067
S12000011,2005,East Renfrewshire,0.30741151106059644,8.023472594460719e-4,1.9491786962513244,0,0,2.884000208656024,15.63363326790425,0.22449741300563694,11.510780327165168,0.9004027749492933,15.319663093661777,67.79443665155294,71.3672261655592,818.6822200000001,0.07625372259414696,0.019166039493307425,7.639827840727503,1014.3095000598407
S12000014,2005,Falkirk,0.2266508598497615,0.04220077265326491,11.700647917749173,0.44865006167138466,522.9535845970628,8.735348332898246,17667.141620776732,4.722040270819666,29.67736399754427,10.07967224027516,23.34573480323053,423.95853571418115,446.301292518229,1137.4372600000002,0.056220964963481224,0.014130893524726658,13.09968895920726,20299.94064368059
S12000047,2005,Fife,520.8710410421764,0.1615320850882798,24.043469798456545,8.21703808995781,12.966559441768498,20.915782583083118,4191.038663142505,13.853777443553412,126.33555842709075,9.581012158634989,89.69680537458628,1435.5775765476046,1511.2329955666269,2971.94183,0.18557441963865426,0.04664331831604321,38.246239623019086,10974.912099062107
S12000049,2005,Glasgow City,0,0,6.557029635800801,0,1.1512333043265874,9.508776545408388,307.59700329104663,6.0309274528243,14.506039593588655,7.80744759039174,3.9677193576230283,1380.1404869663163,1452.8743528000668,3781.71547,0,0,24.9631925696645,6996.819679107058
