Region,Local Authority,LA Code,LAU1,Number of MPANs (thousands) - Domestic consumers - Economy 7 meters,Number of MPANs (thousands) - Domestic consumers - Standard Meters,Number of MPANs (thousands) - Domestic consumers - All domestic,Number of MPANs (thousands) - Non-domestic consumers - All Non-domestic,Number of MPANs (thousands) - Non-domestic consumers - Total number of Meters,Sales (GWh) - Domestic consumers - Economy 7 meters,Sales (GWh) - Domestic consumers - Standard meters,Sales (GWh) - Domestic consumers - All domestic,Sales (GWh) - Non-domestic consumers - All non-domestic,Sales (GWh) - All - Total consumption,Averages (KWh) - Domestic Economy 7 - Mean consumption,Averages (KWh) - Domestic Economy 8 - Median consumption,Averages (KWh) - Standard - Mean consumption,Averages (KWh) - Standard - Median consumption,Averages (KWh) - All domestic - Mean consumption,Averages (KWh) - All domestic - Median consumption,Averages (KWh) - Non-domestic - Mean consumption,Averages (KWh) - Non-domestic - Median consumption,Averages (KWh) - All - Mean consumption,Averages (KWh) - All - Median consumption,Average domestic consumption per household (kWh) (2) -  - ,Year
Scotland,Inverclyde,S12000018,NA,6.648,35.622,42.27,2.67,44.94,19.33707052487653,109.3164092945297,128.6534798194065,153.789668074325,282.4431478937309,2908.704952598757,1923.85,3068.789211569529,2590.35,3043.612013707276,2523.35,57599.12661959737,6284.894256647327,4804.6,2559.7,3417.454173601619,2020
Scotland,Midlothian,S12000019,NA,2.021,40.505,42.526,2.798,45.324,10.2823702477378,135.9886172383634,146.270987486101,186.9223336350002,333.1933211211035,5087.763606005838,3187.2,3357.329150434844,2793.7,3439.566088654024,2805.2,66805.69465153688,7351.366188357239,6604.75,2849.6,3644.292983683409,2020
Scotland,Moray,S12000020,NA,5.646,42.605,48.251,4.721,52.972,34.9914246778261,153.1945772132104,188.1860018910345,273.731613146405,461.9176150374405,6197.560162562187,5012.55,3595.694806084037,2892.4,3900.147186400997,3004.6,57981.701577294,8720.033508975317,5628.9,3070.7,4358.679835345328,2020
Scotland,North Ayrshire,S12000021,NA,8.603,65.122,73.725,5.002,78.727,39.91058046057611,202.8512855165137,242.7618659770891,354.0276956615571,596.7895616386415,4639.146862789273,3086.3,3114.942500483918,2572.65,3292.802522578354,2597.5,70777.22824101502,7580.494133380436,5436.2,2639.1,3768.716385579277,2020
Scotland,Orkney Islands,S12000023,NA,5.862,8.811,14.673,2.332,17.005,42.55036306241303,40.30419955238079,82.85456261479449,54.4040293714286,137.2585919862235,7258.676742138014,6523.549999999999,4574.304795412642,3337.6,5646.736360307674,4430,23329.34364126441,8071.660804835257,5879.4,4522.2,7790.744016435778,2020
Scotland,Scottish Borders,S12000026,NA,12.947,52.309,65.256,7.829,73.085,56.93741131851768,193.5854448346784,250.5228561531981,268.4866946704502,519.0095508236395,4397.730077895858,2933.7,3700.805689932486,2844.5,3839.07772700132,2853.4,34293.86826803553,7101.4510614167,4538.2,2911.1,4571.918682991425,2020
Scotland,Shetland Islands,S12000027,NA,8.197,9.158,17.355,1.935,19.29,57.43779481010317,39.42980500660178,96.86759981670521,79.49091696428569,176.3585167809901,7007.172722960006,6220,4305.503931710174,3212.75,5581.538450976964,4373.7,41080.5772425249,9142.484021824266,6986.4,4460.299999999999,9259.879535102305,2020
Scotland,South Ayrshire,S12000028,NA,5.841,53.111,58.952,5.267,64.219,24.20761419829535,176.5961736007362,200.8037877990328,229.6845734644145,430.4883612634516,4144.429754887065,2583.3,3325.039513485647,2719.1,3406.225196753846,2712.4,43608.23494672765,6703.442303110475,5390.2,2768.7,3819.668406517524,2020
Scotland,South Lanarkshire,S12000029,NA,21.122,141.406,162.528,10.422,172.95,96.6712653977405,485.4831113234026,582.1543767211408,499.4294578544732,1081.583834575615,4576.804535448371,3158.2,3433.256801857083,2803.6,3581.871288154292,2824.35,47920.69255943899,6253.73711810127,6798.35,2872.65,3920.680325162752,2020
Scotland,Stirling,S12000030,NA,5.806,38.948,44.754,4.678,49.432,34.65016921728111,145.1619556843789,179.812124901659,246.9815512736427,426.7936761753003,5967.993320234432,4436.5999999999995,3727.07085561207,2887.5,4017.788910525516,2977.05,52796.39830560981,8633.955255205135,6560,3058.4,4507.021378124598,2020
Scotland,Aberdeen City,S12000033,NA,12.906,114.412,127.318,8.705,136.023,53.43035242954286,334.3810571414423,387.8114095709863,576.9001774923487,964.711587063345,4139.962221411967,2948.45,2922.604771714876,2330.7,3046.006138731258,2359.55,66272.27771307854,7092.268124238878,7648.3,2422.4,3561.398892224352,2020
Scotland,Aberdeenshire,S12000034,NA,15.001,112.032,127.033,13.553,140.586,102.8144599550277,461.5551387547037,564.3695987097304,634.0784973144515,1198.448096024213,6853.84040764134,5751.2,4119.850924331474,3286.25,4442.700705405134,3409.7,46785.10273108917,8524.661744584904,6190.6,3485.2,5007.138473022015,2020
Scotland,Argyll and Bute,S12000035,NA,15.232,43.608,58.84,7.217,66.057,103.0595087962363,167.8475467090048,270.9070555052419,209.3131609692462,480.2202164744881,6765.986659416775,5730.75,3849.008134035149,2878.5,4604.130786968762,3252.7,29002.79353876212,7269.785434919661,5625.1,3341.5,6474.988778537774,2020
Scotland,City of Edinburgh,S12000036,NA,35.394,236.796,272.19,21.412,293.602,142.5152070143923,719.2855857899223,861.80079280433,1169.850665184771,2031.651457989141,4026.535769181,3028.8,3037.574899026682,2418.8,3166.173602279033,2457.9,54635.28232695549,6919.746657002134,4645.85,2497.9,3600.377637423881,2020
Scotland,Renfrewshire,S12000038,NA,11.105,83.255,94.36,5.562,99.922,35.49785759300926,254.3221682522975,289.8200258453061,391.3280010929557,681.1480269382647,3196.565294282689,2130.4,3054.737472251486,2569.5,3071.428845329654,2538.7,70357.42558305568,6816.797371332286,6858.75,2585.75,3322.062170829152,2020
Scotland,West Dunbartonshire,S12000039,NA,4.878,42.831,47.709,3.089,50.798,15.63979836272773,124.8752908340384,140.5150891967662,181.8173809371796,322.3324701339382,3206.190726266448,2081.3,2915.535262637772,2457.4,2945.253289667908,2438.9,58859.62477733236,6345.377182840626,4970.5,2468.95,3255.376915873557,2020
Scotland,West Lothian,S12000040,NA,4.78,78.999,83.779,5.668,89.447,21.41891579191527,268.3573827449797,289.7762985368959,445.4417239585558,735.2180224954612,4480.944726342106,3204.6,3396.971895150314,2846.6,3458.817824716169,2856.9,78588.87155232106,8219.593977388411,7367.7,2906.8,3627.100317139337,2020
Scotland,Angus,S12000041,NA,8.434,53.125,61.559,5.625,67.184,46.31727989299021,189.8277925558338,236.1450724488249,254.948123430357,491.0931958791776,5491.733447117644,4330.1,3573.229036345107,2891.4,3836.077136549081,2970.2,45324.11083206347,7309.674861264253,5778.6,3028.25,4334.527761542307,2020
Scotland,Dundee City,S12000042,NA,11.737,70.473,82.21,5.52,87.73,53.19637781085944,220.543023614097,273.7394014249547,291.288205204167,565.0276066291163,4532.365835465574,3634.5,3129.468358294624,2585.5,3329.75795432374,2644.3,52769.60239205924,6440.528971037459,6472.35,2694.65,3872.446935519737,2020
Scotland,East Dunbartonshire,S12000045,NA,3.653,45.396,49.049,2.613,51.662,16.04007630205162,164.0785926945823,180.1186689966347,143.5105875720363,323.6292565686715,4390.932467027545,3179,3614.384366344663,3047.9,3672.218985027925,3051.7,54921.77098049608,6264.357875588856,5419.6,3079.8,3868.278869416376,2020
Scotland,Fife,S12000047,NA,15.544,171.773,187.317,13.29,200.607,65.91241538058132,557.3308275357956,623.2432429163816,819.6959620217075,1442.93920493811,4240.376697155258,2757,3244.577596803896,2684,3327.21132046948,2687.3,61677.64951254383,7192.865677359764,5115,2726.8,3668.596840919096,2020
Scotland,Perth and Kinross,S12000048,NA,12.907,68.48,81.387,8.67,90.057,82.69760768129868,260.676208832107,343.3738165134089,329.8109727112544,673.1847892246606,6407.190492081713,5272.8,3806.603516823993,2932.45,4219.025354336798,3096.4,38040.4812815749,7475.096763434942,6113.75,3177.3,4945.469185871197,2020
Scotland,Glasgow City,S12000049,NA,57.903,278.475,336.378,24.785,361.163,191.9494226678333,763.5390602617422,955.4884829295846,1482.203300505786,2437.691783435495,3315.016884579957,2264.2,2741.85855197681,2261.8,2840.520137849635,2261.9,59802.43294354592,6749.561232561184,6368.1,2318,3230.610130915113,2020
Scotland,North Lanarkshire,S12000050,NA,15.982,147.213,163.195,9.327,172.522,64.9444970419448,473.078777727235,538.0232747691865,722.7763541198658,1260.799628889061,4063.602618066875,2708.75,3213.566585337131,2725.2,3296.812247735448,2724.7,77492.9081290732,7308.051314551542,7267.8,2767.3,3518.561734152027,2020
NA,Scotland,S92000003,UKM,385.098,2465.683,2850.781,230.815,3081.596,1842.610486491623,8190.828848181294,10033.43933467247,12674.81381532462,22708.25314999752,4784.783318769827,3433.9,3321.93102202566,2675.7,3519.540552105711,2722.7,54913.3020614978,7368.990987137028,5939.3,2778.5,4001.172158784696,2020
NA,NA,Scotland - Scottish Government estimates based on 2016-variants. https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/households/household-projections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
