"Local Authority"	"LACode"	"variable"	"value"
"Renfrewshire"	"S12000038"	"Operational Capacity (GW)"	0.02
"Scottish Borders"	"S12000026"	"Operational Capacity (GW)"	0.07
"Shetland Islands"	"S12000027"	"Operational Capacity (GW)"	0.01
"South Ayrshire"	"S12000028"	"Operational Capacity (GW)"	0.06
"South Lanarkshire"	"S12000029"	"Operational Capacity (GW)"	0.07
"Stirling"	"S12000030"	"Operational Capacity (GW)"	0.1
"West Dunbartonshire"	"S12000039"	"Operational Capacity (GW)"	0
"West Lothian"	"S12000040"	"Operational Capacity (GW)"	0.02
"Unknown"	NA	"Operational Capacity (GW)"	0.1
"TOTAL"	"S92000003"	"Operational Capacity (GW)"	2.03
"Aberdeen City"	"S12000033"	"Capacity (%)"	0.0047
"Aberdeenshire"	"S12000034"	"Capacity (%)"	0.1002
"Angus"	"S12000041"	"Capacity (%)"	0.0317
"Argyll & Bute"	"S12000035"	"Capacity (%)"	0.0193
"Clackmannanshire"	"S12000005"	"Capacity (%)"	0
"Dumfries & Galloway"	"S12000006"	"Capacity (%)"	0.0789
"Dundee City"	"S12000042"	"Capacity (%)"	0.0027
"East Ayrshire"	"S12000008"	"Capacity (%)"	0.0396
"East Dunbartonshire"	"S12000045"	"Capacity (%)"	0.0045
"East Lothian"	"S12000010"	"Capacity (%)"	0.0149
"East Renfrewshire"	"S12000011"	"Capacity (%)"	0
"Edinburgh, City of"	"S12000036"	"Capacity (%)"	0.013
"Eilean Siar"	"S12000013"	"Capacity (%)"	0.0079
"Falkirk"	"S12000014"	"Capacity (%)"	0
"Fife"	"S12000047"	"Capacity (%)"	0.1206
"Glasgow City"	"S12000049"	"Capacity (%)"	0.0089
"Highland"	"S12000017"	"Capacity (%)"	0.1469
"Inverclyde"	"S12000018"	"Capacity (%)"	0.0056
"Midlothian"	"S12000019"	"Capacity (%)"	0.0068
"Moray"	"S12000020"	"Capacity (%)"	0.0449
"North Ayrshire"	"S12000021"	"Capacity (%)"	0.0597
"North Lanarkshire"	"S12000050"	"Capacity (%)"	0.0066
