"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Latvia"	0	0	0	0	0.018	0.425	1.386	1.556	1.768	2.135	4.417	3.433	11.242	48.446	49.147	46.854	46.212	52.929	59.1	50.089	49.057	70.894	114.266	120.055	139.712	147.135	127.889	150	122.038
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.172	1.775	13.749	106.118	131.054	157.68	223.978	474.996	540.13	602.721	639.094	810.335	1135.938	1363.841	1144
"Luxembourg"	0	0	0	0	0	0	0	3	11	18	24.743	23.74	24.479	26.168	39.399	52.251	57.986	64.286	60.589	63.472	55.083	64.05	77.466	83.027	79.876	101.848	101.486	234.823	254.575
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	1	1	4	5.55	10.095	43.364	110	204.828	330.93	533.792	625.693	769.992	717.51	656.54	693.323	683.692	758	607
"Malta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.085	0.058	0.058	0.058	0.058	0.058
"Netherlands"	56	88	147	174	238	317	437	475	640	645	829.03	825.42	947.371	1319.778	1870.581	2066.655	2734.291	3438.026	4259.711	4580.623	3993.137	5100.171	4981.829	5627.147	5797.335	7549.874	8170.455	10568.813	10563.647
"Austria"	0	0	0	0.002	0.3	0.744	4.637	20.219	45.448	50.556	66.754	104.647	139.818	372.279	933.628	1331.277	1752.793	2037.185	2011.257	1954.04	2063.914	1936.196	2462.864	3152.433	3845.675	4840.321	5234.838	6571.511	6030.429
"Poland"	0	0	0	0	0	1	0	2	4	4	5	14	61	124	142.319	135.47	256.077	521.582	836.801	1077.278	1664.339	3204.548	4746.59	6003.806	7675.629	10858.365	12587.59	14909.041	12798.792
"Portugal"	1	1	4	11	17	16	21	38	89	123	168	256	362	496	816.33	1773.263	2925.472	4036.708	5757.38	7576.963	9181.572	9161.612	10259.778	12014.601	12111.395	11607.638	12474.096	12247.853	12616.584
"Romania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227	0.556	2.524	4.978	9.069	306.348	1387.2	2639.875	4520.21	6200.91	7062.93	6590	7406.702	6322.219
"Slovenia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.221	4.209	6.028	5.778	5.716	6.021
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	6	8	7	6	6	5	6	6	6	6	6	6	6
"Finland"	0	0	2	4	7	11	11	17	23	49	78	70	64	93	120.344	169.942	155.641	188.408	260.52	276.624	294.317	481.393	494.323	773.692	1107.172	2327.359	3068.041	4795.192	5838.668
"Sweden"	6	13	31	48	72	99	144	203	317	358	457	482	608	679	860	935	984	1426	1998	2491	3487	6107	7164	9842	11235	16322	15479	17609	16623
"United Kingdom"	9	11	40	218	342	391	488	667	877	850	947	965.086	1256.024	1285.35	1086.675	1622.992	2202.153	2629.818	3760.00532291333	4725.84742846912	5413.01311234418	8706.80141701043	11555.4394733649	17245.8312234766	20259.3069790243	26396.7182764439	24739.2446019931	32431.9170714108	37520.8334
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75	8.386	10.894	9.21	8.127	4.363
"Norway"	0	0	0	7	9	10	9	11	11	25	31	27	75	218	252	499	636	892	913	977	879	1283	1548	1881	2217	2515	2116	2854	3875.881
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	143
"North Macedonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.632	120.768	109.482	110.48	97.338
"Albania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	48.457	150.418
"Turkey"	0	0	0	0	0	0	0	0	5	21	33	62	48	61	58	59	126.544	355.111	847.034	1495.369	2916.373	4723.873	5860.79	7557.507	8520.141	11652.487	15517.087	17903.815	19949.196
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103
"Kosovo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.281	0	0	0.38	0.354	0.118	0.345	29.753
"Moldova"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.481	1.548	2.547	7	23
"Ukraine"	0	0	0	0	0	0	0	0	3	3	6	16	22	31	33	37.6	34.6	45.1	45.3	43	50.9	89.5	288.2	638.6	1130.2	1084.4	953.8	983.4	1188.4
"Georgia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	87.8	84.3
"SCOTLAND"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	848.4	1280.9	2022.9	2644	3361.51967708667	4555.12457153088	4872.62688765582	7256.16458298957	8291.68252663507	11151.1867765234	11700.0120209757	13878.0007235561	12415.6993980069	17201.1379285892	19383.1276
