Date,North Scotland,South Scotland,Whole Scotland,GB
2017-05-01T00:00:00Z,0.11400696360693167,0.15094629864431916,0.14033128717834836,0.16740393722929126
2017-06-01T00:00:00Z,0.11465531440444968,0.15320747288245806,0.14212582417727496,0.16885581679484674
2017-07-01T00:00:00Z,0.11567074183141858,0.15604822256631984,0.14443868349016389,0.1704400410985326
2017-08-01T00:00:00Z,0.11929338203048201,0.1600684887038455,0.14834125512557397,0.17404932583911217
2017-09-01T00:00:00Z,0.12378346964999602,0.16699844695807095,0.15456608332458041,0.17999009553417786
2017-10-01T00:00:00Z,0.12631368632210827,0.16876147921480233,0.15654565020162942,0.18158898832262468
2017-11-01T00:00:00Z,0.1285293316056629,0.17041232340800475,0.15835464914516684,0.18340898149600796
2017-12-01T00:00:00Z,0.13055043352529677,0.16992120764214877,0.15858385366859659,0.18195221152979224
2018-01-01T00:00:00Z,0.13339396172373444,0.1719714664687846,0.16085931377173526,0.1819177682047639
2018-02-01T00:00:00Z,0.13911725763005536,0.1771192980330593,0.16616964000796405,0.1827678683342553
2018-03-01T00:00:00Z,0.13838060723364645,0.17577986740334972,0.1650004927667538,0.18019191398449194
2018-04-01T00:00:00Z,0.13747718205560902,0.17552769366539353,0.16455719910470445,0.1799815741021424
2018-05-01T00:00:00Z,0.13856365030723197,0.17816283487560272,0.16674211557402738,0.18166271424731154
2018-06-01T00:00:00Z,0.14125043149734146,0.18004158608136953,0.16885013560158427,0.18424106743752697
2018-07-01T00:00:00Z,0.14515380526964192,0.18265376802086655,0.17183113267703867,0.18737764623398295
2018-08-01T00:00:00Z,0.15011729094453435,0.1870257292046306,0.17637032642618822,0.1891259128063838
2018-09-01T00:00:00Z,0.15178858468379425,0.18646457474478892,0.17645046010674903,0.18923320663993765
2018-10-01T00:00:00Z,0.15313260846457638,0.18885429173843463,0.17853506144309311,0.1899556836671141
2018-11-01T00:00:00Z,0.15394856148856262,0.18973670062982265,0.17939549927032228,0.19058858557670907
2018-12-01T00:00:00Z,0.1529061103769495,0.1898848400523117,0.17919678366892716,0.19065738665615597
2019-01-01T00:00:00Z,0.15612116483350533,0.19422652237663995,0.18321008675467654,0.1919024877459004
2019-02-01T00:00:00Z,0.1629355835699175,0.20095236149281134,0.18995903063466435,0.1921679151508892
2019-03-01T00:00:00Z,0.1662049338728184,0.2048238460810906,0.19365435245428372,0.197060470388188
2019-04-01T00:00:00Z,0.17355001523731367,0.21053975401631186,0.19983952454286194,0.20367480449857212
2019-05-01T00:00:00Z,0.17562246978256993,0.20960484908880508,0.19977295563937017,0.20373373159878766
2019-06-01T00:00:00Z,0.17704495333607254,0.20982178697536455,0.20033721835168827,0.20246805457115882
2019-07-01T00:00:00Z,0.1783040475470752,0.2117431127806107,0.20206565009045252,0.20464769277355585
2019-08-01T00:00:00Z,0.17623653829021219,0.20961249508316449,0.19995202503702103,0.20388536578688546
2019-09-01T00:00:00Z,0.17691604602968933,0.20979658635938386,0.20027810892243472,0.20378475895648174
2019-10-01T00:00:00Z,0.1777865810236603,0.20889814074648175,0.19989032760077791,0.20191251141855135
2019-11-01T00:00:00Z,0.17773626950346286,0.20907859783006563,0.20000249449140733,0.20154082586026115
2019-12-01T00:00:00Z,0.1808489969914459,0.21171406712496368,0.20277475447678284,0.20474541680289138
