"Date","Gas","Transport","Electricity","RollingGas","RollingTransport","RollingElectricity"
2013-08-27,85.337285,164.663559711201,74.0213649467827,NA,NA,NA
2013-08-28,89.955299,164.663559711201,74.5365704947755,NA,NA,NA
2013-08-29,94.587565,164.663559711201,74.812639778054,NA,NA,NA
2013-08-30,94.430341,164.663559711201,71.5653219200742,NA,NA,NA
2013-08-31,94.007913,164.663559711201,64.7284803919659,NA,NA,NA
2013-09-01,109.482367,169.720272294836,64.7525336526169,NA,NA,NA
2013-09-02,100.58155,169.720272294836,72.5028636854937,NA,NA,NA
2013-09-03,102.082262,169.720272294836,72.197283190845,NA,NA,NA
2013-09-04,91.158599,169.720272294836,70.9252269873179,NA,NA,NA
2013-09-05,136.913755,169.720272294836,73.7774745392173,NA,NA,NA
2013-09-06,142.913452,169.720272294836,74.1904562034536,NA,NA,NA
2013-09-07,106.678051,169.720272294836,67.6361656696097,NA,NA,NA
2013-09-08,105.095388,169.720272294836,67.9000000830661,NA,NA,NA
2013-09-09,110.900047,169.720272294836,77.1707056747356,NA,NA,NA
2013-09-10,105.799323,169.720272294836,79.0280001998528,NA,NA,NA
2013-09-11,146.856194,169.720272294836,80.0497260660429,NA,NA,NA
2013-09-12,138.704647,169.720272294836,76.6003739635326,NA,NA,NA
2013-09-13,163.724188,169.720272294836,76.6165915627754,NA,NA,NA
2013-09-14,141.823154,169.720272294836,69.7444311490385,NA,NA,NA
2013-09-15,117.794058,169.720272294836,69.6374386130023,NA,NA,NA
2013-09-16,137.997147,169.720272294836,82.6691665257746,NA,NA,NA
2013-09-17,138.849798,169.720272294836,83.0637742486414,NA,NA,NA
2013-09-18,135.664825,169.720272294836,79.9735037507663,NA,NA,NA
2013-09-19,142.954253,169.720272294836,84.9139649485185,NA,NA,NA
2013-09-20,120.628269,169.720272294836,77.4453842639873,NA,NA,NA
2013-09-21,108.227786,169.720272294836,69.5427428368755,NA,NA,NA
2013-09-22,95.277207,169.720272294836,65.9597511753811,NA,NA,NA
2013-09-23,95.298161,169.720272294836,77.6714909873597,NA,NA,NA
2013-09-24,101.465818,169.720272294836,80.1260217364074,NA,NA,NA
2013-09-25,120.133194,169.720272294836,79.397270472724,NA,NA,NA
2013-09-26,127.987635,169.720272294836,80.0082820352583,NA,NA,NA
2013-09-27,114.511336,169.720272294836,80.965687810979,NA,NA,NA
2013-09-28,97.002518,169.720272294836,73.981585129786,NA,NA,NA
2013-09-29,100.641262,169.720272294836,69.6256373740615,NA,NA,NA
2013-09-30,115.482208,169.720272294836,74.473839137924,NA,NA,NA
2013-10-01,119.294508,159.24195836256,78.9324262757777,NA,NA,NA
2013-10-02,125.169443,159.24195836256,80.7033543403017,NA,NA,NA
2013-10-03,109.086165,159.24195836256,80.3567326036838,NA,NA,NA
2013-10-04,100.104266,159.24195836256,79.0671014093031,NA,NA,NA
2013-10-05,98.409812,159.24195836256,68.8709936387972,NA,NA,NA
2013-10-06,98.130988,159.24195836256,66.238986300142,NA,NA,NA
2013-10-07,99.396815,159.24195836256,73.4982341074497,NA,NA,NA
2013-10-08,110.051397,159.24195836256,74.5466895331799,NA,NA,NA
2013-10-09,138.062229,159.24195836256,77.9022201249833,NA,NA,NA
2013-10-10,159.764515,159.24195836256,84.0079325822903,NA,NA,NA
2013-10-11,160.426969,159.24195836256,87.1262358484817,NA,NA,NA
2013-10-12,141.143809,159.24195836256,76.1907431179179,NA,NA,NA
2013-10-13,144.012076,159.24195836256,73.5073054239087,NA,NA,NA
2013-10-14,172.032322,159.24195836256,82.2497025094396,NA,NA,NA
2013-10-15,188.454917,159.24195836256,83.1458664726056,NA,NA,NA
2013-10-16,201.893802,159.24195836256,88.1424813553494,NA,NA,NA
2013-10-17,187.603047,159.24195836256,86.7435503539136,NA,NA,NA
2013-10-18,153.615445,159.24195836256,82.1900360170699,NA,NA,NA
2013-10-19,124.605051,159.24195836256,75.9108912672822,NA,NA,NA
2013-10-20,124.516436,159.24195836256,75.9004489757582,NA,NA,NA
2013-10-21,131.284959,159.24195836256,83.3560614079965,NA,NA,NA
2013-10-22,119.941886,159.24195836256,83.0587048485899,NA,NA,NA
2013-10-23,134.277089,159.24195836256,80.9575799347217,NA,NA,NA
2013-10-24,142.199727,159.24195836256,80.4282925621913,NA,NA,NA
2013-10-25,136.641792,159.24195836256,81.9375220766135,NA,NA,NA
2013-10-26,137.552032,159.24195836256,75.5138771913672,NA,NA,NA
2013-10-27,148.738592,159.24195836256,78.9910899956125,NA,NA,NA
2013-10-28,156.565034,159.24195836256,85.5437291900825,NA,NA,NA
2013-10-29,166.808534,159.24195836256,85.4044141223192,NA,NA,NA
2013-10-30,178.367377,159.24195836256,86.4186293581729,NA,NA,NA
2013-10-31,176.565789,159.24195836256,82.6412136256462,NA,NA,NA
2013-11-01,173.25853,172.009991167336,80.2978202786646,NA,NA,NA
2013-11-02,199.926971,172.009991167336,85.1442506000387,NA,NA,NA
2013-11-03,186.350189,172.009991167336,80.5372624634763,NA,NA,NA
2013-11-04,237.068556,172.009991167336,90.5713235789468,NA,NA,NA
2013-11-05,238.275311,172.009991167336,95.0445084724636,NA,NA,NA
2013-11-06,233.350347,172.009991167336,92.779892990129,NA,NA,NA
2013-11-07,213.180858,172.009991167336,87.8050921503313,NA,NA,NA
2013-11-08,199.410449,172.009991167336,87.235150685875,NA,NA,NA
2013-11-09,206.673981,172.009991167336,84.3971381274843,NA,NA,NA
2013-11-10,224.181176,172.009991167336,82.4911815705298,NA,NA,NA
2013-11-11,225.813659,172.009991167336,87.0346255752582,NA,NA,NA
2013-11-12,216.792304,172.009991167336,88.3186873647492,NA,NA,NA
2013-11-13,198.692623,172.009991167336,88.7254195723313,NA,NA,NA
2013-11-14,209.668767,172.009991167336,94.8755013687593,NA,NA,NA
2013-11-15,212.252077,172.009991167336,88.1392842132054,NA,NA,NA
2013-11-16,168.092121,172.009991167336,76.9760612173433,NA,NA,NA
2013-11-17,193.445,172.009991167336,81.8911260178778,NA,NA,NA
2013-11-18,241.523284,172.009991167336,91.8884475650454,NA,NA,NA
2013-11-19,247.458303,172.009991167336,96.7253798480056,NA,NA,NA
2013-11-20,228.767647,172.009991167336,97.3574091418899,NA,NA,NA
2013-11-21,267.263402,172.009991167336,100.425548030145,NA,NA,NA
