Region,Year,variable,value
Merseyside & North Wales,2018,Direct Debit,583.0937227660577
North East,2018,Direct Debit,559.3413730085581
North Scotland,2018,Direct Debit,581.5502911999392
North West,2018,Direct Debit,572.0561584914183
South East,2018,Direct Debit,596.4244664115822
South Scotland,2018,Direct Debit,576.8204140312432
South Wales,2018,Direct Debit,582.4142270797438
South West,2018,Direct Debit,597.4913413242915
Southern,2018,Direct Debit,597.7965147013588
West Midlands,2018,Direct Debit,572.636232274794
Yorkshire,2018,Direct Debit,558.0033952025925
United Kingdom,2018,Direct Debit,579.9710652300472
East Midlands,2019,Direct Debit,577.5937791156306
Eastern,2019,Direct Debit,584.4671075239874
London,2019,Direct Debit,613.1589769590291
Merseyside & North Wales,2019,Direct Debit,593.6989060274946
North East,2019,Direct Debit,575.1789487286705
North Scotland,2019,Direct Debit,588.0825554989502
North West,2019,Direct Debit,587.7429291873759
South East,2019,Direct Debit,606.4593003385091
South Scotland,2019,Direct Debit,587.1244960030455
South Wales,2019,Direct Debit,590.3426476196325
South West,2019,Direct Debit,615.410328283142
Southern,2019,Direct Debit,608.1775939449072
West Midlands,2019,Direct Debit,587.6134025252568
Yorkshire,2019,Direct Debit,574.4454726966434
United Kingdom,2019,Direct Debit,591.2847097248367
East Midlands,2020,Direct Debit,521.247455247784
Eastern,2020,Direct Debit,529.1554587294104
London,2020,Direct Debit,559.7831475205836
Merseyside & North Wales,2020,Direct Debit,542.4103857462754
North East,2020,Direct Debit,527.0413298778707
North Scotland,2020,Direct Debit,545.8565998185686
North West,2020,Direct Debit,533.24781222278
South East,2020,Direct Debit,553.4600532755425
South Scotland,2020,Direct Debit,543.5410103902008
South Wales,2020,Direct Debit,538.9326855425487
South West,2020,Direct Debit,560.2792361155288
Southern,2020,Direct Debit,558.9435990689879
West Midlands,2020,Direct Debit,535.3093744227609
Yorkshire,2020,Direct Debit,524.4377066790363
United Kingdom,2020,Direct Debit,539.531402012427
East Midlands,2021,Direct Debit,547.0213714529376
Eastern,2021,Direct Debit,557.687463124344
London,2021,Direct Debit,581.1111076252557
Merseyside & North Wales,2021,Direct Debit,570.5201784682367
North East,2021,Direct Debit,547.5627154715843
North Scotland,2021,Direct Debit,570.83593402313
North West,2021,Direct Debit,559.7134658302812
South East,2021,Direct Debit,567.8929744024664
South Scotland,2021,Direct Debit,572.5593772380877
South Wales,2021,Direct Debit,573.2326651432076
South West,2021,Direct Debit,582.5020002097135
Southern,2021,Direct Debit,586.5457219064268
West Midlands,2021,Direct Debit,562.6063350059254
Yorkshire,2021,Direct Debit,548.5755036759023
United Kingdom,2021,Direct Debit,565.0136845250264
East Midlands,2018,Total,581.0389761348365
Eastern,2018,Total,592.088515463284
London,2018,Total,621.2690407668969
Merseyside & North Wales,2018,Total,593.4250916770568
North East,2018,Total,572.4656171773415
North Scotland,2018,Total,593.1955951522463
North West,2018,Total,586.1501876427594
South East,2018,Total,607.8055946043875
South Scotland,2018,Total,588.6161258694178
South Wales,2018,Total,592.3436528327973
South West,2018,Total,608.0522880194115
Southern,2018,Total,610.7536648008493
West Midlands,2018,Total,587.8174994285282
Yorkshire,2018,Total,573.19503618869
United Kingdom,2018,Total,593.2791094530045
East Midlands,2019,Total,593.817823783377
Eastern,2019,Total,602.1312900332127
London,2019,Total,635.49981971174725
Merseyside & North Wales,2019,Total,611.5113464986119
North East,2019,Total,591.9790973590513
North Scotland,2019,Total,605.9221974467306
North West,2019,Total,605.8176488578138
South East,2019,Total,621.9071616058465
South Scotland,2019,Total,603.9292128995413
South Wales,2019,Total,609.0004214663991
South West,2019,Total,631.4332126113459
Southern,2019,Total,624.7726986399459
West Midlands,2019,Total,607.1222953358358
Yorkshire,2019,Total,593.3561977072407
United Kingdom,2019,Total,609.1600499664171
