Year,Prepayment,Standard Credit,Direct Debit
2017,576.6955925559803,633.1199352844117,557.8690651064189
2018,568.7588223255549,653.2799111412912,577.805036559159
2019,621.0264795050563,648.1293592257633,587.3224315710085
2020,584.7986028451406,603.3391714656902,544.0463807733091
2021,559.6486549771213,630.6393966410576,572.2052835478747
