"Region","Credit - Average variable unit price (£/kWh)","Credit - Average fixed cost (£/year)","Direct debit - Average variable unit price (£/kWh)","Direct debit - Average fixed cost (£/year)","Prepayment - Average variable unit price (£/kWh)","Prepayment - Average fixed cost (£/year)","Total - Average variable unit price (£/kWh)","Total - Average fixed cost (£/year)"
"North Scotland",0.0398122417679315,109.463379233248,0.0366779171687937,89.3621774855149,0.0380284803934447,107.83312076553,0.0375095990866584,96.2432277906411
"South Scotland",0.0399588491359398,105.753140341284,0.0366326623937191,89.0573060295602,0.0384974998711585,100.587499902668,0.0375628825457622,94.0799913170747
