"Region","Credit - Average variable unit price (£/kWh)","Credit - Average fixed cost (£/year)","Direct debit - Average variable unit price (£/kWh)","Direct debit - Average fixed cost (£/year)","Prepayment - Average variable unit price (£/kWh)","Prepayment - Average fixed cost (£/year)","Total - Average variable unit price (£/kWh)","Total - Average fixed cost (£/year)"
"North Scotland",0.18442276596672,105.093431974531,0.176772685647027,76.008991943641,0.160491314440319,101.147940072653,0.17540422955338,86.6064550047164
"South Scotland",0.182714674127466,93.2905331953147,0.164972382220994,81.351145194098,0.148033380461909,89.4041383201967,0.164486236589265,85.2376901956237
