"","Year","Sector","End use","variable","Lookup","value"
"376",2020,"Service","Water heating","Solid fuel","2020ServiceWater heatingSolid fuel",0
"377",2020,"Service","Cooking/catering","Solid fuel","2020ServiceCooking/cateringSolid fuel",0
"378",2020,"Service","Heat total","Solid fuel","2020ServiceHeat totalSolid fuel",0
"379",2020,"Service","Computing","Solid fuel","2020ServiceComputingSolid fuel",0
"380",2020,"Service","Cooling and ventilation","Solid fuel","2020ServiceCooling and ventilationSolid fuel",0
"381",2020,"Service","Lighting","Solid fuel","2020ServiceLightingSolid fuel",0
"382",2020,"Service","Other","Solid fuel","2020ServiceOtherSolid fuel",0
"383",2020,"Service","Overall total","Solid fuel","2020ServiceOverall totalSolid fuel",0
"384",2020,"Industry","Space heating","Solid fuel","2020IndustrySpace heatingSolid fuel",44.6713048921847
"385",2020,"Industry","High temperature process","Solid fuel","2020IndustryHigh temperature processSolid fuel",514.931430364968
"386",2020,"Industry","Low temperature process","Solid fuel","2020IndustryLow temperature processSolid fuel",119.222949451364
"387",2020,"Industry","Drying/separation","Solid fuel","2020IndustryDrying/separationSolid fuel",54.6248573290524
"388",2020,"Industry","Unkown (heat)","Solid fuel","2020IndustryUnkown (heat)Solid fuel",0
"389",2020,"Industry","Heat total","Solid fuel","2020IndustryHeat totalSolid fuel",733.450542037569
"390",2020,"Industry","Motors","Solid fuel","2020IndustryMotorsSolid fuel",0
"391",2020,"Industry","Compressed air","Solid fuel","2020IndustryCompressed airSolid fuel",0
"392",2020,"Industry","Lighting","Solid fuel","2020IndustryLightingSolid fuel",0
"393",2020,"Industry","Refrigeration","Solid fuel","2020IndustryRefrigerationSolid fuel",0
"394",2020,"Industry","Other","Solid fuel","2020IndustryOtherSolid fuel",95.6506833898428
"395",2020,"Industry","Overall total","Solid fuel","2020IndustryOverall totalSolid fuel",829.101225427412
"396",2020,"Transport","Non-heat purposes","Solid fuel","2020TransportNon-heat purposesSolid fuel",9.47489101084612
"397",2020,"Total","Space heating","Solid fuel","2020TotalSpace heatingSolid fuel",488.030561548717
"398",2020,"Total","Water heating","Solid fuel","2020TotalWater heatingSolid fuel",17.8433983056884
"399",2020,"Total","Cooking/catering","Solid fuel","2020TotalCooking/cateringSolid fuel",0
"400",2020,"Total","Process use","Solid fuel","2020TotalProcess useSolid fuel",634.154379816332
"401",2020,"Total","Drying/separation","Solid fuel","2020TotalDrying/separationSolid fuel",54.6248573290524
"402",2020,"Total","Unkown (heat)","Solid fuel","2020TotalUnkown (heat)Solid fuel",0
"403",2020,"Total","Heat total","Solid fuel","2020TotalHeat totalSolid fuel",1194.65319699979
"404",2020,"Total","Computing","Solid fuel","2020TotalComputingSolid fuel",0
"405",2020,"Total","Cooling and ventilation","Solid fuel","2020TotalCooling and ventilationSolid fuel",0
"406",2020,"Total","Lighting and appliances","Solid fuel","2020TotalLighting and appliancesSolid fuel",0
"407",2020,"Total","Motors","Solid fuel","2020TotalMotorsSolid fuel",0
"408",2020,"Total","Compressed air","Solid fuel","2020TotalCompressed airSolid fuel",0
"409",2020,"Total","Refrigeration","Solid fuel","2020TotalRefrigerationSolid fuel",0
"410",2020,"Total","Other","Solid fuel","2020TotalOtherSolid fuel",95.6506833898428
"411",2020,"Total","Transport","Solid fuel","2020TotalTransportSolid fuel",9.47489101084612
"412",2020,"Total","Non-heat total","Solid fuel","2020TotalNon-heat totalSolid fuel",105.125574400689
"413",2020,"Total","Overall total","Solid fuel","2020TotalOverall totalSolid fuel",1299.77877140048
"414",2020,"Total","Overall total excluding transport","Solid fuel","2020TotalOverall total excluding transportSolid fuel",1290.30388038963
"415",2019,"Domestic","Space heating","Solid fuel","2019DomesticSpace heatingSolid fuel",460.445534536107
"416",2019,"Domestic","Water heating","Solid fuel","2019DomesticWater heatingSolid fuel",18.5310511677625
"417",2019,"Domestic","Cooking/catering","Solid fuel","2019DomesticCooking/cateringSolid fuel",0
"418",2019,"Domestic","Heat total","Solid fuel","2019DomesticHeat totalSolid fuel",478.97658570387
"419",2019,"Domestic","Lighting and appliances","Solid fuel","2019DomesticLighting and appliancesSolid fuel",0
"420",2019,"Domestic","Overall total","Solid fuel","2019DomesticOverall totalSolid fuel",478.97658570387
"421",2019,"Service","Space heating","Solid fuel","2019ServiceSpace heatingSolid fuel",0
"422",2019,"Service","Water heating","Solid fuel","2019ServiceWater heatingSolid fuel",0
"423",2019,"Service","Cooking/catering","Solid fuel","2019ServiceCooking/cateringSolid fuel",0
"424",2019,"Service","Heat total","Solid fuel","2019ServiceHeat totalSolid fuel",0
"425",2019,"Service","Computing","Solid fuel","2019ServiceComputingSolid fuel",0
"426",2019,"Service","Cooling and ventilation","Solid fuel","2019ServiceCooling and ventilationSolid fuel",0
"427",2019,"Service","Lighting","Solid fuel","2019ServiceLightingSolid fuel",0
"428",2019,"Service","Other","Solid fuel","2019ServiceOtherSolid fuel",0
"429",2019,"Service","Overall total","Solid fuel","2019ServiceOverall totalSolid fuel",0
"430",2019,"Industry","Space heating","Solid fuel","2019IndustrySpace heatingSolid fuel",102.179148622203
"431",2019,"Industry","High temperature process","Solid fuel","2019IndustryHigh temperature processSolid fuel",831.254606459726
"432",2019,"Industry","Low temperature process","Solid fuel","2019IndustryLow temperature processSolid fuel",257.581611013437
"433",2019,"Industry","Drying/separation","Solid fuel","2019IndustryDrying/separationSolid fuel",127.671992491255
"434",2019,"Industry","Unkown (heat)","Solid fuel","2019IndustryUnkown (heat)Solid fuel",0
"435",2019,"Industry","Heat total","Solid fuel","2019IndustryHeat totalSolid fuel",1318.68735858662
"436",2019,"Industry","Motors","Solid fuel","2019IndustryMotorsSolid fuel",0
"437",2019,"Industry","Compressed air","Solid fuel","2019IndustryCompressed airSolid fuel",0
"438",2019,"Industry","Lighting","Solid fuel","2019IndustryLightingSolid fuel",0
"439",2019,"Industry","Refrigeration","Solid fuel","2019IndustryRefrigerationSolid fuel",0
"440",2019,"Industry","Other","Solid fuel","2019IndustryOtherSolid fuel",155.048505333189
"441",2019,"Industry","Overall total","Solid fuel","2019IndustryOverall totalSolid fuel",1473.73586391981
"442",2019,"Transport","Non-heat purposes","Solid fuel","2019TransportNon-heat purposesSolid fuel",10.7669216032342
"443",2019,"Total","Space heating","Solid fuel","2019TotalSpace heatingSolid fuel",562.62468315831
"444",2019,"Total","Water heating","Solid fuel","2019TotalWater heatingSolid fuel",18.5310511677625
"445",2019,"Total","Cooking/catering","Solid fuel","2019TotalCooking/cateringSolid fuel",0
"446",2019,"Total","Process use","Solid fuel","2019TotalProcess useSolid fuel",1088.83621747316
"447",2019,"Total","Drying/separation","Solid fuel","2019TotalDrying/separationSolid fuel",127.671992491255
"448",2019,"Total","Unkown (heat)","Solid fuel","2019TotalUnkown (heat)Solid fuel",0
"449",2019,"Total","Heat total","Solid fuel","2019TotalHeat totalSolid fuel",1797.66394429049
"450",2019,"Total","Computing","Solid fuel","2019TotalComputingSolid fuel",0
"451",2019,"Total","Cooling and ventilation","Solid fuel","2019TotalCooling and ventilationSolid fuel",0
"452",2019,"Total","Lighting and appliances","Solid fuel","2019TotalLighting and appliancesSolid fuel",0
"453",2019,"Total","Motors","Solid fuel","2019TotalMotorsSolid fuel",0
"454",2019,"Total","Compressed air","Solid fuel","2019TotalCompressed airSolid fuel",0
"455",2019,"Total","Refrigeration","Solid fuel","2019TotalRefrigerationSolid fuel",0
"456",2019,"Total","Other","Solid fuel","2019TotalOtherSolid fuel",155.048505333189
"457",2019,"Total","Transport","Solid fuel","2019TotalTransportSolid fuel",10.7669216032342
"458",2019,"Total","Non-heat total","Solid fuel","2019TotalNon-heat totalSolid fuel",165.815426936423
"459",2019,"Total","Overall total","Solid fuel","2019TotalOverall totalSolid fuel",1963.47937122691
"460",2019,"Total","Overall total excluding transport","Solid fuel","2019TotalOverall total excluding transportSolid fuel",1952.71244962368
"461",2018,"Domestic","Space heating","Solid fuel","2018DomesticSpace heatingSolid fuel",508.872440210588
"462",2018,"Domestic","Water heating","Solid fuel","2018DomesticWater heatingSolid fuel",20.4800362260155
"463",2018,"Domestic","Cooking/catering","Solid fuel","2018DomesticCooking/cateringSolid fuel",0
"464",2018,"Domestic","Heat total","Solid fuel","2018DomesticHeat totalSolid fuel",529.352476436603
"465",2018,"Domestic","Lighting and appliances","Solid fuel","2018DomesticLighting and appliancesSolid fuel",0
"466",2018,"Domestic","Overall total","Solid fuel","2018DomesticOverall totalSolid fuel",529.352476436603
"467",2018,"Service","Space heating","Solid fuel","2018ServiceSpace heatingSolid fuel",0
"468",2018,"Service","Water heating","Solid fuel","2018ServiceWater heatingSolid fuel",0
"469",2018,"Service","Cooking/catering","Solid fuel","2018ServiceCooking/cateringSolid fuel",0
"470",2018,"Service","Heat total","Solid fuel","2018ServiceHeat totalSolid fuel",0
"471",2018,"Service","Computing","Solid fuel","2018ServiceComputingSolid fuel",0
"472",2018,"Service","Cooling and ventilation","Solid fuel","2018ServiceCooling and ventilationSolid fuel",0
"473",2018,"Service","Lighting","Solid fuel","2018ServiceLightingSolid fuel",0
"474",2018,"Service","Other","Solid fuel","2018ServiceOtherSolid fuel",0
"475",2018,"Service","Overall total","Solid fuel","2018ServiceOverall totalSolid fuel",0
"476",2018,"Industry","Space heating","Solid fuel","2018IndustrySpace heatingSolid fuel",90.1388878148278
"477",2018,"Industry","High temperature process","Solid fuel","2018IndustryHigh temperature processSolid fuel",393.150660442026
"478",2018,"Industry","Low temperature process","Solid fuel","2018IndustryLow temperature processSolid fuel",146.0264109364
"479",2018,"Industry","Drying/separation","Solid fuel","2018IndustryDrying/separationSolid fuel",15.5020814291994
"480",2018,"Industry","Unkown (heat)","Solid fuel","2018IndustryUnkown (heat)Solid fuel",0
"481",2018,"Industry","Heat total","Solid fuel","2018IndustryHeat totalSolid fuel",644.818040622454
"482",2018,"Industry","Motors","Solid fuel","2018IndustryMotorsSolid fuel",0
"483",2018,"Industry","Compressed air","Solid fuel","2018IndustryCompressed airSolid fuel",0
"484",2018,"Industry","Lighting","Solid fuel","2018IndustryLightingSolid fuel",0
"485",2018,"Industry","Refrigeration","Solid fuel","2018IndustryRefrigerationSolid fuel",0
"486",2018,"Industry","Other","Solid fuel","2018IndustryOtherSolid fuel",66.892940820774
"487",2018,"Industry","Overall total","Solid fuel","2018IndustryOverall totalSolid fuel",711.710981443228
"488",2018,"Transport","Non-heat purposes","Solid fuel","2018TransportNon-heat purposesSolid fuel",10.7669216032342
"489",2018,"Total","Space heating","Solid fuel","2018TotalSpace heatingSolid fuel",599.011328025415
"490",2018,"Total","Water heating","Solid fuel","2018TotalWater heatingSolid fuel",20.4800362260155
"491",2018,"Total","Cooking/catering","Solid fuel","2018TotalCooking/cateringSolid fuel",0
"492",2018,"Total","Process use","Solid fuel","2018TotalProcess useSolid fuel",539.177071378426
"493",2018,"Total","Drying/separation","Solid fuel","2018TotalDrying/separationSolid fuel",15.5020814291994
"494",2018,"Total","Unkown (heat)","Solid fuel","2018TotalUnkown (heat)Solid fuel",0
"495",2018,"Total","Heat total","Solid fuel","2018TotalHeat totalSolid fuel",1174.17051705906
"496",2018,"Total","Computing","Solid fuel","2018TotalComputingSolid fuel",0
"497",2018,"Total","Cooling and ventilation","Solid fuel","2018TotalCooling and ventilationSolid fuel",0
"498",2018,"Total","Lighting and appliances","Solid fuel","2018TotalLighting and appliancesSolid fuel",0
"499",2018,"Total","Motors","Solid fuel","2018TotalMotorsSolid fuel",0
"500",2018,"Total","Compressed air","Solid fuel","2018TotalCompressed airSolid fuel",0
"501",2018,"Total","Refrigeration","Solid fuel","2018TotalRefrigerationSolid fuel",0
"502",2018,"Total","Other","Solid fuel","2018TotalOtherSolid fuel",66.892940820774
"503",2018,"Total","Transport","Solid fuel","2018TotalTransportSolid fuel",10.7669216032342
"504",2018,"Total","Non-heat total","Solid fuel","2018TotalNon-heat totalSolid fuel",77.6598624240082
"505",2018,"Total","Overall total","Solid fuel","2018TotalOverall totalSolid fuel",1251.83037948307
"506",2018,"Total","Overall total excluding transport","Solid fuel","2018TotalOverall total excluding transportSolid fuel",1241.06345787983
"507",2017,"Domestic","Space heating","Solid fuel","2017DomesticSpace heatingSolid fuel",521.159887297702
"508",2017,"Domestic","Water heating","Solid fuel","2017DomesticWater heatingSolid fuel",21.775799864107
"509",2017,"Domestic","Cooking/catering","Solid fuel","2017DomesticCooking/cateringSolid fuel",0
"510",2017,"Domestic","Heat total","Solid fuel","2017DomesticHeat totalSolid fuel",542.935687161809
"511",2017,"Domestic","Lighting and appliances","Solid fuel","2017DomesticLighting and appliancesSolid fuel",0
"512",2017,"Domestic","Overall total","Solid fuel","2017DomesticOverall totalSolid fuel",542.935687161809
"513",2017,"Service","Space heating","Solid fuel","2017ServiceSpace heatingSolid fuel",0
"514",2017,"Service","Water heating","Solid fuel","2017ServiceWater heatingSolid fuel",0
"515",2017,"Service","Cooking/catering","Solid fuel","2017ServiceCooking/cateringSolid fuel",0
"516",2017,"Service","Heat total","Solid fuel","2017ServiceHeat totalSolid fuel",0
"517",2017,"Service","Computing","Solid fuel","2017ServiceComputingSolid fuel",0
"518",2017,"Service","Cooling and ventilation","Solid fuel","2017ServiceCooling and ventilationSolid fuel",0
"519",2017,"Service","Lighting","Solid fuel","2017ServiceLightingSolid fuel",0
"520",2017,"Service","Other","Solid fuel","2017ServiceOtherSolid fuel",0
"521",2017,"Service","Overall total","Solid fuel","2017ServiceOverall totalSolid fuel",0
"522",2017,"Industry","Space heating","Solid fuel","2017IndustrySpace heatingSolid fuel",58.302326421384
"523",2017,"Industry","High temperature process","Solid fuel","2017IndustryHigh temperature processSolid fuel",364.589461563656
"524",2017,"Industry","Low temperature process","Solid fuel","2017IndustryLow temperature processSolid fuel",143.356562485465
"525",2017,"Industry","Drying/separation","Solid fuel","2017IndustryDrying/separationSolid fuel",74.8195003117095
"526",2017,"Industry","Unkown (heat)","Solid fuel","2017IndustryUnkown (heat)Solid fuel",0
"527",2017,"Industry","Heat total","Solid fuel","2017IndustryHeat totalSolid fuel",641.067850782214
"528",2017,"Industry","Motors","Solid fuel","2017IndustryMotorsSolid fuel",0
"529",2017,"Industry","Compressed air","Solid fuel","2017IndustryCompressed airSolid fuel",0
"530",2017,"Industry","Lighting","Solid fuel","2017IndustryLightingSolid fuel",0
"531",2017,"Industry","Refrigeration","Solid fuel","2017IndustryRefrigerationSolid fuel",0
"532",2017,"Industry","Other","Solid fuel","2017IndustryOtherSolid fuel",64.1745109930738
"533",2017,"Industry","Overall total","Solid fuel","2017IndustryOverall totalSolid fuel",705.242361775288
"534",2017,"Transport","Non-heat purposes","Solid fuel","2017TransportNon-heat purposesSolid fuel",10.7669216032342
"535",2017,"Total","Space heating","Solid fuel","2017TotalSpace heatingSolid fuel",579.462213719086
"536",2017,"Total","Water heating","Solid fuel","2017TotalWater heatingSolid fuel",21.775799864107
"537",2017,"Total","Cooking/catering","Solid fuel","2017TotalCooking/cateringSolid fuel",0
"538",2017,"Total","Process use","Solid fuel","2017TotalProcess useSolid fuel",507.94602404912
"539",2017,"Total","Drying/separation","Solid fuel","2017TotalDrying/separationSolid fuel",74.8195003117095
"540",2017,"Total","Unkown (heat)","Solid fuel","2017TotalUnkown (heat)Solid fuel",0
"541",2017,"Total","Heat total","Solid fuel","2017TotalHeat totalSolid fuel",1184.00353794402
"542",2017,"Total","Computing","Solid fuel","2017TotalComputingSolid fuel",0
"543",2017,"Total","Cooling and ventilation","Solid fuel","2017TotalCooling and ventilationSolid fuel",0
"544",2017,"Total","Lighting and appliances","Solid fuel","2017TotalLighting and appliancesSolid fuel",0
"545",2017,"Total","Motors","Solid fuel","2017TotalMotorsSolid fuel",0
"546",2017,"Total","Compressed air","Solid fuel","2017TotalCompressed airSolid fuel",0
"547",2017,"Total","Refrigeration","Solid fuel","2017TotalRefrigerationSolid fuel",0
"548",2017,"Total","Other","Solid fuel","2017TotalOtherSolid fuel",64.1745109930738
"549",2017,"Total","Transport","Solid fuel","2017TotalTransportSolid fuel",10.7669216032342
"550",2017,"Total","Non-heat total","Solid fuel","2017TotalNon-heat totalSolid fuel",74.9414325963081
"551",2017,"Total","Overall total","Solid fuel","2017TotalOverall totalSolid fuel",1258.94497054033
"552",2017,"Total","Overall total excluding transport","Solid fuel","2017TotalOverall total excluding transportSolid fuel",1248.1780489371
"553",2020,"Domestic","Space heating","Electricity","2020DomesticSpace heatingElectricity",1474.7434582254
"554",2020,"Domestic","Water heating","Electricity","2020DomesticWater heatingElectricity",405.265076683648
"555",2020,"Domestic","Cooking/catering","Electricity","2020DomesticCooking/cateringElectricity",518.424211248088
"556",2020,"Domestic","Heat total","Electricity","2020DomesticHeat totalElectricity",2398.43274615714
"557",2020,"Domestic","Lighting and appliances","Electricity","2020DomesticLighting and appliancesElectricity",6874.73195834627
"558",2020,"Domestic","Overall total","Electricity","2020DomesticOverall totalElectricity",9273.16470450341
"559",2020,"Service","Space heating","Electricity","2020ServiceSpace heatingElectricity",659.56284022549
"560",2020,"Service","Water heating","Electricity","2020ServiceWater heatingElectricity",139.972899610507
"561",2020,"Service","Cooking/catering","Electricity","2020ServiceCooking/cateringElectricity",657.479907853294
"562",2020,"Service","Heat total","Electricity","2020ServiceHeat totalElectricity",1457.01564768929
"563",2020,"Service","Computing","Electricity","2020ServiceComputingElectricity",712.765590114844
"564",2020,"Service","Cooling and ventilation","Electricity","2020ServiceCooling and ventilationElectricity",918.878804978612
"565",2020,"Service","Lighting","Electricity","2020ServiceLightingElectricity",1565.14326317928
"566",2020,"Service","Other","Electricity","2020ServiceOtherElectricity",2199.15669404823
"567",2020,"Service","Overall total","Electricity","2020ServiceOverall totalElectricity",6852.96000001025
"568",2020,"Industry","Space heating","Electricity","2020IndustrySpace heatingElectricity",619.929384339483
"569",2020,"Industry","High temperature process","Electricity","2020IndustryHigh temperature processElectricity",803.401952966045
"570",2020,"Industry","Low temperature process","Electricity","2020IndustryLow temperature processElectricity",1385.71403172776
"571",2020,"Industry","Drying/separation","Electricity","2020IndustryDrying/separationElectricity",503.964382867756
"572",2020,"Industry","Unkown (heat)","Electricity","2020IndustryUnkown (heat)Electricity",0
"573",2020,"Industry","Heat total","Electricity","2020IndustryHeat totalElectricity",3313.00975190104
"574",2020,"Industry","Motors","Electricity","2020IndustryMotorsElectricity",2683.29695827286
"575",2020,"Industry","Compressed air","Electricity","2020IndustryCompressed airElectricity",755.376166693148
"576",2020,"Industry","Lighting","Electricity","2020IndustryLightingElectricity",229.315814826352
"577",2020,"Industry","Refrigeration","Electricity","2020IndustryRefrigerationElectricity",443.534523982769
"578",2020,"Industry","Other","Electricity","2020IndustryOtherElectricity",385.743323356266
"579",2020,"Industry","Overall total","Electricity","2020IndustryOverall totalElectricity",7810.27653903244
"580",2020,"Transport","Non-heat purposes","Electricity","2020TransportNon-heat purposesElectricity",431.097605892104
"581",2020,"Total","Space heating","Electricity","2020TotalSpace heatingElectricity",2754.23568279037
"582",2020,"Total","Water heating","Electricity","2020TotalWater heatingElectricity",545.237976294155
"583",2020,"Total","Cooking/catering","Electricity","2020TotalCooking/cateringElectricity",1175.90411910138
"584",2020,"Total","Process use","Electricity","2020TotalProcess useElectricity",2189.1159846938
"585",2020,"Total","Drying/separation","Electricity","2020TotalDrying/separationElectricity",503.964382867756
"586",2020,"Total","Unkown (heat)","Electricity","2020TotalUnkown (heat)Electricity",0
"587",2020,"Total","Heat total","Electricity","2020TotalHeat totalElectricity",7168.45814574747
"588",2020,"Total","Computing","Electricity","2020TotalComputingElectricity",712.765590114844
"589",2020,"Total","Cooling and ventilation","Electricity","2020TotalCooling and ventilationElectricity",918.878804978612
"590",2020,"Total","Lighting and appliances","Electricity","2020TotalLighting and appliancesElectricity",8669.19103635191
"591",2020,"Total","Motors","Electricity","2020TotalMotorsElectricity",2683.29695827286
"592",2020,"Total","Compressed air","Electricity","2020TotalCompressed airElectricity",755.376166693148
"593",2020,"Total","Refrigeration","Electricity","2020TotalRefrigerationElectricity",443.534523982769
"594",2020,"Total","Other","Electricity","2020TotalOtherElectricity",2584.90001740449
"595",2020,"Total","Transport","Electricity","2020TotalTransportElectricity",431.097605892104
"596",2020,"Total","Non-heat total","Electricity","2020TotalNon-heat totalElectricity",17199.0407036907
"597",2020,"Total","Overall total","Electricity","2020TotalOverall totalElectricity",24367.4988494382
"598",2020,"Total","Overall total excluding transport","Electricity","2020TotalOverall total excluding transportElectricity",23936.4012435461
"599",2019,"Domestic","Space heating","Electricity","2019DomesticSpace heatingElectricity",1419.74439987274
"600",2019,"Domestic","Water heating","Electricity","2019DomesticWater heatingElectricity",390.151127558122
"601",2019,"Domestic","Cooking/catering","Electricity","2019DomesticCooking/cateringElectricity",499.090107213358
"602",2019,"Domestic","Heat total","Electricity","2019DomesticHeat totalElectricity",2308.98563464422
"603",2019,"Domestic","Lighting and appliances","Electricity","2019DomesticLighting and appliancesElectricity",6618.34581740281
"604",2019,"Domestic","Overall total","Electricity","2019DomesticOverall totalElectricity",8927.33145204703
"605",2019,"Service","Space heating","Electricity","2019ServiceSpace heatingElectricity",746.095718575624
"606",2019,"Service","Water heating","Electricity","2019ServiceWater heatingElectricity",158.336969196614
"607",2019,"Service","Cooking/catering","Electricity","2019ServiceCooking/cateringElectricity",743.73951105422
"608",2019,"Service","Heat total","Electricity","2019ServiceHeat totalElectricity",1648.17219882646
"609",2019,"Service","Computing","Electricity","2019ServiceComputingElectricity",806.278526775259
"610",2019,"Service","Cooling and ventilation","Electricity","2019ServiceCooling and ventilationElectricity",1039.43324346479
"611",2019,"Service","Lighting","Electricity","2019ServiceLightingElectricity",1770.48586790656
"612",2019,"Service","Other","Electricity","2019ServiceOtherElectricity",2487.68016303853
"613",2019,"Service","Overall total","Electricity","2019ServiceOverall totalElectricity",7752.0500000116
"614",2019,"Industry","Space heating","Electricity","2019IndustrySpace heatingElectricity",619.929384339483
"615",2019,"Industry","High temperature process","Electricity","2019IndustryHigh temperature processElectricity",803.401952966045
"616",2019,"Industry","Low temperature process","Electricity","2019IndustryLow temperature processElectricity",1385.71403172776
"617",2019,"Industry","Drying/separation","Electricity","2019IndustryDrying/separationElectricity",503.964382867756
"618",2019,"Industry","Unkown (heat)","Electricity","2019IndustryUnkown (heat)Electricity",0
"619",2019,"Industry","Heat total","Electricity","2019IndustryHeat totalElectricity",3313.00975190104
"620",2019,"Industry","Motors","Electricity","2019IndustryMotorsElectricity",2683.29695827286
"621",2019,"Industry","Compressed air","Electricity","2019IndustryCompressed airElectricity",755.376166693148
"622",2019,"Industry","Lighting","Electricity","2019IndustryLightingElectricity",229.315814826352
"623",2019,"Industry","Refrigeration","Electricity","2019IndustryRefrigerationElectricity",443.534523982769
"624",2019,"Industry","Other","Electricity","2019IndustryOtherElectricity",385.743323356266
"625",2019,"Industry","Overall total","Electricity","2019IndustryOverall totalElectricity",7810.27653903244
"626",2019,"Transport","Non-heat purposes","Electricity","2019TransportNon-heat purposesElectricity",486.213365640277
"627",2019,"Total","Space heating","Electricity","2019TotalSpace heatingElectricity",2785.76950278784
"628",2019,"Total","Water heating","Electricity","2019TotalWater heatingElectricity",548.488096754736
"629",2019,"Total","Cooking/catering","Electricity","2019TotalCooking/cateringElectricity",1242.82961826758
"630",2019,"Total","Process use","Electricity","2019TotalProcess useElectricity",2189.1159846938
"631",2019,"Total","Drying/separation","Electricity","2019TotalDrying/separationElectricity",503.964382867756
"632",2019,"Total","Unkown (heat)","Electricity","2019TotalUnkown (heat)Electricity",0
"633",2019,"Total","Heat total","Electricity","2019TotalHeat totalElectricity",7270.16758537172
"634",2019,"Total","Computing","Electricity","2019TotalComputingElectricity",806.278526775259
"635",2019,"Total","Cooling and ventilation","Electricity","2019TotalCooling and ventilationElectricity",1039.43324346479
"636",2019,"Total","Lighting and appliances","Electricity","2019TotalLighting and appliancesElectricity",8618.14750013572
"637",2019,"Total","Motors","Electricity","2019TotalMotorsElectricity",2683.29695827286
"638",2019,"Total","Compressed air","Electricity","2019TotalCompressed airElectricity",755.376166693148
"639",2019,"Total","Refrigeration","Electricity","2019TotalRefrigerationElectricity",443.534523982769
"640",2019,"Total","Other","Electricity","2019TotalOtherElectricity",2873.4234863948
"641",2019,"Total","Transport","Electricity","2019TotalTransportElectricity",486.213365640277
"642",2019,"Total","Non-heat total","Electricity","2019TotalNon-heat totalElectricity",17705.7037713596
"643",2019,"Total","Overall total","Electricity","2019TotalOverall totalElectricity",24975.8713567313
"644",2019,"Total","Overall total excluding transport","Electricity","2019TotalOverall total excluding transportElectricity",24489.6579910911
"645",2018,"Domestic","Space heating","Electricity","2018DomesticSpace heatingElectricity",1436.69632709984
"646",2018,"Domestic","Water heating","Electricity","2018DomesticWater heatingElectricity",394.809581236495
"647",2018,"Domestic","Cooking/catering","Electricity","2018DomesticCooking/cateringElectricity",505.049306050842
"648",2018,"Domestic","Heat total","Electricity","2018DomesticHeat totalElectricity",2336.55521438717
"649",2018,"Domestic","Lighting and appliances","Electricity","2018DomesticLighting and appliancesElectricity",6697.369701329
"650",2018,"Domestic","Overall total","Electricity","2018DomesticOverall totalElectricity",9033.92491571617
"651",2018,"Service","Space heating","Electricity","2018ServiceSpace heatingElectricity",763.081991028899
"652",2018,"Service","Water heating","Electricity","2018ServiceWater heatingElectricity",161.941808135154
"653",2018,"Service","Cooking/catering","Electricity","2018ServiceCooking/cateringElectricity",760.672140011201
"654",2018,"Service","Heat total","Electricity","2018ServiceHeat totalElectricity",1685.69593917525
"655",2018,"Service","Computing","Electricity","2018ServiceComputingElectricity",824.634974062178
"656",2018,"Service","Cooling and ventilation","Electricity","2018ServiceCooling and ventilationElectricity",1063.0978964455
"657",2018,"Service","Lighting","Electricity","2018ServiceLightingElectricity",1810.79430900625
"658",2018,"Service","Other","Electricity","2018ServiceOtherElectricity",2544.31688132269
"659",2018,"Service","Overall total","Electricity","2018ServiceOverall totalElectricity",7928.54000001187
"660",2018,"Industry","Space heating","Electricity","2018IndustrySpace heatingElectricity",1029.92998010511
"661",2018,"Industry","High temperature process","Electricity","2018IndustryHigh temperature processElectricity",1156.52232290816
"662",2018,"Industry","Low temperature process","Electricity","2018IndustryLow temperature processElectricity",1904.01066367596
"663",2018,"Industry","Drying/separation","Electricity","2018IndustryDrying/separationElectricity",697.618150846175
"664",2018,"Industry","Unkown (heat)","Electricity","2018IndustryUnkown (heat)Electricity",0
"665",2018,"Industry","Heat total","Electricity","2018IndustryHeat totalElectricity",4788.0811175354
"666",2018,"Industry","Motors","Electricity","2018IndustryMotorsElectricity",3660.91710353235
"667",2018,"Industry","Compressed air","Electricity","2018IndustryCompressed airElectricity",882.344787576966
"668",2018,"Industry","Lighting","Electricity","2018IndustryLightingElectricity",310.262025885764
"669",2018,"Industry","Refrigeration","Electricity","2018IndustryRefrigerationElectricity",386.477292243084
"670",2018,"Industry","Other","Electricity","2018IndustryOtherElectricity",489.740500094046
"671",2018,"Industry","Overall total","Electricity","2018IndustryOverall totalElectricity",10517.8228268676
"672",2018,"Transport","Non-heat purposes","Electricity","2018TransportNon-heat purposesElectricity",428.507927997274
"673",2018,"Total","Space heating","Electricity","2018TotalSpace heatingElectricity",3229.70829823384
"674",2018,"Total","Water heating","Electricity","2018TotalWater heatingElectricity",556.751389371649
"675",2018,"Total","Cooking/catering","Electricity","2018TotalCooking/cateringElectricity",1265.72144606204
"676",2018,"Total","Process use","Electricity","2018TotalProcess useElectricity",3060.53298658412
"677",2018,"Total","Drying/separation","Electricity","2018TotalDrying/separationElectricity",697.618150846175
"678",2018,"Total","Unkown (heat)","Electricity","2018TotalUnkown (heat)Electricity",0
"679",2018,"Total","Heat total","Electricity","2018TotalHeat totalElectricity",8810.33227109783
"680",2018,"Total","Computing","Electricity","2018TotalComputingElectricity",824.634974062178
