"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"
"Latvia"	"0"	"0"	"0"	"0"	"0.017999999999999999"	"0.42499999999999999"	"1.3859999999999999"	"1.556"	"1.768"	"2.1349999999999998"	"4.4169999999999998"	"3.4329999999999998"	"11.242000000000001"	"48.445999999999998"	"49.146999999999998"	"46.853999999999999"	"46.212000000000003"	"52.929000000000002"	"59.100000000000001"	"50.088999999999999"	"49.057000000000002"	"70.894000000000005"	"114.26600000000001"	"120.05500000000001"	139.712	147.135	127.889	150	"122.038"
"Lithuania"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1719999999999999"	"1.7749999999999999"	"13.749000000000001"	"106.11799999999999"	"131.054"	"157.68000000000001"	"223.97800000000001"	"474.99599999999998"	"540.13"	"602.721"	639.094	810.335	1135.938	1363.841	"1144"
"Luxembourg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"11"	"18"	"24.742999999999999"	"23.739999999999998"	"24.478999999999999"	"26.167999999999999"	"39.399000000000001"	"52.250999999999998"	"57.985999999999997"	"64.286000000000001"	"60.588999999999999"	"63.472000000000001"	"55.082999999999998"	"64.049999999999997"	"77.465999999999994"	"83.027000000000001"	79.876	101.848	101.486	234.823	"254.57499999999999"
"Hungary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"5.5499999999999998"	"10.095000000000001"	"43.363999999999997"	"110"	"204.828"	"330.93000000000001"	"533.79200000000003"	"625.69299999999998"	"769.99199999999996"	"717.50999999999999"	656.54	693.323	683.692	758	"607"
"Malta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.074999999999999997"	"0.085000000000000006"	0.058	0.058	0.058	0.058	"0.058000000000000003"
"Netherlands"	"56"	"88"	"147"	"174"	"238"	"317"	"437"	"475"	"640"	"645"	"829.02999999999997"	"825.41999999999996"	"947.37099999999998"	"1319.778"	"1870.5809999999999"	"2066.6550000000002"	"2734.2910000000002"	"3438.0259999999998"	"4259.7110000000002"	"4580.6229999999996"	"3993.1370000000002"	"5100.1710000000003"	"4981.8289999999997"	"5627.1469999999999"	5797.335	7549.874	8170.455	10568.813	"10563.647000000001"
"Austria"	"0"	"0"	"0"	"0.002"	"0.29999999999999999"	"0.74399999999999999"	"4.6369999999999996"	"20.219000000000001"	"45.448"	"50.555999999999997"	"66.754000000000005"	"104.64700000000001"	"139.81800000000001"	"372.279"	"933.62800000000004"	"1331.277"	"1752.7929999999999"	"2037.1849999999999"	"2011.2570000000001"	"1954.04"	"2063.9140000000002"	"1936.1959999999999"	"2462.864"	"3152.433"	3845.675	4840.321	5234.838	6571.511	"6030.4290000000001"
"Poland"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"4"	"5"	"14"	"61"	"124"	"142.31899999999999"	"135.47"	"256.077"	"521.58199999999999"	"836.80100000000004"	"1077.278"	"1664.3389999999999"	"3204.5479999999998"	"4746.5900000000001"	"6003.8059999999996"	7675.629	10858.365	12587.59	14909.041	"12798.791999999999"
"Portugal"	"1"	"1"	"4"	"11"	"17"	"16"	"21"	"38"	"89"	"123"	"168"	"256"	"362"	"496"	"816.33000000000004"	"1773.2629999999999"	"2925.4720000000002"	"4036.7080000000001"	"5757.3800000000001"	"7576.9629999999997"	"9181.5720000000001"	"9161.6119999999992"	"10259.778"	"12014.601000000001"	12111.395	11607.638	12474.096	12247.853	"12616.584000000001"
"Romania"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.22700000000000001"	"0.55600000000000005"	"2.524"	"4.9779999999999998"	"9.0690000000000008"	"306.34800000000001"	"1387.2"	"2639.875"	"4520.21"	6200.91	7062.93	6590	7406.702	"6322.2190000000001"
"Slovenia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4.2210000000000001"	4.209	6.028	5.778	5.716	"6.0209999999999999"
"Slovakia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"6"	"6"	"8"	"7"	"6"	"6"	"5"	"6"	"6"	6	6	6	6	"6"
"Finland"	"0"	"0"	"2"	"4"	"7"	"11"	"11"	"17"	"23"	"49"	"78"	"70"	"64"	"93"	"120.34399999999999"	"169.94200000000001"	"155.64099999999999"	"188.40799999999999"	"260.51999999999998"	"276.62400000000002"	"294.31700000000001"	"481.39299999999997"	"494.32299999999998"	"773.69200000000001"	1107.172	2327.359	3068.041	4795.192	"5838.6679999999997"
"Sweden"	"6"	"13"	"31"	"48"	"72"	"99"	"144"	"203"	"317"	"358"	"457"	"482"	"608"	"679"	"860"	"935"	"984"	"1426"	"1998"	"2491"	"3487"	"6107"	"7164"	"9842"	11235	16322	15479	17609	"16623"
"United Kingdom"	"9"	"11"	"40"	"218"	"342"	"391"	"488"	"667"	"877"	"850"	"947"	"965.08600000000001"	"1256.0239999999999"	"1285.3499999999999"	"1935.075"	"2903.8919999999998"	"4225.0529999999999"	"5273.8180000000002"	"7121.5249999999996"	"9280.9719999999998"	"10285.639999999999"	"15962.966"	"19847.121999999999"	"28397.018"	31959.319	40274.719	37154.944	49633.055	"56903.961000000003"
"Iceland"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.75"	8.386	10.894	9.21	8.127	":"
"Norway"	"0"	"0"	"0"	"7"	"9"	"10"	"9"	"11"	"11"	"25"	"31"	"27"	"75"	"218"	"252"	"499"	"636"	"892"	"913"	"977"	"879"	"1283"	"1548"	"1881"	2217	2515	2116	2852	":"
"Montenegro"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	97	":"
"North Macedonia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	70.632	120.768	109.482	110.48	":"
"Albania"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	0	":"
"Serbia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	26	48.457	"150.41800000000001"
"Turkey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"21"	"33"	"62"	"48"	"61"	"58"	"59"	"126.544"	"355.11099999999999"	"847.03399999999999"	"1495.3689999999999"	"2916.373"	"4723.8729999999996"	"5860.79"	"7557.5069999999996"	8520.141	11652.487	15517.087	17903.815	":"
"Bosnia and Herzegovina"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	0	0	0	0	":"
"Kosovo (under United Nations Security Council Resolution 1244/99)"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0.28100000000000003"	"0"	"0"	0.38	0.354	0.118	0.345	":"
"Ukraine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"6"	"16"	"22"	"31"	"33"	"37.600000000000001"	"34.600000000000001"	"45.100000000000001"	"45.299999999999997"	"43"	"50.899999999999999"	"89.5"	"288.19999999999999"	"638.60000000000002"	1130.2	1084.4	953.8	983.4	":"
"Georgia"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	":"	"0"	0	0	9	87.8	":"
