"Date"	"ScotDemand"	"ScotProp"	"NITransfer"	"NIProp"	"EnglandTransfer"	"EnglandProp"	"Fergus"	"GBTotal"	"FergusUKProp"
2019-07-29	124.338077	0.211982501861022	118.3	0.201688256527877	343.910699	0.586329241611102	586.548776	1687.479292	0.34758872525471
2019-07-30	108.832105	0.179677865594377	104.355556	0.172287245248031	392.519139	0.648034889157592	605.7068	1608.617063	0.376538838193338
2019-07-31	72.930333	0.141092726273491	101.2	0.195783884585818	342.766143	0.663123389140691	516.896476	1514.602333	0.341275372906744
2019-08-01	65.11205	0.131887750015429	117.033333	0.237056934410396	311.547549	0.631055315574176	493.692932	1604.705971	0.307653203092618
2019-08-02	59.185736	0.129526125398809	108.255556	0.236913886169698	289.499235	0.633559988431492	456.940527	1680.933877	0.271837300236647
2019-08-03	54.767986	0.117558537369738	92.777778	0.199145900345765	318.332659	0.683295562284498	465.878423	1446.80833	0.32200424433553
2019-08-04	56.360082	0.124386795069376	93.211111	0.205717077596621	303.532225	0.669896127334003	453.103418	1348.164198	0.336089193491548
2019-08-05	93.020776	0.187701829869534	85.044444	0.171606800603739	317.512133	0.640691369526727	495.577353	1401.471598	0.353612127214868
2019-08-06	87.841185	0.171604424910439	85.044444	0.166140779003016	338.996189	0.662254796086545	511.881818	1390.735797	0.368065465133059
2019-08-07	68.585946	0.12024517095541	99.377778	0.174229541206281	402.420479	0.70552528783831	570.384203	1477.958147	0.385927168612847
2019-08-08	81.288268	0.132198867567105	98.088889	0.159521667342149	435.516673	0.708279465090746	614.89383	1657.36052	0.371007890305001
2019-08-09	61.876832	0.104593828809751	77.166667	0.130439081917074	452.548115	0.764967089273175	591.591614	1564.653266	0.378097580374718
2019-08-10	55.270788	0.0920369215492429	69.677778	0.116027442697426	475.579864	0.791935635753331	600.52843	1478.608922	0.406144194766329
2019-08-11	66.890978	0.132633860590859	10.591111	0.0210004395492067	426.845974	0.846365699859934	504.328063	1411.556584	0.357285048801133
2019-08-12	83.230387	0.164107659542401	115.288889	0.22731829596123	308.650147	0.608574044496369	507.169423	1740.543531	0.291385658541165
2019-08-13	82.789962	0.16541306819902	12.242222	0.0244597708909873	405.472177	0.810127160909992	500.504361	1681.938795	0.297575846688286
2019-08-14	83.131468	0.169893616960401	99.988889	0.204344689402839	306.194483	0.625761693636759	489.31484	1628.761103	0.300421491585682
2019-08-15	71.275897	0.151249832139203	78.255556	0.166060901470801	321.71467	0.682689266389996	471.246123	1423.235261	0.331109083588114
2019-08-16	64.193818	0.139531581671082	47.477778	0.103197623462254	348.394987	0.757270794866664	460.066583	1491.234911	0.308513822742713
