"Date"	"Fergus"	"GBTotal"	"UKProp"
2016-08-01	781.615301	1926.535414	0.405710320879676
2016-08-02	781.615301	1897.011732	0.412024495059897
2016-08-03	754.337574	1663.986569	0.453331528062352
2016-08-04	695.886974	1678.851188	0.414501880198807
2016-08-05	482.687425	1742.691857	0.276978068762503
2016-08-06	453.893086	1276.146015	0.355674884115827
2016-08-07	396.842881	1210.307933	0.32788587943594
2016-08-08	392.278245	1367.692829	0.286817505131483
2016-08-09	459.942619	1547.550686	0.297206820533179
2016-08-10	503.040586	1735.547094	0.289845540774476
2016-08-11	492.807378	1529.764905	0.322145825407075
2016-08-12	489.282911	1508.128427	0.324430534058224
2016-08-13	496.781925	1678.504711	0.295966953053133
2016-08-14	518.244716	1728.049676	0.299901515099731
2016-08-15	547.430511	1623.217469	0.337250258486468
2016-08-16	533.217597	1928.106119	0.276549922094822
2016-08-17	541.67133	1831.921323	0.295684821831183
2016-08-18	619.773233	1893.004301	0.327401914867599
2016-08-19	707.929616	1764.362421	0.401238207963397
2016-08-20	690.069887	1595.613977	0.432479219251662
2016-08-21	761.156764	1670.111833	0.45575197358655
2016-08-22	832.357978	2029.92503	0.410043703929302
2016-08-23	867.67098	1975.890368	0.439129110628875
2016-08-24	918.553658	1923.3866	0.477570997947059
2016-08-25	964.735852	1990.397374	0.484695098879285
2016-08-26	1006.071787	1892.662408	0.53156431001508
2016-08-27	994.028939	1805.208666	0.55064489647204
2016-08-28	919.123163	1806.341628	0.508831302314426
2016-08-29	1024.371228	1999.314477	0.512361231704321
2016-08-30	997.256513	2114.764828	0.47156851664832
2016-08-31	982.154817	2106.549629	0.46623863187417
2016-09-01	977.99616	2155.461308	0.45372939721542
2016-09-02	1006.488605	2175.114108	0.462729105244717
2016-09-03	994.574187	2032.619699	0.48930657687186
2016-09-04	911.271122	1979.356607	0.460387541475491
2016-09-05	760.925542	2194.477902	0.34674559324863
2016-09-07	998.118349	2166.140263	0.460781956759187
2016-09-08	1037.899267	2256.048491	0.460051843362617
2016-09-09	989.764068	2176.305285	0.454791005113972
2016-09-10	1028.102036	2100.712919	0.489406251897287
2016-09-11	1045.610138	2047.201214	0.510751034558541
