"Date"	"ScotDemand"	"ScotProp"	"NITransfer"	"NIProp"	"EnglandTransfer"	"EnglandProp"	"Fergus"	"GBTotal"	"FergusUKProp"
2015-01-31	152.718943372603	0.269398247300518	170.500557772603	0.321700882535471	234.1533496	0.408900870164011	557.372850745205	2389.97213378082	0.235067711806951
2015-02-28	151.915074345205	0.264012045701424	171.941483534247	0.320559210751297	242.185931126027	0.415428743547279	566.042489005479	2423.05815110137	0.235284687764194
2015-03-31	150.426852687671	0.254342569350721	171.902280810959	0.31456820977446	258.720368605479	0.431089220874818	581.049502104109	2446.40318068493	0.238633899778862
2015-04-30	150.420023183562	0.246663388154715	174.208651641096	0.310078788685645	274.443215186301	0.44325782315964	599.071890010959	2447.52510745205	0.246520432856998
2015-05-31	152.723354306849	0.247152494565106	172.856608441096	0.302415181246035	282.971068221918	0.45043232418886	608.551030969863	2448.08502387123	0.250798120478977
2015-06-30	154.296659619178	0.245390820899424	172.033566238356	0.292153317278664	297.52837009863	0.462455861821912	623.858595956164	2442.72235359178	0.259240435498581
2015-07-31	154.991538610959	0.242879003170267	172.452416216438	0.284990278205211	311.258873249315	0.472130718624522	638.702828076712	2440.2348261726	0.267447731970868
2015-08-31	154.347779191781	0.234937795452746	173.066700619178	0.27407588026229	323.6867752	0.490986324284963	651.101255010959	2467.8129009589	0.270848813563308
2015-09-30	155.358238972603	0.234297339980097	172.977739660274	0.269304367688907	329.549562558904	0.496398292330996	657.885541191781	2491.49597746849	0.271038215369804
2015-10-31	155.256870290411	0.229329394437813	175.217143528767	0.266774991802037	341.73313679726	0.50389561376015	672.207150616438	2517.55794592055	0.274043761744554
2015-11-30	156.052002427397	0.222407469548046	174.882260093151	0.25860422824633	361.235870243836	0.518988302205624	692.170132764384	2526.69150595616	0.280511648845081
2015-12-31	154.804902876712	0.220234599415737	173.664768205479	0.256572293131028	364.854240136986	0.523193107453235	693.323911219178	2481.65356478356	0.28545151317208
2016-01-31	154.891791339726	0.218851393242019	169.694107279452	0.250283759426207	371.42887660274	0.530864847331774	696.014775221918	2459.95599255342	0.288178014130274
2016-02-29	156.478241460274	0.222029448401703	166.668700589041	0.24671334345588	370.247031610959	0.531257208142417	693.393973660274	2436.79581597534	0.288929712732562
2016-03-31	157.309240589041	0.221300534767749	163.518119747945	0.241372939065067	377.714977257534	0.537326526167184	698.542337594521	2432.34853462466	0.291104955083102
2016-04-30	160.673727213699	0.223090316595624	159.206682684932	0.233407395049431	388.328770758904	0.543502288354945	708.209180657534	2459.90131907397	0.291452471517833
2016-05-31	159.389620863014	0.217293102871815	154.17568970137	0.222402329474866	410.715280712329	0.560304567653319	724.280591276712	2466.67023474794	0.297805419918796
2016-06-30	159.212163413699	0.215694329246105	147.529894989041	0.211234461044339	424.257633438356	0.573071209709556	730.999691841096	2458.6430368411	0.302934367880808
2016-07-31	159.398651709589	0.212955764531307	138.652676460274	0.195317363596652	453.019824608219	0.591726871872042	751.071152778082	2469.63897999452	0.311003064831651
2016-08-31	158.752664956164	0.208935257562899	131.29925269863	0.177149811372423	477.379770665753	0.613914931064678	767.431688320548	2440.9803822137	0.323676059992972
