"","Ref","County","Planning Authority","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"301",4605,"Strathclyde","Argyll and Bute Council","Wind Onshore","Under Construction",NA,35,14,"Argyll and Bute","S12000035"
"302",6113,"Argyll and Bute","Argyll and Bute Council","Advanced Conversion Technologies","Awaiting Construction",NA,5.5,0,"Argyll and Bute","S12000035"
"303",7305,"Argyll and Bute","Argyll and Bute Council","Small Hydro","Awaiting Construction",NA,0.4,0,"Argyll and Bute","S12000035"
"304",5962,"Argyll and Bute","Argyll and Bute Council","Small Hydro","Under Construction",NA,2,0,"Argyll and Bute","S12000035"
"305",7953,"Argyll and Bute","Argyll and Bute Council","Wind Onshore","Under Construction",NA,0.2,1,"Argyll and Bute","S12000035"
"306",3448,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2008-12-01,15,9,"Argyll and Bute","S12000035"
"307",6119,"Argyll and Bute","Argyll and Bute Council","Wind Onshore","Awaiting Construction",NA,47.6,14,"Argyll and Bute","S12000035"
"308",442,"Strathclyde","Argyll and Bute Council","Small Hydro","Operational",2016-08-15,1,0,"Argyll and Bute","S12000035"
"309",437,"Strathclyde","Argyll and Bute Council","Small Hydro","Operational",2012-08-30,2,0,"Argyll and Bute","S12000035"
"310",3467,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2002-12-26,12.8,15,"Argyll and Bute","S12000035"
"311",397,"Strathclyde","Argyll and Bute Council","Large Hydro","Operational",1951-01-01,8,0,"Argyll and Bute","S12000035"
"312",4937,"Argyll and Bute","Argyll and Bute Council","Wind Onshore","Awaiting Construction",NA,4,2,"Argyll and Bute","S12000035"
"313",4525,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2014-09-01,43.7,16,"Argyll and Bute","S12000035"
"314",6724,"Argyll and Bute","Argyll and Bute Council","Small Hydro","Awaiting Construction",NA,2,0,"Argyll and Bute","S12000035"
"315",4184,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2018-11-21,6.9,3,"Argyll and Bute","S12000035"
"316",5123,"Argyll and Bute","Argyll and Bute Council","Wind Onshore","Awaiting Construction",NA,26,13,"Argyll and Bute","S12000035"
"317",3298,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2010-08-04,19.3,23,"Argyll and Bute","S12000035"
"318",3585,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2004-01-31,33.3,35,"Argyll and Bute","S12000035"
"319",4328,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2015-12-20,6,3,"Argyll and Bute","S12000035"
"320",447,"Strathclyde","Argyll and Bute Council","Small Hydro","Operational",2016-08-16,2,0,"Argyll and Bute","S12000035"
"321",7459,"Argyll and Bute","Argyll and Bute Council","Wind Onshore","Application Submitted",NA,27,9,"Argyll and Bute","S12000035"
"322",3387,"Strathclyde","Argyll and Bute Council","Wind Onshore","Under Construction",NA,49.9,19,"Argyll and Bute","S12000035"
"324",461,"Strathclyde","Argyll and Bute Council","Small Hydro","Operational",1956-01-01,2,0,"Argyll and Bute","S12000035"
"325",452,"Strathclyde","Argyll and Bute Council","Small Hydro","Operational",2015-08-24,1,0,"Argyll and Bute","S12000035"
"326",7313,"Argyll and Bute","Argyll and Bute Council","Small Hydro","Under Construction",NA,0.4,0,"Argyll and Bute","S12000035"
"327",4024,"Strathclyde","Argyll and Bute Council","Wind Onshore","Operational",2011-06-17,6,7,"Argyll and Bute","S12000035"
"329",5795,"Clackmannanshire","Clackmannanshire Council","Solar Photovoltaics","Operational",2016-03-31,5,0,"Clackmannanshire","S12000005"
"330",4223,"Clackmannanshire","Clackmannanshire Council","Wind Onshore","Operational",2016-02-29,12,6,"Clackmannanshire","S12000005"
"331",2902,"Clackmannanshire","Clackmannanshire Council","Wind Onshore","Operational",2010-10-26,26,13,"Clackmannanshire","S12000005"
"332",6324,"Clackmannanshire","Clackmannanshire Council","Wind Onshore","Under Construction",NA,10.8,3,"Clackmannanshire","S12000005"
"333",4272,"Western Isles","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2015-07-17,9,3,"Comhairle nan Eilean Siar","S12000013"
"334",4629,"Highland","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2015-03-19,1.5,3,"Comhairle nan Eilean Siar","S12000013"
"335",3988,"Western Isles","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2015-09-15,2.7,3,"Comhairle nan Eilean Siar","S12000013"
"336",6673,"Comhairle nan Eilean Siar","Comhairle nan Eilean Siar Council","Wind Onshore","Application Submitted",NA,49.9,10,"Comhairle nan Eilean Siar","S12000013"
"337",6323,"Comhairle nan Eilean Siar","Comhairle nan Eilean Siar Council","Wind Onshore","Awaiting Construction",NA,5,1,"Comhairle nan Eilean Siar","S12000013"
"338",3306,"Western Isles","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2006-12-01,3.9,3,"Comhairle nan Eilean Siar","S12000013"
"339",4063,"Western Isles","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2013-03-28,13.8,6,"Comhairle nan Eilean Siar","S12000013"
"340",3670,"Western Isles","Comhairle nan Eilean Siar Council","Wind Onshore","Operational",2013-02-18,6.9,3,"Comhairle nan Eilean Siar","S12000013"
"341",6178,"Comhairle nan Eilean Siar","Comhairle nan Eilean Siar Council","Wind Onshore","Awaiting Construction",NA,5,1,"Comhairle nan Eilean Siar","S12000013"
"342",6645,"Comhairle nan Eilean Siar","Comhairle nan Eilean Siar Council","Wind Onshore","Awaiting Construction",NA,49.7,14,"Comhairle nan Eilean Siar","S12000013"
"345",4517,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2008-03-01,36.8,16,"Dumfries and Galloway","S12000006"
"346",8442,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,50,9,"Dumfries and Galloway","S12000006"
"347",4519,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2007-05-01,18.2,14,"Dumfries and Galloway","S12000006"
"348",4518,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2005-06-23,19.5,15,"Dumfries and Galloway","S12000006"
"349",8263,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,0,0,"Dumfries and Galloway","S12000006"
"350",4638,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2016-06-01,27.5,11,"Dumfries and Galloway","S12000006"
"351",4465,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2017-05-15,2.5,1,"Dumfries and Galloway","S12000006"
"352",6444,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,36,10,"Dumfries and Galloway","S12000006"
"353",4633,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Under Construction",NA,48,10,"Dumfries and Galloway","S12000006"
"354",7562,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2021-05-01,48,12,"Dumfries and Galloway","S12000006"
"355",7891,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,24,7,"Dumfries and Galloway","S12000006"
"356",4527,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",1996-10-01,21.6,36,"Dumfries and Galloway","S12000006"
"357",6751,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,18,5,"Dumfries and Galloway","S12000006"
"358",5392,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,49.4,24,"Dumfries and Galloway","S12000006"
"359",4514,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2015-11-15,1,2,"Dumfries and Galloway","S12000006"
"360",4520,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2008-03-15,30,15,"Dumfries and Galloway","S12000006"
"361",4441,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2018-02-01,32.4,9,"Dumfries and Galloway","S12000006"
"362",6590,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Under Construction",NA,37.8,9,"Dumfries and Galloway","S12000006"
"363",2858,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,20.7,9,"Dumfries and Galloway","S12000006"
"364",4508,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2010-01-20,22,11,"Dumfries and Galloway","S12000006"
"365",4454,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,5,5,"Dumfries and Galloway","S12000006"
"366",4449,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Under Construction",NA,30,15,"Dumfries and Galloway","S12000006"
"367",4466,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,24,8,"Dumfries and Galloway","S12000006"
"368",4445,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2012-09-01,9.1,7,"Dumfries and Galloway","S12000006"
"369",7654,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,38.4,8,"Dumfries and Galloway","S12000006"
"370",4491,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,8.2,4,"Dumfries and Galloway","S12000006"
"371",8119,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,50,9,"Dumfries and Galloway","S12000006"
"372",4632,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,25.6,8,"Dumfries and Galloway","S12000006"
"373",4462,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2017-03-15,35,14,"Dumfries and Galloway","S12000006"
"374",196,"Dumfries and Galloway","Dumfries and Galloway Council","Biomass (dedicated)","Operational",2007-12-15,50.4,0,"Dumfries and Galloway","S12000006"
"375",5963,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,32.4,9,"Dumfries and Galloway","S12000006"
"376",4524,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2007-10-01,10,4,"Dumfries and Galloway","S12000006"
"377",4529,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Under Construction",NA,4,2,"Dumfries and Galloway","S12000006"
"378",4501,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2014-01-15,15.3,18,"Dumfries and Galloway","S12000006"
"379",4437,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2017-03-15,25,10,"Dumfries and Galloway","S12000006"
"380",4435,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2013-08-27,8.1,4,"Dumfries and Galloway","S12000006"
"381",4502,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2018-04-30,25.3,11,"Dumfries and Galloway","S12000006"
"382",359,"Dumfries and Galloway","Dumfries and Galloway Council","Anaerobic Digestion","Operational",2015-12-01,1.2,0,"Dumfries and Galloway","S12000006"
"383",4492,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,25.6,8,"Dumfries and Galloway","S12000006"
"384",5116,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,20,8,"Dumfries and Galloway","S12000006"
"385",4430,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Under Construction",NA,43,12,"Dumfries and Galloway","S12000006"
"386",4484,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Operational",2015-07-15,2.4,3,"Dumfries and Galloway","S12000006"
"387",6099,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,42,12,"Dumfries and Galloway","S12000006"
"388",8807,"Dumfries and Galloway","Dumfries and Galloway Council","Solar Photovoltaics","Application Submitted",NA,0.215,0,"Dumfries and Galloway","S12000006"
"389",7608,"Dumfries and Galloway","Dumfries and Galloway Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Dumfries and Galloway","S12000006"
"390",7601,"Dumfries and Galloway","Dumfries and Galloway Council","Solar Photovoltaics","Awaiting Construction",NA,0.8,0,"Dumfries and Galloway","S12000006"
"391",8400,"Wigtownshire","Dumfries and Galloway Council","Wind Onshore","Application Submitted",NA,8.4,4,"Dumfries and Galloway","S12000006"
"392",5227,"Dumfries and Galloway","Dumfries and Galloway Council","Wind Onshore","Awaiting Construction",NA,19.8,6,"Dumfries and Galloway","S12000006"
"393",6171,"Tayside","Dundee City Council","EfW Incineration","Under Construction",NA,10,0,"Dundee City","S12000042"
"394",9650,"Tayside","Dundee City Council","Solar Photovoltaics","Application Submitted",NA,2,0,"Dundee City","S12000042"
"395",874,"Tayside","Dundee City Council","EfW Incineration","Operational",2000-03-31,8.3,0,"Dundee City","S12000042"
"396",4681,"Tayside","Dundee City Council","Wind Onshore","Operational",2006-05-20,4,2,"Dundee City","S12000042"
"397",4128,"Strathclyde","East Ayrshire Council","Wind Onshore","Under Construction",NA,45,15,"East Ayrshire","S12000008"
"398",6036,"Strathclyde","East Ayrshire Council","Wind Onshore","Awaiting Construction",NA,49.5,15,"East Ayrshire","S12000008"
"399",2711,"Strathclyde","East Ayrshire Council","Wind Onshore","Operational",2000-11-01,13.2,20,"East Ayrshire","S12000008"
"400",6175,"East Ayrshire","East Ayrshire Council","Wind Onshore","Awaiting Construction",NA,33,11,"East Ayrshire","S12000008"
"401",690,"Strathclyde","East Ayrshire Council","Landfill Gas","Operational",2003-12-29,1.3,0,"East Ayrshire","S12000008"
"402",8822,"East Ayrshire","East Ayrshire Council","Wind Onshore","Application Submitted",NA,34.2,9,"East Ayrshire","S12000008"
"403",4611,"Strathclyde","East Ayrshire Council","Wind Onshore","Awaiting Construction",NA,22.5,9,"East Ayrshire","S12000008"
"404",8432,"Strathclyde","East Ayrshire Council","Solar Photovoltaics","Awaiting Construction",NA,0,0,"East Ayrshire","S12000008"
"405",4389,"Strathclyde","East Ayrshire Council","Wind Onshore","Awaiting Construction",NA,4,2,"East Ayrshire","S12000008"
"406",9362,"East Ayrshire","East Ayrshire Council","EfW Incineration","Application Submitted",NA,12,0,"East Ayrshire","S12000008"
"407",4157,"Strathclyde","East Ayrshire Council","Wind Onshore","Operational",2016-09-15,29.8,35,"East Ayrshire","S12000008"
"408",746,"Strathclyde","East Ayrshire Council","Landfill Gas","Operational",2003-04-15,2.4,0,"East Ayrshire","S12000008"
"409",8417,"Strathclyde","East Ayrshire Council","Solar Photovoltaics","Application Submitted",NA,0,0,"East Ayrshire","S12000008"
"410",9076,"Strathclyde","East Ayrshire Council","Large Hydro","Application Submitted",NA,0,0,"East Ayrshire","S12000008"
"411",8353,"Ayrshire","East Ayrshire Council","EfW Incineration","Application Submitted",NA,15,0,"East Ayrshire","S12000008"
"412",8341,"Strathclyde","East Ayrshire Council","Solar Photovoltaics","Application Submitted",NA,0,0,"East Ayrshire","S12000008"
"413",7261,"East Ayrshire","East Ayrshire Council","Wind Onshore","Application Submitted",NA,36,8,"East Ayrshire","S12000008"
"414",6807,"East Ayrshire","East Ayrshire Council","Small Hydro","Awaiting Construction",NA,0.3,0,"East Ayrshire","S12000008"
"415",671,"Strathclyde","East Ayrshire Council","Landfill Gas","Operational",2003-12-29,3,0,"East Ayrshire","S12000008"
"416",5467,"East Ayrshire","East Ayrshire Council","EfW Incineration","Awaiting Construction",NA,12,0,"East Ayrshire","S12000008"
"417",793,"Lothian","East Lothian Council","Landfill Gas","Operational",2004-12-01,14,0,"East Lothian","S12000010"
"418",4516,"Lothian","East Lothian Council","Wind Onshore","Operational",2017-12-19,4.5,5,"East Lothian","S12000010"
"419",992,"Lothian","East Lothian Council","EfW Incineration","Operational",2019-03-01,25.6,0,"East Lothian","S12000010"
"420",333,"Lothian","East Lothian Council","Anaerobic Digestion","Operational",2016-01-01,1.5,0,"East Lothian","S12000010"
"421",6388,"East Lothian","East Lothian Council","Wind Onshore","Operational",2015-01-01,1.5,2,"East Lothian","S12000010"
"422",4526,"Lothian","East Lothian Council","Wind Onshore","Operational",2008-11-01,48,16,"East Lothian","S12000010"
"423",7745,"East Lothian","East Lothian Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"East Lothian","S12000010"
"424",4434,"Lothian","East Lothian Council","Wind Onshore","Operational",2019-03-29,5.1,6,"East Lothian","S12000010"
"425",5637,"East Lothian","East Lothian Council","Wind Onshore","Operational",2019-03-01,4.8,6,"East Lothian","S12000010"
"426",794,"Lothian","East Lothian Council","Landfill Gas","Operational",2004-12-01,2.2,0,"East Lothian","S12000010"
"427",3093,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2001-02-15,4.7,2,"East Renfrewshire","S12000011"
"428",7687,"East Renfrewshire","East Renfrewshire Council","Wind Onshore","Application Submitted",NA,15,3,"East Renfrewshire","S12000011"
"429",3702,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2013-09-04,12,6,"East Renfrewshire","S12000011"
"430",3855,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2014-11-12,4.3,2,"East Renfrewshire","S12000011"
"431",3090,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2001-11-01,1.8,2,"East Renfrewshire","S12000011"
"432",3383,"Strathclyde","East Renfrewshire Council","Wind Onshore","Awaiting Construction",NA,2.5,1,"East Renfrewshire","S12000011"
"433",3925,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2014-11-12,7.2,3,"East Renfrewshire","S12000011"
"434",9669,"Strathclyde","East Renfrewshire Council","Wind Onshore","Application Submitted",NA,4.2,1,"East Renfrewshire","S12000011"
"435",3857,"Strathclyde","East Renfrewshire Council","Wind Onshore","Operational",2013-05-13,9.2,4,"East Renfrewshire","S12000011"
"436",7943,"Lothian","Edinburgh City Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"City of Edinburgh","S12000036"
"437",7763,"Lothian","Edinburgh City Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"City of Edinburgh","S12000036"
"438",686,"Lothian","Edinburgh City Council","Landfill Gas","Operational",2003-02-15,2.4,0,"City of Edinburgh","S12000036"
"439",7422,"Falkirk","Falkirk Council","Wind Onshore","Awaiting Construction",NA,4,2,"Falkirk","S12000014"
"440",5352,"Falkirk","Falkirk Council","EfW Incineration","Under Construction",NA,21.5,0,"Falkirk","S12000014"
"441",4125,"Stirling","Falkirk Council","Wind Onshore","Operational",2016-02-29,26,13,"Falkirk","S12000014"
"442",8795,"Stirling","Falkirk Council","Landfill Gas","Awaiting Construction",NA,22.5,0,"Falkirk","S12000014"
"443",6102,"Falkirk","Falkirk Council","Advanced Conversion Technologies","Operational",2017-04-01,2,0,"Falkirk","S12000014"
"444",3415,"Falkirk","Falkirk Council","Wind Onshore","Operational",2015-01-22,12,4,"Falkirk","S12000014"
"445",4088,"Fife","Fife Council","Wind Onshore","Operational",2015-12-27,2,1,"Fife","S12000047"
"446",2704,"Fife","Fife Council","Wind Onshore","Operational",2011-10-31,1.5,1,"Fife","S12000047"
"447",4093,"Fife","Fife Council","Wind Onshore","Operational",2014-12-01,1.5,1,"Fife","S12000047"
"448",6745,"Fife","Fife Council","Solar Photovoltaics","Operational",2020-07-23,0.3,0,"Fife","S12000047"
"449",6262,"Fife","Fife Council","EfW Incineration","Awaiting Construction",NA,23.7,0,"Fife","S12000047"
"450",6082,"Fife","Fife Council","Wind Onshore","Awaiting Construction",NA,12.3,6,"Fife","S12000047"
"451",4363,"Fife","Fife Council","Wind Onshore","Operational",2014-07-30,18.4,8,"Fife","S12000047"
"452",62,"Fife","Fife Council","Biomass (dedicated)","Operational",2000-08-21,12.5,0,"Fife","S12000047"
"453",269,"Fife","Fife Council","Anaerobic Digestion","Operational",2014-03-31,1.7,0,"Fife","S12000047"
"454",9500,"Fife","Fife Council","Solar Photovoltaics","Application Submitted",NA,4.19,0,"Fife","S12000047"
"455",5384,"Fife","Fife Council","Solar Photovoltaics","Operational",2017-03-30,5,0,"Fife","S12000047"
"456",4094,"Fife","Fife Council","Wind Onshore","Operational",2016-11-20,6.4,2,"Fife","S12000047"
"457",4404,"Fife","Fife Council","Wind Onshore","Operational",2014-12-01,1.5,1,"Fife","S12000047"
"458",7267,"Fife","Fife Council","Solar Photovoltaics","Operational",2020-03-31,0.2,0,"Fife","S12000047"
"459",3684,"Fife","Fife Council","Wind Onshore","Operational",2013-03-31,12.5,5,"Fife","S12000047"
"460",683,"Fife","Fife Council","Landfill Gas","Operational",2006-09-01,2,0,"Fife","S12000047"
"461",7531,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,1,0,"Fife","S12000047"
"462",697,"Fife","Fife Council","Landfill Gas","Operational",2007-02-28,1,0,"Fife","S12000047"
"463",3845,"Fife","Fife Council","Wind Onshore","Operational",2014-12-01,1.5,1,"Fife","S12000047"
"464",5797,"Fife","Fife Council","Solar Photovoltaics","Operational",2017-01-27,5,0,"Fife","S12000047"
"465",8205,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,0.62,0,"Fife","S12000047"
"466",4034,"Fife","Fife Council","Wind Onshore","Operational",2012-11-27,25,9,"Fife","S12000047"
"467",5800,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,12,0,"Fife","S12000047"
"468",172,"Fife","Fife Council","Biomass (dedicated)","Operational",2013-05-08,5.5,0,"Fife","S12000047"
"469",4078,"Fife","Fife Council","Wind Onshore","Operational",2016-10-24,6.9,3,"Fife","S12000047"
"470",2780,"Fife","Fife Council","Wind Onshore","Operational",2015-12-01,4.6,2,"Fife","S12000047"
"471",2687,"Fife","Fife Council","Wind Onshore","Operational",2011-12-07,1.5,2,"Fife","S12000047"
"472",6216,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,5,0,"Fife","S12000047"
"473",5899,"Fife","Fife Council","Anaerobic Digestion","Operational",2018-06-01,2,0,"Fife","S12000047"
"474",4730,"Fife","Fife Council","Biomass (dedicated)","Operational",2016-12-07,6.5,0,"Fife","S12000047"
"475",6726,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,1.9,0,"Fife","S12000047"
"476",5513,"Fife","Fife Council","Solar Photovoltaics","Operational",2017-03-31,4,0,"Fife","S12000047"
"477",3370,"Fife","Fife Council","Wind Onshore","Operational",2014-12-15,1.5,3,"Fife","S12000047"
"478",7806,"Fife","Fife Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Fife","S12000047"
"479",689,"Strathclyde","Glasgow City Council","Landfill Gas","Operational",2000-06-01,3.9,0,"Glasgow City","S12000049"
"480",734,"Strathclyde","Glasgow City Council","Landfill Gas","Operational",1999-07-28,2.8,0,"Glasgow City","S12000049"
"481",8981,"Strathclyde","Glasgow City Council","Solar Photovoltaics","Awaiting Construction",NA,0,0,"Glasgow City","S12000049"
"482",8433,"Strathclyde","Glasgow City Council","Solar Photovoltaics","Awaiting Construction",NA,0,0,"Glasgow City","S12000049"
"483",286,"Strathclyde","Glasgow City Council","Anaerobic Digestion","Operational",2017-12-15,5,0,"Glasgow City","S12000049"
"484",928,"Strathclyde","Glasgow City Council","Advanced Conversion Technologies","Operational",2019-08-01,10,0,"Glasgow City","S12000049"
"485",1009,"Strathclyde","Glasgow City Council","EfW Incineration","Awaiting Construction",NA,20,0,"Glasgow City","S12000049"
"486",7758,"Strathclyde","Glasgow City Council","Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Glasgow City","S12000049"
"487",4060,"Strathclyde","Glasgow City Council","Wind Onshore","Operational",2013-05-29,3,1,"Glasgow City","S12000049"
"488",8806,"Strathclyde","Glasgow City Council","EfW Incineration","Application Submitted",NA,0,0,"Glasgow City","S12000049"
"489",424,"Highland","Highland Council","Small Hydro","Operational",2005-05-01,3.5,0,"Highland","S12000017"
"490",5418,"Highland","Highland Council","Small Hydro","Operational",2017-07-01,1.9,0,"Highland","S12000017"
"491",7729,"Highland","Highland Council","Solar Photovoltaics","Awaiting Construction",NA,0.3,0,"Highland","S12000017"
"492",3135,"Highland","Highland Council","Wind Onshore","Operational",2007-09-01,23,10,"Highland","S12000017"
"493",3126,"Highland","Highland Council","Wind Onshore","Operational",2005-08-01,13,15,"Highland","S12000017"
"494",484,"Highland","Highland Council","Small Hydro","Operational",2014-03-01,4,0,"Highland","S12000017"
"495",4425,"Highland","Highland Council","Wind Onshore","Operational",2017-09-15,18.5,9,"Highland","S12000017"
"496",480,"Highland","Highland Council","Small Hydro","Operational",2015-01-15,2,0,"Highland","S12000017"
"497",8999,"Highland","Highland Council","Wind Onshore","Application Submitted",NA,222,37,"Highland","S12000017"
"498",4371,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,49.9,20,"Highland","S12000017"
"499",491,"Highland","Highland Council","Small Hydro","Operational",2016-12-21,1.5,0,"Highland","S12000017"
"500",4669,"Highland","Highland Council","Wind Onshore","Operational",2005-12-01,29.8,17,"Highland","S12000017"
"501",3436,"Highland","Highland Council","Wind Onshore","Awaiting Construction",NA,2.4,3,"Highland","S12000017"
"502",28,"Highland","Highland Council","Biomass (dedicated)","Operational",2009-11-01,5,0,"Highland","S12000017"
"503",448,"Highland","Highland Council","Small Hydro","Operational",2017-01-15,1.4,0,"Highland","S12000017"
"504",3380,"Highland","Highland Council","Wind Onshore","Operational",2013-06-04,5,2,"Highland","S12000017"
"505",502,"Highland","Highland Council","Small Hydro","Operational",2015-12-15,1.3,0,"Highland","S12000017"
"506",6676,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,0.9,0,"Highland","S12000017"
"507",3433,"Highland","Highland Council","Wind Onshore","Operational",2015-10-15,2.3,1,"Highland","S12000017"
"508",421,"Highland","Highland Council","Small Hydro","Operational",1980-01-01,4,0,"Highland","S12000017"
"509",470,"Highland","Highland Council","Small Hydro","Operational",1959-01-01,3.5,0,"Highland","S12000017"
"510",7318,"Highland","Highland Council","Small Hydro","Under Construction",NA,0.6,0,"Highland","S12000017"
"511",4682,"Highland","Highland Council","Wind Onshore","Operational",2008-07-15,40,16,"Highland","S12000017"
"512",485,"Highland","Highland Council","Small Hydro","Operational",2012-06-01,3.5,0,"Highland","S12000017"
"513",8134,"Highland","Highland Council","Wind Onshore","Under Construction",NA,4.1,1,"Highland","S12000017"
"514",403,"Highland","Highland Council","Large Hydro","Operational",1968-01-01,5.2,0,"Highland","S12000017"
"515",406,"Highland","Highland Council","Large Hydro","Operational",1959-01-01,10,0,"Highland","S12000017"
"516",404,"Highland","Highland Council","Large Hydro","Operational",1956-01-01,20,0,"Highland","S12000017"
"517",4051,"Highland","Highland Council","Wind Onshore","Operational",2013-02-28,24.7,19,"Highland","S12000017"
"518",7281,"Highland","Highland Council","Solar Photovoltaics","Operational",2019-12-01,0.3,0,"Highland","S12000017"
"519",498,"Highland","Highland Council","Small Hydro","Operational",2017-08-01,2,0,"Highland","S12000017"
"520",3285,"Highland","Highland Council","Wind Onshore","Operational",2009-05-20,6.2,3,"Highland","S12000017"
"521",4420,"Highland","Highland Council","Wind Onshore","Operational",2019-03-01,39,13,"Highland","S12000017"
"522",4646,"Highland","Highland Council","Wind Onshore","Operational",2019-05-01,26.7,13,"Highland","S12000017"
"523",489,"Highland","Highland Council","Small Hydro","Under Construction",NA,2,0,"Highland","S12000017"
"524",7328,"Highland","Highland Council","Small Hydro","Under Construction",NA,0.5,0,"Highland","S12000017"
"525",434,"Highland","Highland Council","Small Hydro","Operational",2002-02-15,3.3,0,"Highland","S12000017"
"526",6649,"Highland","Highland Council","Small Hydro","Awaiting Construction",NA,1.7,0,"Highland","S12000017"
