"REPD Ref ID","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
4005,"Awaiting Construction","Herscha Wind energy Project (Extension)","Wind Onshore",1.6,"Aberdeenshire","S12000034"
4073,"Under Construction","Tralorg Wind Farm","Wind Onshore",20,"South Ayrshire","S12000028"
4079,"Awaiting Construction","Penbreck & Carmacoup Forest (Resubmission)","Wind Onshore",27,"South Lanarkshire","S12000029"
4106,"Awaiting Construction","Greengairs Wind Farm","Wind Onshore",17.5,"North Lanarkshire","S12000050"
4128,"Under Construction","Sneddon Law Community Wind Farm","Wind Onshore",45,"East Ayrshire","S12000008"
4189,"Awaiting Construction","Dalquhandy Windfarm","Wind Onshore",45,"South Lanarkshire","S12000029"
4199,"Awaiting Construction","Camilty Wind Farm","Wind Onshore",20.4,"West Lothian","S12000040"
4200,"Under Construction","Inverclyde Wind Farm (Corlic Hill)","Wind Onshore",24,"Inverclyde","S12000018"
4213,"Awaiting Construction","Greengairs East Wind Farm","Wind Onshore",24,"North Lanarkshire","S12000050"
4252,"Awaiting Construction","Aultmore Wind Farm -resubmission","Wind Onshore",29,"Moray","S12000020"
4258,"Awaiting Construction","Stranoch Wind Farm","Wind Onshore",72,"Dumfries and Galloway","S12000006"
4265,"Awaiting Construction","Braemore","Wind Onshore",54,"Highland","S12000017"
4300,"Awaiting Construction","Creag Riabhach Wind Farm","Wind Onshore",72.6,"Highland","S12000017"
4305,"Awaiting Construction","Meikle Hill wind farm","Wind Onshore",13.8,"Moray","S12000020"
4307,"Awaiting Construction","West Benhar wind farm","Wind Onshore",27.2,"North Lanarkshire","S12000050"
4315,"Awaiting Construction","Sorbie Farm","Wind Onshore",9,"North Ayrshire","S12000021"
4318,"Application Submitted","Yell Wind Farm","Wind Onshore",200,"Shetland Islands","S12000027"
4349,"Awaiting Construction","Cairn Duhie","Wind Onshore",60,"Highland","S12000017"
4351,"Application Submitted","Camster II","Wind Onshore",38,"Highland","S12000017"
4355,"Awaiting Construction","Crookedstane Farm","Wind Onshore",11.4,"South Lanarkshire","S12000029"
4359,"Awaiting Construction","Dell Wind Farm","Wind Onshore",42,"Highland","S12000017"
4371,"Awaiting Construction","Glen Kyllachy Wind Farm","Wind Onshore",49.9,"Highland","S12000017"
4385,"Awaiting Construction","Kennoxhead Wind Farm","Wind Onshore",95,"South Lanarkshire","S12000029"
4389,"Awaiting Construction","Knockshinnoch Wind Farm","Wind Onshore",4,"East Ayrshire","S12000008"
4394,"Awaiting Construction","Lion Hill Wind Farm (Crookedstane Farm 2)","Wind Onshore",11.4,"South Lanarkshire","S12000029"
4417,"Awaiting Construction","Stornoway Wind Farm project (was Lewis Wind Farm - Resubmission)","Wind Onshore",180,"Comhairle nan Eilean Siar","S12000013"
4418,"Awaiting Construction","Strathy South","Wind Onshore",117,"Highland","S12000017"
4448,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (East Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
4449,"Under Construction","Solwaybank Wind Farm (resubmission)","Wind Onshore",30,"Dumfries and Galloway","S12000006"
4454,"Awaiting Construction","Knockman Hill Wind Farm","Wind Onshore",5,"Dumfries and Galloway","S12000006"
4466,"Awaiting Construction","Mochrum Fell Wind Farm","Wind Onshore",24,"Dumfries and Galloway","S12000006"
4491,"Awaiting Construction","BARLOCKHART MOOR - extension","Wind Onshore",8.2,"Dumfries and Galloway","S12000006"
