"REPD Ref ID","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
5960,"Awaiting Construction","Culterfield Windfarm (resubmission)","Wind Onshore",2.7,"Shetland Islands","S12000027"
5962,"Under Construction","Glen Noe River","Small Hydro",2,"Argyll and Bute","S12000035"
5963,"Awaiting Construction","Land between Lorg Hill, Ewe Hill and Brown Hill","Wind Onshore",32.4,"Dumfries and Galloway","S12000006"
5999,"Awaiting Construction","North Clyde Recycling Centre (resubmission)","Anaerobic Digestion",1.6,"West Dunbartonshire","S12000039"
6005,"Awaiting Construction","Limekiln Wind Farm (resubmission)","Wind Onshore",63,"Highland","S12000017"
6036,"Awaiting Construction","Lorg Windfarm","Wind Onshore",49.5,"East Ayrshire","S12000008"
6057,"Application Submitted","Glendye Estate","Wind Onshore",104,"Aberdeenshire","S12000034"
6082,"Awaiting Construction","Kenly Wind Farm (Resubmission)","Wind Onshore",12.3,"Fife","S12000047"
6099,"Awaiting Construction","Hopsrig Wind Farm","Wind Onshore",42,"Dumfries and Galloway","S12000006"
6113,"Awaiting Construction","Achnabreck","Advanced Conversion Technologies",5.5,"Argyll and Bute","S12000035"
6119,"Awaiting Construction","Bridge House, Muasdale, Tarbert, Strathclyde","Wind Onshore",47.6,"Argyll and Bute","S12000035"
6136,"Under Construction","Kincardine Offshore Windfarm","Wind Offshore",50,"Offshore"," "
6147,"Awaiting Construction","Pines Burn Wind Farm","Wind Onshore",36,"Scottish Borders","S12000026"
6158,"Awaiting Construction","Moray Firth 2 (West)","Wind Offshore",850,"Highland","S12000017"
6159,"Awaiting Construction","Navidale Estate","Wind Onshore",1,"Highland","S12000017"
6171,"Under Construction","Baldovie Industrial Estate (Forties Road)","EfW Incineration",0,"Dundee City","S12000042"
6175,"Awaiting Construction","Over Hill Wind Farm","Wind Onshore",33,"East Ayrshire","S12000008"
6177,"Application Submitted","Cairnmore Hill Wind Farm","Wind Onshore",33.6,"Highland","S12000017"
6178,"Awaiting Construction","Sandwick North St Community wind turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6207,"Awaiting Construction","Gilston Hill Wind Farm","Wind Onshore",21,"Scottish Borders","S12000026"
6208,"Awaiting Construction","Tormywheel Wind Farm Extension","Wind Onshore",5,"West Lothian","S12000040"
6214,"Awaiting Construction","Howpark Farm","Wind Onshore",20,"Scottish Borders","S12000026"
6215,"Awaiting Construction","Levenseat Waste Management Facility","Advanced Conversion Technologies",17,"West Lothian","S12000040"
6216,"Awaiting Construction","West Grange Solar Farm (Resubmission)","Solar Photovoltaics",5,"Fife","S12000047"
6259,"Application Submitted","Craigneil Hill","Wind Onshore",38,"Aberdeenshire","S12000034"
6264,"Under Construction","Dounreay Trì Floating Wind Demonstration","Wind Offshore",10,"Highland","S12000017"
6266,"Application Submitted","Golticlay Wind Farm","Wind Onshore",64.6,"Highland","S12000017"
6275,"Application Submitted","Rothes Wind Farm III","Wind Onshore",150,"Moray","S12000020"
6312,"Awaiting Construction","Hartwood Windfarm","Wind Onshore",21,"North Lanarkshire","S12000050"
6323,"Awaiting Construction","Beinn Thulabaigh Wind Turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6324,"Under Construction","Burnfoot East Wind Farm (further extension)","Wind Onshore",10.8,"Clackmannanshire","S12000005"
6327,"Awaiting Construction","Longhill Burn Wind Farm","Wind Onshore",45.6,"West Lothian","S12000040"
6341,"Awaiting Construction","Milltown Airfield (Speyslaw)","Solar Photovoltaics",50,"Moray","S12000020"
6363,"Awaiting Construction","Priestgill Wind Farm","Wind Onshore",22.4,"South Lanarkshire","S12000029"
6372,"Application Submitted","Clash Gour","Wind Onshore",256,"Moray","S12000020"
6373,"Application Submitted","Clashindarroch 2 (extension)","Wind Onshore",70,"Aberdeenshire","S12000034"
6377,"Awaiting Construction","Lochluichart Extension II","Wind Onshore",18,"Highland","S12000017"
6384,"Awaiting Construction","Mossy Hill","Wind Onshore",46.8,"Shetland Islands","S12000027"
6398,"Awaiting Construction","North Haddo","Wind Onshore",1.6,"Aberdeenshire","S12000034"
6405,"Application Submitted","Blarghour","Wind Onshore",60,"Argyll and Bute","S12000035"
6407,"Awaiting Construction","Pauls Hill 2","Wind Onshore",28,"Moray","S12000020"
6416,"Awaiting Construction","Speyslaw Solar Farm","Solar Photovoltaics",20,"Moray","S12000020"
6426,"Under Construction","Neart na Gaoithe (Resubmission)","Wind Offshore",450,"Offshore"," "
6432,"Awaiting Construction","Troston Loch","Wind Onshore",67.2,"Dumfries and Galloway","S12000006"
6444,"Awaiting Construction","Glenshimmeroch Wind Farm","Wind Onshore",36,"Dumfries and Galloway","S12000006"
6459,"Application Submitted","Faw Side Community Wind Farm","Wind Onshore",315,"Dumfries and Galloway","S12000006"
6464,"Awaiting Construction","Airigh Wind Farm","Wind Onshore",58.8,"Argyll and Bute","S12000035"
6518,"Application Submitted","Glenshero Wind Farm","Wind Onshore",168,"Highland","S12000017"
6522,"Awaiting Construction","Glasa Hydropower Cascade/Kildermorie Estate","Small Hydro",4,"Highland","S12000017"
6545,"Under Construction","Allt Garaidh Ghualaich Hydro Scheme Powerhouse","Small Hydro",1.1,"Highland","S12000017"
6585,"Awaiting Construction","Skelmonae Farm","Solar Photovoltaics",1,"Aberdeenshire","S12000034"
6590,"Awaiting Construction","Twentyshilling Hill Wind Farm (resubmission)","Wind Onshore",37.8,"Dumfries and Galloway","S12000006"
6594,"Awaiting Construction","Cordon Farm","Solar Photovoltaics",10,"Perth and Kinross","S12000048"
6600,"Application Submitted","Stranoch 2","Wind Onshore",84,"Dumfries and Galloway","S12000006"
6607,"Application Submitted","North Kyle Energy Project","Wind Onshore",226.8,"East Ayrshire","S12000008"
6629,"Application Submitted","Sanquhar 2 Community Wind Farm","Wind Onshore",308,"Dumfries and Galloway","S12000006"
6634,"Application Submitted","Kirkan Wind Farm","Wind Onshore",81.6,"Highland","S12000017"
6645,"Awaiting Construction","Druim Leathann (resubmission)","Wind Onshore",49.7,"Comhairle nan Eilean Siar","S12000013"
6649,"Awaiting Construction","Barr River, Loch Teacuis","Small Hydro",1.7,"Highland","S12000017"
6657,"Awaiting Construction","Allt Charnan","Small Hydro",1,"Highland","S12000017"
6665,"Application Submitted","Stornoway Wind Farm (second resubmission)","Wind Onshore",16,"Comhairle nan Eilean Siar","S12000013"
6673,"Application Submitted","Sandwick East Community Wind Farm","Wind Onshore",49.9,"Comhairle nan Eilean Siar","S12000013"
6675,"Awaiting Construction","Glen Etive Estate Phase I (Allt na Chaorainn)","Small Hydro",1.4,"Highland","S12000017"
6676,"Awaiting Construction","Glen Etive Estate Phase II (Allt Mheuran)","Small Hydro",0.9,"Highland","S12000017"
6687,"Under Construction","Glen Kinglass","Small Hydro",0.04,"Argyll and Bute","S12000035"
6703,"Awaiting Construction","Sandy Knowe Wind Farm (S.36 resubmission)","Wind Onshore",81.6,"Dumfries and Galloway","S12000006"
6708,"Application Submitted","Broken Cross (Former Surface Mine)","Wind Onshore",40,"South Lanarkshire","S12000029"
6724,"Awaiting Construction","Allt Easach Hydro","Small Hydro",2,"Argyll and Bute","S12000035"
6726,"Awaiting Construction","Dunfermline EDI4","Solar Photovoltaics",1.9,"Fife","S12000047"
6728,"Awaiting Construction","Lairg Wind Farm Extension (Lairg 2)","Wind Onshore",34.5,"Highland","S12000017"
6730,"Awaiting Construction","Blackwater Dam","Small Hydro",0.8,"Highland","S12000017"
6733,"Application Submitted","Cloiche Wind Farm","Wind Onshore",150,"Highland","S12000017"
6734,"Awaiting Construction","Tangy 4 Wind Farm","Wind Onshore",80,"Argyll and Bute","S12000035"
6736,"Under Construction","Bilbo Solar Farm","Solar Photovoltaics",36.6,"Aberdeenshire","S12000034"
6741,"Under Construction","Duror 2 Hydro Scheme","Small Hydro",0.4,"Highland","S12000017"
6746,"Awaiting Construction","Killail Farm","Small Hydro",0.2,"Argyll and Bute","S12000035"
6753,"Awaiting Construction","Oldhall Industrial Estate","EfW Incineration",15,"North Ayrshire","S12000021"
6757,"Awaiting Construction","Luichart Power Station","Small Hydro",2.6,"Highland","S12000017"
6779,"Awaiting Construction","Lochaber Hydro Development (Scheme 2)","Small Hydro",1.1,"Highland","S12000017"
6781,"Awaiting Construction","Lochaber Hydro Development (Scheme 3)","Small Hydro",2,"Highland","S12000017"
6793,"Awaiting Construction","Ben Sca","Wind Onshore",36,"Highland","S12000017"
6796,"Application Submitted","Greenburn Wind Park","Wind Onshore",67.2,"East Ayrshire","S12000008"
6797,"Application Submitted","Berry Burn Wind Farm (extension)","Wind Onshore",37.8,"Moray","S12000020"
6798,"Application Submitted","Arecleoch Wind Farm (extension)","Wind Onshore",73,"South Ayrshire","S12000028"
6807,"Awaiting Construction","Loch Doon Dam Compensation Set","Small Hydro",0.3,"East Ayrshire","S12000008"
6826,"Application Submitted","Douglas West Wind Farm (extension)","Wind Onshore",78,"South Lanarkshire","S12000029"
